name,id,Bridget Brink,William Lawrence,Matt Maasdam,Undervotes,Overvotes,Invalid Votes,Unresolved write-in votes,Precinct Voting Ballots Cast
"City of Brighton, Precinct 1",931062000001,80,99,64,33,0,12,0,175
"City of Brighton, Precinct 2",931062000002,144,154,151,39,0,11,0,267
"City of Brighton, Precinct 3",931062000003,174,285,286,69,0,21,0,373
"City of Howell, Precinct 1",933954000001,281,328,240,51,0,28,0,569
"City of Howell, Precinct 2",933954000002,136,256,98,30,1,28,0,379
"Brighton Charter Township, Precinct 1",931064000001,103,94,117,50,0,15,0,257
"Brighton Charter Township, Precinct 2",931064000002,92,78,48,25,0,12,0,183
"Brighton Charter Township, Precinct 3",931064000003,165,173,193,62,0,22,0,359
"Brighton Charter Township, Precinct 4",931064000004,183,205,218,64,0,13,0,412
"Brighton Charter Township, Precinct 5",931064000005,135,158,143,28,0,10,0,347
"Brighton Charter Township, Precinct 6",931064000006,129,171,143,47,0,10,0,359
"Brighton Charter Township, Precinct 7",931064000007,135,113,90,28,0,10,0,239
"Cohoctah Township, Precinct 1",931692000001,117,85,96,34,1,27,0,419
"Conway Township, Precinct 1",931792000001,67,116,79,24,0,15,0,393
"Deerfield Township, Precinct 1",932122000001,154,129,169,51,1,16,0,574
"Genoa Charter Township, Precinct 1",933186000001,112,140,67,19,0,16,0,258
"Genoa Charter Township, Precinct 2",933186000002,177,195,146,52,0,22,0,359
"Genoa Charter Township, Precinct 3",933186000003,195,172,187,29,0,25,0,460
"Genoa Charter Township, Precinct 4",933186000004,182,212,192,47,0,8,0,361
"Genoa Charter Township, Precinct 5",933186000005,209,209,255,73,0,18,0,521
"Genoa Charter Township, Precinct 6",933186000006,105,97,112,25,0,8,0,261
"Green Oak Charter Township, Precinct 1",933506000001,240,187,156,71,0,20,0,390
"Green Oak Charter Township, Precinct 2",933506000002,155,197,146,42,0,19,0,359
"Green Oak Charter Township, Precinct 3",933506000003,124,98,110,28,0,16,0,244
"Green Oak Charter Township, Precinct 4",933506000004,158,109,105,40,0,15,0,304
"Green Oak Charter Township, Precinct 5",933506000005,130,82,117,32,0,14,0,237
"Green Oak Charter Township, Precinct 6",933506000006,156,128,181,46,1,16,0,304
"Green Oak Charter Township, Precinct 7",933506000007,105,107,90,30,0,11,0,218
"Green Oak Charter Township, Precinct 8",933506000008,75,88,72,14,0,8,0,169
"Hamburg Township, Precinct 1",933610000001,167,280,205,44,0,1,0,396
"Hamburg Township, Precinct 2",933610000002,220,185,131,46,0,1,0,457
"Hamburg Township, Precinct 3",933610000003,166,199,204,63,0,0,0,364
"Hamburg Township, Precinct 4",933610000004,227,154,187,44,0,0,0,373
"Hamburg Township, Precinct 5",933610000005,170,149,107,52,0,2,0,281
"Hamburg Township, Precinct 6",933610000006,184,229,223,54,0,4,0,402
"Hamburg Township, Precinct 7",933610000007,247,261,196,62,0,7,0,547
"Handy Township, Precinct 1",933634000001,74,85,65,21,0,16,0,245
"Handy Township, Precinct 2",933634000002,59,112,56,16,1,18,0,216
"Handy Township, Precinct 3",933634000003,90,125,98,36,0,9,0,373
"Hartland Township, Precinct 1",933704000001,167,142,135,36,1,12,0,361
"Hartland Township, Precinct 2",933704000002,140,152,115,36,1,20,0,338
"Hartland Township, Precinct 3",933704000003,156,177,160,51,0,13,0,396
"Hartland Township, Precinct 4",933704000004,141,133,117,48,0,14,0,367
"Hartland Township, Precinct 5",933704000005,100,100,114,38,0,5,0,258
"Howell Township, Precinct 1",933956000001,140,129,129,24,0,28,0,348
"Howell Township, Precinct 2",933956000002,155,187,155,49,0,23,0,478
"Iosco Township, Precinct 1",934090000001,46,53,53,10,0,2,0,211
"Iosco Township, Precinct 2",934090000002,71,64,77,13,0,8,0,261
"Marion Township, Precinct 1",935164000001,112,142,88,39,0,13,0,263
"Marion Township, Precinct 2",935164000002,152,185,138,31,0,10,0,377
"Marion Township, Precinct 3",935164000003,114,103,127,24,0,10,0,280
"Marion Township, Precinct 4",935164000004,135,121,107,33,0,6,0,335
"Oceola Township, Precinct 1",936012000001,112,147,95,27,1,22,0,309
"Oceola Township, Precinct 2",936012000002,148,158,139,34,0,23,0,296
"Oceola Township, Precinct 3",936012000003,47,64,63,12,0,4,0,158
"Oceola Township, Precinct 4",936012000004,78,114,80,30,0,7,0,272
"Oceola Township, Precinct 5",936012000005,89,122,110,24,0,11,0,199
"Oceola Township, Precinct 6",936012000006,104,78,75,17,0,8,0,210
"Putnam Township, Precinct 1",936654000004,195,287,159,52,0,14,0,392
"Putnam Township, Precinct 2",936654000002,193,263,206,52,0,13,0,484
"Tyrone Township, Precinct 1",938116000001,163,117,124,38,1,17,0,296
"Tyrone Township, Precinct 2",938116000002,156,137,157,51,0,8,0,342
"Tyrone Township, Precinct 3",938116000003,110,116,131,44,0,13,0,319
"Tyrone Township, Precinct 4",938116000004,122,110,84,30,1,6,0,315
"Unadilla Township, Precinct 1",938124000001,147,126,150,36,0,18,0,546
