id,name,total,over_votes,under_votes,Write-in,Jocelyn Benson,Christopher Robert Swanson
991432000001,"Center Line, Precinct 1",109,,,0,94,15
991432000002,"Center Line, Precinct 2",147,,,1,126,20
991432000003,"Center Line, Precinct 3",249,,,0,214,35
991432000004,"Center Line, Precinct 4",59,,,0,55,4
992429000001,"Eastpointe, Precinct 1",383,,,0,350,33
992429000002,"Eastpointe, Precinct 2",317,,,0,266,51
992429000003,"Eastpointe, Precinct 3",316,,,0,273,43
992429000004,"Eastpointe, Precinct 4",470,,,4,432,34
992429000005,"Eastpointe, Precinct 5",499,,,1,463,35
992429000006,"Eastpointe, Precinct 6",293,,,1,263,29
992429000007,"Eastpointe, Precinct 7",449,,,1,399,49
992429000008,"Eastpointe, Precinct 8",419,,,1,388,30
993042000001,"Fraser, Precinct 1",282,,,0,252,30
993042000002,"Fraser, Precinct 2",351,,,1,303,47
993042000003,"Fraser, Precinct 3",241,,,0,217,24
993042000004,"Fraser, Precinct 4",221,,,0,192,29
993042000005,"Fraser, Precinct 5",300,,,0,284,16
998245300002,Grosse Pointe Shores 2,2,,,0,2,0
995296000001,"Memphis, Precinct 1",4,,,0,2,2
995582000001,"Mount Clemens, Precinct 1",135,,,1,124,10
995582000002,"Mount Clemens, Precinct 2",162,,,0,139,23
995582000003,"Mount Clemens, Precinct 3",240,,,2,212,26
995582000004,"Mount Clemens, Precinct 4",150,,,2,137,11
995582000005,"Mount Clemens, Precinct 5",227,,,0,199,28
995582000006,"Mount Clemens, Precinct 6",307,,,0,272,35
995710000001,"New Baltimore, Precinct 1",132,,,0,112,20
995710000002,"New Baltimore, Precinct 2",110,,,4,95,11
995710000003,"New Baltimore, Precinct 3",258,,,0,225,33
995710000004,"New Baltimore, Precinct 4",261,,,0,226,35
995710000005,"New Baltimore, Precinct 5",213,,,0,180,33
996838000001,"Richmond, Precinct 1",206,,,0,191,15
996838000002,"Richmond, Precinct 2",193,,,0,163,30
996980000001,"Roseville, Precinct 1",193,,,0,171,22
996980000002,"Roseville, Precinct 2",292,,,0,260,32
996980000003,"Roseville, Precinct 3",202,,,0,191,11
996980000004,"Roseville, Precinct 4",305,,,0,274,31
996980000005,"Roseville, Precinct 5",249,,,1,229,19
996980000006,"Roseville, Precinct 6",225,,,2,205,18
996980000007,"Roseville, Precinct 7",250,,,1,222,27
996980000008,"Roseville, Precinct 8",309,,,1,269,39
996980000009,"Roseville, Precinct 9",284,,,0,261,23
996980000010,"Roseville, Precinct 10",107,,,0,94,13
996980000011,"Roseville, Precinct 11",296,,,3,253,40
996980000012,"Roseville, Precinct 12",344,,,3,293,48
997076000001,"St. Clair Shores, Precinct 1",532,,,2,478,52
997076000002,"St. Clair Shores, Precinct 2",393,,,0,346,47
997076000003,"St. Clair Shores, Precinct 3",555,,,1,506,48
997076000004,"St. Clair Shores, Precinct 4",412,,,0,378,34
997076000005,"St. Clair Shores, Precinct 5",325,,,2,286,37
997076000006,"St. Clair Shores, Precinct 6",512,,,1,451,60
997076000007,"St. Clair Shores, Precinct 7",594,,,2,543,49
997076000008,"St. Clair Shores, Precinct 8",751,,,3,647,101
997076000009,"St. Clair Shores, Precinct 9",576,,,1,524,51
997076000010,"St. Clair Shores, Precinct 10",672,,,1,589,82
997076000011,"St. Clair Shores, Precinct 11",581,,,1,515,65
997076000012,"St. Clair Shores, Precinct 12",401,,,0,356,45
997646000001,"Sterling Heights, Precinct 1",154,,,0,137,17
997646000002,"Sterling Heights, Precinct 2",264,,,1,228,35
997646000003,"Sterling Heights, Precinct 3",276,,,0,246,30
997646000004,"Sterling Heights, Precinct 4",264,,,0,227,37
997646000005,"Sterling Heights, Precinct 5",224,,,0,196,28
997646000006,"Sterling Heights, Precinct 6",227,,,2,188,37
997646000007,"Sterling Heights, Precinct 7",200,,,2,175,23
997646000008,"Sterling Heights, Precinct 8",204,,,2,169,33
997646000009,"Sterling Heights, Precinct 9",272,,,0,236,36
997646000010,"Sterling Heights, Precinct 10",238,,,1,211,26
997646000011,"Sterling Heights, Precinct 11",331,,,0,299,32
997646000012,"Sterling Heights, Precinct 12",177,,,2,152,23
997646000013,"Sterling Heights, Precinct 13",238,,,0,208,30
997646000014,"Sterling Heights, Precinct 14",621,,,0,562,59
997646000015,"Sterling Heights, Precinct 15",239,,,0,200,39
997646000017,"Sterling Heights, Precinct 17",121,,,0,103,18
997646000018,"Sterling Heights, Precinct 18",190,,,0,178,12
997646000019,"Sterling Heights, Precinct 19",165,,,1,140,24
