id,name,total,over_votes,under_votes,Write-in,Jocelyn Benson,Christopher Robert Swanson
991432000001,"Center Line, Precinct 1",13,,,0,6,7
991432000002,"Center Line, Precinct 2",14,,,0,11,3
991432000003,"Center Line, Precinct 3",20,,,0,16,4
991432000004,"Center Line, Precinct 4",4,,,0,2,2
992429000001,"Eastpointe, Precinct 1",26,,,0,24,2
992429000002,"Eastpointe, Precinct 2",30,,,0,22,8
992429000003,"Eastpointe, Precinct 3",21,,,0,17,4
992429000004,"Eastpointe, Precinct 4",26,,,0,24,2
992429000005,"Eastpointe, Precinct 5",21,,,0,20,1
992429000006,"Eastpointe, Precinct 6",13,,,0,12,1
992429000007,"Eastpointe, Precinct 7",23,,,0,19,4
992429000008,"Eastpointe, Precinct 8",23,,,0,21,2
993042000001,"Fraser, Precinct 1",20,,,0,18,2
993042000002,"Fraser, Precinct 2",35,,,0,28,7
993042000003,"Fraser, Precinct 3",14,,,0,13,1
993042000004,"Fraser, Precinct 4",17,,,0,11,6
993042000005,"Fraser, Precinct 5",12,,,0,11,1
998245300002,Grosse Pointe Shores 2,2,,,0,2,0
995296000001,"Memphis, Precinct 1",4,,,0,2,2
995582000001,"Mount Clemens, Precinct 1",10,,,0,9,1
995582000002,"Mount Clemens, Precinct 2",18,,,0,13,5
995582000003,"Mount Clemens, Precinct 3",22,,,0,16,6
995582000004,"Mount Clemens, Precinct 4",15,,,0,14,1
995582000005,"Mount Clemens, Precinct 5",14,,,0,10,4
995582000006,"Mount Clemens, Precinct 6",31,,,0,27,4
995710000001,"New Baltimore, Precinct 1",10,,,0,8,2
995710000002,"New Baltimore, Precinct 2",12,,,1,10,1
995710000003,"New Baltimore, Precinct 3",20,,,0,9,11
995710000004,"New Baltimore, Precinct 4",23,,,0,18,5
995710000005,"New Baltimore, Precinct 5",11,,,0,6,5
996838000001,"Richmond, Precinct 1",41,,,0,35,6
996838000002,"Richmond, Precinct 2",39,,,0,29,10
996980000001,"Roseville, Precinct 1",16,,,0,15,1
996980000002,"Roseville, Precinct 2",33,,,0,28,5
996980000003,"Roseville, Precinct 3",11,,,0,11,0
996980000004,"Roseville, Precinct 4",24,,,0,22,2
996980000005,"Roseville, Precinct 5",11,,,0,10,1
996980000006,"Roseville, Precinct 6",16,,,0,13,3
996980000007,"Roseville, Precinct 7",11,,,0,8,3
996980000008,"Roseville, Precinct 8",27,,,0,21,6
996980000009,"Roseville, Precinct 9",21,,,0,19,2
996980000010,"Roseville, Precinct 10",4,,,0,2,2
996980000011,"Roseville, Precinct 11",21,,,0,18,3
996980000012,"Roseville, Precinct 12",31,,,0,25,6
997076000001,"St. Clair Shores, Precinct 1",57,,,0,44,13
997076000002,"St. Clair Shores, Precinct 2",29,,,0,25,4
997076000003,"St. Clair Shores, Precinct 3",48,,,0,41,7
997076000004,"St. Clair Shores, Precinct 4",26,,,0,23,3
997076000005,"St. Clair Shores, Precinct 5",15,,,0,14,1
997076000006,"St. Clair Shores, Precinct 6",52,,,0,45,7
997076000007,"St. Clair Shores, Precinct 7",35,,,0,32,3
997076000008,"St. Clair Shores, Precinct 8",56,,,1,37,18
997076000009,"St. Clair Shores, Precinct 9",38,,,0,36,2
997076000010,"St. Clair Shores, Precinct 10",43,,,0,38,5
997076000011,"St. Clair Shores, Precinct 11",41,,,0,35,6
997076000012,"St. Clair Shores, Precinct 12",27,,,0,21,6
997646000001,"Sterling Heights, Precinct 1",20,,,0,17,3
997646000002,"Sterling Heights, Precinct 2",20,,,1,14,5
997646000003,"Sterling Heights, Precinct 3",49,,,0,45,4
997646000004,"Sterling Heights, Precinct 4",33,,,0,20,13
997646000005,"Sterling Heights, Precinct 5",31,,,0,24,7
997646000006,"Sterling Heights, Precinct 6",32,,,1,24,7
997646000007,"Sterling Heights, Precinct 7",39,,,1,29,9
997646000008,"Sterling Heights, Precinct 8",24,,,0,16,8
997646000009,"Sterling Heights, Precinct 9",47,,,0,31,16
997646000010,"Sterling Heights, Precinct 10",21,,,1,16,4
997646000011,"Sterling Heights, Precinct 11",17,,,0,16,1
997646000012,"Sterling Heights, Precinct 12",22,,,1,18,3
997646000013,"Sterling Heights, Precinct 13",17,,,0,13,4
997646000014,"Sterling Heights, Precinct 14",42,,,0,37,5
997646000015,"Sterling Heights, Precinct 15",25,,,0,19,6
997646000017,"Sterling Heights, Precinct 17",16,,,0,13,3
997646000018,"Sterling Heights, Precinct 18",6,,,0,5,1
997646000019,"Sterling Heights, Precinct 19",19,,,0,12,7
997646000020,"Sterling Heights, Precinct 20",12,,,0,10,2
997646000021,"Sterling Heights, Precinct 21",57,,,0,44,13
997646000022,"Sterling Heights, Precinct 22",18,,,0,13,5
997646000023,"Sterling Heights, Precinct 23",40,,,0,31,9
997646000025,"Sterling Heights, Precinct 25",7,,,0,6,1
997646000026,"Sterling Heights, Precinct 26",25,,,0,25,0
997646000027,"Sterling Heights, Precinct 27",38,,,0,32,6
997646000028,"Sterling Heights, Precinct 28",41,,,0,30,11
997646000029,"Sterling Heights, Precinct 29",47,,,0,38,9
997646000030,"Sterling Heights, Precinct 30",25,,,0,16,9
997646000031,"Sterling Heights, Precinct 31",37,,,0,26,11
997646000032,"Sterling Heights, Precinct 32",22,,,1,19,2
997646000033,"Sterling Heights, Precinct 33",7,,,0,5,2
997646000034,"Sterling Heights, Precinct 34",16,,,0,10,6
997646000035,"Sterling Heights, Precinct 35",22,,,0,17,5
997646000036,"Sterling Heights, Precinct 36",35,,,0,25,10
997646000037,"Sterling Heights, Precinct 37",18,,,0,12,6
997646000038,"Sterling Heights, Precinct 38",23,,,1,21,1
997646000039,"Sterling Heights, Precinct 39",12,,,0,10,2
997646000040,"Sterling Heights, Precinct 40",49,,,0,41,8
997646000042,"Sterling Heights, Precinct 42",27,,,0,20,7
997646000043,"Sterling Heights, Precinct 43",38,,,0,26,12
998154000001,"Utica, Precinct 1",17,,,0,13,4
998400001001,"Warren, Precinct 1",14,,,0,12,2
998400002002,"Warren, Precinct 2",12,,,1,8,3
998400002003,"Warren, Precinct 3",6,,,0,3,3
998400001004,"Warren, Precinct 4",16,,,0,12,4
998400001005,"Warren, Precinct 5",15,,,0,8,7
998400005006,"Warren, Precinct 6",12,,,0,8,4
998400005007,"Warren, Precinct 7",10,,,0,10,0
998400005008,"Warren, Precinct 8",6,,,0,5,1
998400003009,"Warren, Precinct 9",9,,,0,7,2
998400003010,"Warren, Precinct 10",0,,,0,0,0
998400005011,"Warren, Precinct 11",4,,,0,4,0
998400005012,"Warren, Precinct 12",3,,,0,3,0
998400003013,"Warren, Precinct 13",16,,,2,10,4
998400004014,"Warren, Precinct 14",5,,,0,3,2
998400004015,"Warren, Precinct 15",9,,,1,6,2
998400004016,"Warren, Precinct 16",7,,,0,6,1
998400005017,"Warren, Precinct 17",4,,,0,3,1
998400002018,"Warren, Precinct 18",14,,,0,5,9
998400002019,"Warren, Precinct 19",36,,,2,22,12
998400005020,"Warren, Precinct 20",16,,,0,12,4
998400005021,"Warren, Precinct 21",15,,,0,14,1
998400003022,"Warren, Precinct 22",10,,,0,8,2
998400004023,"Warren, Precinct 23",11,,,0,5,6
998400004024,"Warren, Precinct 24",6,,,0,4,2
998400004025,"Warren, Precinct 25",12,,,0,11,1
998400003026,"Warren, Precinct 26",11,,,1,10,0
998400003027,"Warren, Precinct 27",31,,,0,22,9
998400004028,"Warren, Precinct 28",12,,,0,10,2
998400003029,"Warren, Precinct 29",20,,,1,17,2
998400004030,"Warren, Precinct 30",16,,,0,14,2
998400001031,"Warren, Precinct 31",17,,,0,13,4
998400002032,"Warren, Precinct 32",19,,,0,13,6
998400002033,"Warren, Precinct 33",19,,,0,8,11
998400001034,"Warren, Precinct 34",14,,,0,11,3
998400001035,"Warren, Precinct 35",13,,,0,13,0
998400002036,"Warren, Precinct 36",24,,,1,16,7
998400005037,"Warren, Precinct 37",44,,,0,33,11
998400005038,"Warren, Precinct 38",18,,,1,15,2
998400005039,"Warren, Precinct 39",21,,,1,17,3
998400002040,"Warren, Precinct 40",39,,,1,25,13
998400001041,"Warren, Precinct 41",20,,,0,11,9
998400001042,"Warren, Precinct 42",18,,,0,11,7
998400002043,"Warren, Precinct 43",20,,,0,16,4
998400003044,"Warren, Precinct 44",29,,,0,26,3
998400004045,"Warren, Precinct 45",5,,,0,5,0
998400003046,"Warren, Precinct 46",11,,,0,11,0
998400004047,"Warren, Precinct 47",7,,,0,7,0
998400003048,"Warren, Precinct 48",9,,,0,8,1
998400003049,"Warren, Precinct 49",34,,,0,26,8
998400002050,"Warren, Precinct 50",19,,,0,14,5
998400001051,"Warren, Precinct 51",17,,,0,13,4
998400001052,"Warren, Precinct 52",22,,,0,16,6
998400004053,"Warren, Precinct 53",13,,,0,8,5
990354000001,"Armada Township, Precinct 1",19,,,0,17,2
990354000002,"Armada Township, Precinct 2",21,,,0,17,4
991130000001,"Bruce Township, Precinct 1",7,,,0,5,2
991130000002,"Bruce Township, Precinct 2",11,,,0,8,3
991130000003,"Bruce Township, Precinct 3",8,,,0,5,3
991130000004,"Bruce Township, Precinct 4",11,,,0,8,3
991534000001,"Chesterfield Township, Precinct 1",54,,,1,41,12
991534000002,"Chesterfield Township, Precinct 2",36,,,0,28,8
991534000003,"Chesterfield Township, Precinct 3",48,,,0,35,13
991534000004,"Chesterfield Township, Precinct 4",62,,,0,51,11
991534000005,"Chesterfield Township, Precinct 5",37,,,0,27,10
991534000006,"Chesterfield Township, Precinct 6",34,,,0,29,5
991534000007,"Chesterfield Township, Precinct 7",31,,,0,24,7
991534000008,"Chesterfield Township, Precinct 8",21,,,0,15,6
991534000009,"Chesterfield Township, Precinct 9",67,,,0,59,8
991534000010,"Chesterfield Township, Precinct 10",37,,,0,29,8
991652000001,"Clinton Township, Precinct 1",57,,,1,46,10
991652000002,"Clinton Township, Precinct 2",23,,,0,21,2
991652000003,"Clinton Township, Precinct 3",44,,,0,22,22
991652000004,"Clinton Township, Precinct 4",32,,,0,23,9
991652000005,"Clinton Township, Precinct 5",38,,,0,29,9
991652000006,"Clinton Township, Precinct 6",36,,,0,28,8
991652000007,"Clinton Township, Precinct 7",19,,,0,18,1
991652000008,"Clinton Township, Precinct 8",42,,,0,36,6
991652000009,"Clinton Township, Precinct 9",31,,,0,25,6
991652000010,"Clinton Township, Precinct 10",46,,,0,39,7
991652000011,"Clinton Township, Precinct 11",27,,,0,22,5
991652000012,"Clinton Township, Precinct 12",28,,,0,24,4
991652000013,"Clinton Township, Precinct 13",35,,,0,29,6
991652000014,"Clinton Township, Precinct 14",26,,,0,19,7
991652000015,"Clinton Township, Precinct 15",26,,,0,23,3
991652000016,"Clinton Township, Precinct 16",32,,,0,31,1
991652000017,"Clinton Township, Precinct 17",29,,,0,24,5
991652000018,"Clinton Township, Precinct 18",26,,,0,23,3
993682000001,"Harrison Township, Precinct 1",32,,,0,27,5
993682000002,"Harrison Township, Precinct 2",26,,,0,19,7
993682000003,"Harrison Township, Precinct 3",42,,,0,28,14
993682000004,"Harrison Township, Precinct 4",63,,,0,52,11
993682000005,"Harrison Township, Precinct 5",45,,,0,37,8
993682000006,"Harrison Township, Precinct 6",16,,,0,14,2
994690000001,"Lenox Township, Precinct 1",5,,,0,4,1
994690000002,"Lenox Township, Precinct 2",20,,,0,12,8
994690000003,"Lenox Township, Precinct 3",21,,,0,16,5
994690000004,"Lenox Township, Precinct 4",16,,,0,13,3
995048000001,"Macomb Township, Precinct 1",27,,,0,23,4
995048000002,"Macomb Township, Precinct 2",33,,,0,32,1
995048000003,"Macomb Township, Precinct 3",24,,,0,20,4
995048000004,"Macomb Township, Precinct 4",22,,,0,17,5
995048000005,"Macomb Township, Precinct 5",41,,,0,35,6
995048000006,"Macomb Township, Precinct 6",25,,,0,17,8
995048000007,"Macomb Township, Precinct 7",34,,,2,26,6
995048000008,"Macomb Township, Precinct 8",40,,,0,26,14
995048000009,"Macomb Township, Precinct 9",43,,,0,35,8
995048000010,"Macomb Township, Precinct 10",37,,,0,35,2
995048000011,"Macomb Township, Precinct 11",17,,,0,15,2
995048000012,"Macomb Township, Precinct 12",14,,,0,11,3
995048000013,"Macomb Township, Precinct 13",31,,,0,28,3
995048000014,"Macomb Township, Precinct 14",41,,,1,35,5
995048000015,"Macomb Township, Precinct 15",58,,,0,54,4
995048000016,"Macomb Township, Precinct 16",23,,,0,16,7
995048000017,"Macomb Township, Precinct 17",12,,,0,10,2
995048000018,"Macomb Township, Precinct 18",28,,,0,25,3
995048000019,"Macomb Township, Precinct 19",39,,,0,30,9
995048000020,"Macomb Township, Precinct 20",28,,,0,18,10
995048000021,"Macomb Township, Precinct 21",27,,,0,24,3
995048000022,"Macomb Township, Precinct 22",34,,,0,33,1
995048000023,"Macomb Township, Precinct 23",16,,,0,14,2
995048000024,"Macomb Township, Precinct 24",23,,,0,22,1
996742000001,"Ray Township, Precinct 1",6,,,0,4,2
996742000002,"Ray Township, Precinct 2",3,,,0,3,0
996840000001,"Richmond Township, Precinct 1",12,,,0,9,3
996840000002,"Richmond Township, Precinct 2",16,,,0,12,4
997282000001,"Shelby Charter Township, Precinct 1",13,,,0,9,4
997282000002,"Shelby Charter Township, Precinct 2",23,,,0,18,5
997282000003,"Shelby Charter Township, Precinct 3",26,,,0,22,4
997282000004,"Shelby Charter Township, Precinct 4",19,,,0,15,4
997282000005,"Shelby Charter Township, Precinct 5",40,,,0,34,6
997282000006,"Shelby Charter Township, Precinct 6",22,,,0,12,10
997282000007,"Shelby Charter Township, Precinct 7",9,,,0,9,0
997282000008,"Shelby Charter Township, Precinct 8",22,,,0,14,8
997282000009,"Shelby Charter Township, Precinct 9",57,,,0,38,19
997282000010,"Shelby Charter Township, Precinct 10",34,,,0,26,8
997282000011,"Shelby Charter Township, Precinct 11",17,,,0,14,3
997282000012,"Shelby Charter Township, Precinct 12",50,,,0,38,12
997282000013,"Shelby Charter Township, Precinct 13",24,,,0,19,5
997282000014,"Shelby Charter Township, Precinct 14",46,,,0,38,8
997282000015,"Shelby Charter Township, Precinct 15",25,,,0,16,9
997282000016,"Shelby Charter Township, Precinct 16",27,,,0,23,4
997282000017,"Shelby Charter Township, Precinct 17",24,,,0,19,5
997282000018,"Shelby Charter Township, Precinct 18",20,,,0,16,4
997282000019,"Shelby Charter Township, Precinct 19",28,,,0,23,5
997282000020,"Shelby Charter Township, Precinct 20",31,,,0,25,6
998412000001,"Washington Township, Precinct 1",39,,,1,27,11
998412000002,"Washington Township, Precinct 2",22,,,0,14,8
998412000003,"Washington Township, Precinct 3",16,,,0,11,5
998412000004,"Washington Township, Precinct 4",18,,,0,16,2
998412000005,"Washington Township, Precinct 5",17,,,0,15,2
998412000006,"Washington Township, Precinct 6",29,,,0,23,6
998412000007,"Washington Township, Precinct 7",17,,,0,13,4
