id,name,total,over_votes,under_votes,Write-in,Jocelyn Benson,Christopher Robert Swanson
991432000001,"Center Line, Precinct 1",165,,,2,130,33
991432000002,"Center Line, Precinct 2",89,,,0,67,22
991432000003,"Center Line, Precinct 3",232,,,1,195,36
991432000004,"Center Line, Precinct 4",81,,,0,66,15
992429000001,"Eastpointe, Precinct 1",232,,,1,188,43
992429000002,"Eastpointe, Precinct 2",198,,,0,167,31
992429000003,"Eastpointe, Precinct 3",235,,,1,191,43
992429000004,"Eastpointe, Precinct 4",313,,,0,272,41
992429000005,"Eastpointe, Precinct 5",313,,,0,284,29
992429000006,"Eastpointe, Precinct 6",190,,,1,167,22
992429000007,"Eastpointe, Precinct 7",260,,,0,231,29
992429000008,"Eastpointe, Precinct 8",231,,,2,200,29
993042000001,"Fraser, Precinct 1",161,,,0,129,32
993042000002,"Fraser, Precinct 2",194,,,2,138,54
993042000003,"Fraser, Precinct 3",155,,,0,124,31
993042000004,"Fraser, Precinct 4",117,,,0,95,22
993042000005,"Fraser, Precinct 5",126,,,1,103,22
998245300002,Grosse Pointe Shores 2,10,,,0,8,2
995296000001,"Memphis, Precinct 1",50,,,0,34,16
995582000001,"Mount Clemens, Precinct 1",132,,,1,116,15
995582000002,"Mount Clemens, Precinct 2",192,,,1,141,50
995582000003,"Mount Clemens, Precinct 3",194,,,2,151,41
995582000004,"Mount Clemens, Precinct 4",95,,,1,70,24
995582000005,"Mount Clemens, Precinct 5",138,,,0,95,43
995582000006,"Mount Clemens, Precinct 6",152,,,0,124,28
995710000001,"New Baltimore, Precinct 1",83,,,0,70,13
995710000002,"New Baltimore, Precinct 2",62,,,1,47,14
995710000003,"New Baltimore, Precinct 3",156,,,2,110,44
995710000004,"New Baltimore, Precinct 4",86,,,0,66,20
995710000005,"New Baltimore, Precinct 5",114,,,0,80,34
996838000001,"Richmond, Precinct 1",89,,,0,67,22
996838000002,"Richmond, Precinct 2",97,,,0,67,30
996980000001,"Roseville, Precinct 1",169,,,2,137,30
996980000002,"Roseville, Precinct 2",183,,,1,135,47
996980000003,"Roseville, Precinct 3",166,,,0,141,25
996980000004,"Roseville, Precinct 4",259,,,0,213,46
996980000005,"Roseville, Precinct 5",156,,,0,135,21
996980000006,"Roseville, Precinct 6",201,,,2,169,30
996980000007,"Roseville, Precinct 7",243,,,1,189,53
996980000008,"Roseville, Precinct 8",144,,,1,106,37
996980000009,"Roseville, Precinct 9",190,,,1,161,28
996980000010,"Roseville, Precinct 10",106,,,2,73,31
996980000011,"Roseville, Precinct 11",177,,,0,136,41
996980000012,"Roseville, Precinct 12",192,,,0,156,36
997076000001,"St. Clair Shores, Precinct 1",306,,,0,252,54
997076000002,"St. Clair Shores, Precinct 2",309,,,0,244,65
997076000003,"St. Clair Shores, Precinct 3",353,,,3,285,65
997076000004,"St. Clair Shores, Precinct 4",197,,,2,158,37
997076000005,"St. Clair Shores, Precinct 5",205,,,1,151,53
997076000006,"St. Clair Shores, Precinct 6",229,,,0,168,61
997076000007,"St. Clair Shores, Precinct 7",295,,,1,217,77
997076000008,"St. Clair Shores, Precinct 8",319,,,0,255,64
997076000009,"St. Clair Shores, Precinct 9",277,,,1,210,66
997076000010,"St. Clair Shores, Precinct 10",305,,,0,236,69
997076000011,"St. Clair Shores, Precinct 11",294,,,3,231,60
997076000012,"St. Clair Shores, Precinct 12",254,,,1,211,42
997646000001,"Sterling Heights, Precinct 1",176,,,5,129,42
997646000002,"Sterling Heights, Precinct 2",230,,,1,169,60
997646000003,"Sterling Heights, Precinct 3",156,,,1,115,40
997646000004,"Sterling Heights, Precinct 4",196,,,0,138,58
997646000005,"Sterling Heights, Precinct 5",140,,,0,95,45
997646000006,"Sterling Heights, Precinct 6",123,,,1,92,30
997646000007,"Sterling Heights, Precinct 7",119,,,0,86,33
997646000008,"Sterling Heights, Precinct 8",118,,,2,84,32
997646000009,"Sterling Heights, Precinct 9",114,,,1,82,31
997646000010,"Sterling Heights, Precinct 10",146,,,2,102,42
997646000011,"Sterling Heights, Precinct 11",138,,,0,105,33
997646000012,"Sterling Heights, Precinct 12",114,,,0,86,28
997646000013,"Sterling Heights, Precinct 13",132,,,2,93,37
997646000014,"Sterling Heights, Precinct 14",228,,,3,174,51
997646000015,"Sterling Heights, Precinct 15",123,,,0,92,31
997646000017,"Sterling Heights, Precinct 17",70,,,0,50,20
997646000018,"Sterling Heights, Precinct 18",88,,,0,67,21
997646000019,"Sterling Heights, Precinct 19",95,,,0,80,15
997646000020,"Sterling Heights, Precinct 20",124,,,0,110,14
997646000021,"Sterling Heights, Precinct 21",256,,,1,203,52
997646000022,"Sterling Heights, Precinct 22",112,,,1,88,23
