id,name,total,over_votes,under_votes,Write-in,Michael Bouchard,Justin Kirk,Robert Lulgjuraj,Steffan Demetropoulos
991432000001,"Center Line, Precinct 1",43,,,0,30,3,5,5
991432000002,"Center Line, Precinct 2",34,,,1,23,7,2,1
991432000003,"Center Line, Precinct 3",88,,,1,63,15,5,4
991432000004,"Center Line, Precinct 4",24,,,0,15,8,1,0
992429000001,"Eastpointe, Precinct 1",72,,,1,52,14,2,3
992429000002,"Eastpointe, Precinct 2",73,,,0,59,5,5,4
992429000003,"Eastpointe, Precinct 3",80,,,0,57,21,1,1
992429000004,"Eastpointe, Precinct 4",83,,,0,61,12,8,2
992429000005,"Eastpointe, Precinct 5",73,,,0,60,6,6,1
992429000006,"Eastpointe, Precinct 6",59,,,0,48,8,2,1
992429000007,"Eastpointe, Precinct 7",104,,,0,78,15,6,5
992429000008,"Eastpointe, Precinct 8",68,,,0,59,5,2,2
993042000001,"Fraser, Precinct 1",113,,,0,89,16,5,3
993042000002,"Fraser, Precinct 2",202,,,0,150,36,11,5
993042000003,"Fraser, Precinct 3",99,,,0,74,19,3,3
993042000004,"Fraser, Precinct 4",97,,,0,80,12,3,2
993042000005,"Fraser, Precinct 5",173,,,0,138,24,7,4
998245300002,Grosse Pointe Shores 2,0,,,0,0,0,0,0
995582000001,"Mount Clemens, Precinct 1",20,,,0,11,5,3,1
995582000002,"Mount Clemens, Precinct 2",63,,,0,49,12,1,1
995582000003,"Mount Clemens, Precinct 3",77,,,0,60,10,5,2
995582000004,"Mount Clemens, Precinct 4",43,,,1,24,13,4,1
995582000005,"Mount Clemens, Precinct 5",100,,,0,74,22,2,2
995582000006,"Mount Clemens, Precinct 6",74,,,0,45,20,8,1
996980000001,"Roseville, Precinct 1",82,,,1,56,18,6,1
996980000002,"Roseville, Precinct 2",122,,,0,87,23,8,4
996980000003,"Roseville, Precinct 3",45,,,0,30,14,0,1
996980000004,"Roseville, Precinct 4",123,,,0,86,22,12,3
996980000005,"Roseville, Precinct 5",79,,,0,62,11,3,3
996980000006,"Roseville, Precinct 6",106,,,1,81,13,7,4
996980000007,"Roseville, Precinct 7",84,,,1,48,22,10,3
996980000008,"Roseville, Precinct 8",110,,,1,84,10,9,6
996980000009,"Roseville, Precinct 9",140,,,1,95,36,8,0
996980000010,"Roseville, Precinct 10",63,,,0,49,10,4,0
996980000011,"Roseville, Precinct 11",136,,,0,100,21,11,4
996980000012,"Roseville, Precinct 12",138,,,0,90,31,14,3
