id,name,total,over_votes,under_votes,Write-in,Michael Bouchard,Justin Kirk,Robert Lulgjuraj,Steffan Demetropoulos
991432000001,"Center Line, Precinct 1",0,,,0,0,0,0,0
991432000002,"Center Line, Precinct 2",4,,,0,3,0,1,0
991432000003,"Center Line, Precinct 3",15,,,0,11,3,0,1
991432000004,"Center Line, Precinct 4",2,,,0,1,0,1,0
992429000001,"Eastpointe, Precinct 1",4,,,0,4,0,0,0
992429000002,"Eastpointe, Precinct 2",7,,,0,7,0,0,0
992429000003,"Eastpointe, Precinct 3",7,,,0,6,1,0,0
992429000004,"Eastpointe, Precinct 4",6,,,0,5,0,1,0
992429000005,"Eastpointe, Precinct 5",2,,,0,1,0,0,1
992429000006,"Eastpointe, Precinct 6",3,,,0,2,0,1,0
992429000007,"Eastpointe, Precinct 7",10,,,0,7,0,2,1
992429000008,"Eastpointe, Precinct 8",2,,,0,1,1,0,0
993042000001,"Fraser, Precinct 1",4,,,0,3,0,1,0
993042000002,"Fraser, Precinct 2",24,,,0,21,0,2,1
993042000003,"Fraser, Precinct 3",4,,,0,0,3,1,0
993042000004,"Fraser, Precinct 4",6,,,0,5,0,0,1
993042000005,"Fraser, Precinct 5",14,,,0,11,3,0,0
998245300002,Grosse Pointe Shores 2,0,,,0,0,0,0,0
995582000001,"Mount Clemens, Precinct 1",1,,,0,1,0,0,0
995582000002,"Mount Clemens, Precinct 2",12,,,0,12,0,0,0
995582000003,"Mount Clemens, Precinct 3",6,,,0,5,0,1,0
995582000004,"Mount Clemens, Precinct 4",6,,,0,5,1,0,0
995582000005,"Mount Clemens, Precinct 5",7,,,0,6,1,0,0
995582000006,"Mount Clemens, Precinct 6",16,,,0,6,5,4,1
996980000001,"Roseville, Precinct 1",8,,,0,5,3,0,0
996980000002,"Roseville, Precinct 2",14,,,0,10,4,0,0
996980000003,"Roseville, Precinct 3",5,,,0,2,3,0,0
996980000004,"Roseville, Precinct 4",11,,,0,9,1,1,0
996980000005,"Roseville, Precinct 5",3,,,0,3,0,0,0
996980000006,"Roseville, Precinct 6",10,,,0,7,2,1,0
996980000007,"Roseville, Precinct 7",4,,,0,1,2,1,0
996980000008,"Roseville, Precinct 8",10,,,0,9,1,0,0
996980000009,"Roseville, Precinct 9",13,,,0,9,4,0,0
996980000010,"Roseville, Precinct 10",5,,,0,2,1,2,0
996980000011,"Roseville, Precinct 11",15,,,0,10,5,0,0
996980000012,"Roseville, Precinct 12",13,,,0,12,0,1,0
997076000001,"St. Clair Shores, Precinct 1",17,,,0,8,6,0,3
997076000002,"St. Clair Shores, Precinct 2",14,,,0,12,2,0,0
997076000003,"St. Clair Shores, Precinct 3",25,,,0,17,4,1,3
997076000004,"St. Clair Shores, Precinct 4",18,,,0,16,1,0,1
997076000005,"St. Clair Shores, Precinct 5",8,,,0,6,2,0,0
997076000006,"St. Clair Shores, Precinct 6",17,,,0,10,5,0,2
997076000007,"St. Clair Shores, Precinct 7",16,,,0,10,3,2,1
997076000008,"St. Clair Shores, Precinct 8",48,,,0,32,8,6,2
997076000009,"St. Clair Shores, Precinct 9",28,,,0,20,4,3,1
997076000010,"St. Clair Shores, Precinct 10",27,,,0,17,8,0,2
997076000011,"St. Clair Shores, Precinct 11",27,,,0,20,4,1,2
997076000012,"St. Clair Shores, Precinct 12",18,,,0,14,3,1,0
997646000001,"Sterling Heights, Precinct 1",1,,,0,1,0,0,0
997646000002,"Sterling Heights, Precinct 2",5,,,0,5,0,0,0
997646000003,"Sterling Heights, Precinct 3",11,,,0,7,4,0,0
997646000004,"Sterling Heights, Precinct 4",5,,,0,5,0,0,0
997646000005,"Sterling Heights, Precinct 5",22,,,0,19,1,1,1
997646000006,"Sterling Heights, Precinct 6",7,,,0,3,2,2,0
997646000007,"Sterling Heights, Precinct 7",17,,,0,12,2,3,0
997646000008,"Sterling Heights, Precinct 8",15,,,0,9,2,4,0
997646000009,"Sterling Heights, Precinct 9",22,,,0,16,2,2,2
997646000010,"Sterling Heights, Precinct 10",14,,,0,8,1,4,1
997646000011,"Sterling Heights, Precinct 11",11,,,0,10,1,0,0
997646000012,"Sterling Heights, Precinct 12",2,,,0,2,0,0,0
997646000013,"Sterling Heights, Precinct 13",19,,,0,12,4,3,0
997646000014,"Sterling Heights, Precinct 14",22,,,0,17,3,1,1
997646000015,"Sterling Heights, Precinct 15",13,,,0,9,2,2,0
997646000017,"Sterling Heights, Precinct 17",12,,,0,6,4,2,0
