id,name,total,over_votes,under_votes,Write-in,Michael Bouchard,Justin Kirk,Robert Lulgjuraj,Steffan Demetropoulos
991432000001,"Center Line, Precinct 1",72,,,0,55,8,7,2
991432000002,"Center Line, Precinct 2",42,,,0,30,9,1,2
991432000003,"Center Line, Precinct 3",117,,,0,77,32,2,6
991432000004,"Center Line, Precinct 4",47,,,0,33,10,3,1
992429000001,"Eastpointe, Precinct 1",47,,,1,29,13,3,1
992429000002,"Eastpointe, Precinct 2",60,,,0,43,11,4,2
992429000003,"Eastpointe, Precinct 3",79,,,0,57,18,3,1
992429000004,"Eastpointe, Precinct 4",50,,,0,37,12,1,0
992429000005,"Eastpointe, Precinct 5",64,,,0,52,10,2,0
992429000006,"Eastpointe, Precinct 6",48,,,0,37,8,3,0
992429000007,"Eastpointe, Precinct 7",69,,,0,44,22,1,2
992429000008,"Eastpointe, Precinct 8",41,,,0,32,7,1,1
993042000001,"Fraser, Precinct 1",134,,,0,90,38,3,3
993042000002,"Fraser, Precinct 2",126,,,1,76,37,8,4
993042000003,"Fraser, Precinct 3",97,,,0,69,17,6,5
993042000004,"Fraser, Precinct 4",113,,,0,79,21,5,8
993042000005,"Fraser, Precinct 5",111,,,0,81,24,3,3
998245300002,Grosse Pointe Shores 2,21,,,0,18,1,1,1
995582000001,"Mount Clemens, Precinct 1",18,,,0,11,4,3,0
995582000002,"Mount Clemens, Precinct 2",85,,,0,63,11,4,7
995582000003,"Mount Clemens, Precinct 3",95,,,0,66,16,6,7
995582000004,"Mount Clemens, Precinct 4",43,,,0,28,11,3,1
995582000005,"Mount Clemens, Precinct 5",138,,,0,80,46,9,3
995582000006,"Mount Clemens, Precinct 6",58,,,0,45,9,1,3
996980000001,"Roseville, Precinct 1",104,,,0,73,25,4,2
996980000002,"Roseville, Precinct 2",142,,,1,85,45,3,8
996980000003,"Roseville, Precinct 3",56,,,1,44,5,4,2
996980000004,"Roseville, Precinct 4",134,,,0,96,28,7,3
996980000005,"Roseville, Precinct 5",75,,,1,48,19,2,5
996980000006,"Roseville, Precinct 6",138,,,1,81,41,8,7
996980000007,"Roseville, Precinct 7",112,,,1,77,23,7,4
996980000008,"Roseville, Precinct 8",122,,,1,82,31,4,4
996980000009,"Roseville, Precinct 9",136,,,0,103,22,8,3
996980000010,"Roseville, Precinct 10",85,,,2,51,24,3,5
996980000011,"Roseville, Precinct 11",168,,,1,106,41,9,11
996980000012,"Roseville, Precinct 12",119,,,1,84,24,7,3
997076000001,"St. Clair Shores, Precinct 1",162,,,0,120,28,6,8
997076000002,"St. Clair Shores, Precinct 2",201,,,3,137,41,5,15
997076000003,"St. Clair Shores, Precinct 3",222,,,4,148,45,12,13
997076000004,"St. Clair Shores, Precinct 4",181,,,0,122,37,12,10
997076000005,"St. Clair Shores, Precinct 5",128,,,1,83,31,5,8
997076000006,"St. Clair Shores, Precinct 6",236,,,0,149,58,16,13
997076000007,"St. Clair Shores, Precinct 7",250,,,1,175,54,7,13
997076000008,"St. Clair Shores, Precinct 8",286,,,2,176,71,19,18
997076000009,"St. Clair Shores, Precinct 9",287,,,0,210,52,11,14
997076000010,"St. Clair Shores, Precinct 10",249,,,2,144,86,8,9
997076000011,"St. Clair Shores, Precinct 11",253,,,1,150,89,9,4
997076000012,"St. Clair Shores, Precinct 12",233,,,0,172,38,9,14
997646000001,"Sterling Heights, Precinct 1",60,,,0,35,12,4,9
997646000002,"Sterling Heights, Precinct 2",101,,,0,59,34,3,5
997646000003,"Sterling Heights, Precinct 3",92,,,0,63,19,8,2
