id,name,total,over_votes,under_votes,Write-in,Ray Pooley
995296000001,"Memphis, Precinct 1",0,,,0,0
995710000001,"New Baltimore, Precinct 1",108,,,1,107
995710000002,"New Baltimore, Precinct 2",77,,,0,77
995710000003,"New Baltimore, Precinct 3",194,,,3,191
995710000004,"New Baltimore, Precinct 4",215,,,1,214
995710000005,"New Baltimore, Precinct 5",172,,,2,170
996838000001,"Richmond, Precinct 1",143,,,0,143
996838000002,"Richmond, Precinct 2",131,,,0,131
990354000001,"Armada Township, Precinct 1",176,,,0,176
990354000002,"Armada Township, Precinct 2",113,,,0,113
991130000001,"Bruce Township, Precinct 1",144,,,3,141
991130000002,"Bruce Township, Precinct 2",184,,,0,184
991130000003,"Bruce Township, Precinct 3",148,,,3,145
991130000004,"Bruce Township, Precinct 4",122,,,0,122
991534000001,"Chesterfield Township, Precinct 1",358,,,0,358
991534000002,"Chesterfield Township, Precinct 2",258,,,3,255
991534000003,"Chesterfield Township, Precinct 3",440,,,4,436
991534000004,"Chesterfield Township, Precinct 4",409,,,4,405
991534000005,"Chesterfield Township, Precinct 5",295,,,1,294
991534000006,"Chesterfield Township, Precinct 6",239,,,0,239
991534000007,"Chesterfield Township, Precinct 7",198,,,1,197
991534000008,"Chesterfield Township, Precinct 8",217,,,2,215
991534000009,"Chesterfield Township, Precinct 9",407,,,2,405
991534000010,"Chesterfield Township, Precinct 10",361,,,1,360
994690000001,"Lenox Township, Precinct 1",76,,,1,75
994690000002,"Lenox Township, Precinct 2",160,,,0,160
994690000003,"Lenox Township, Precinct 3",171,,,1,170
994690000004,"Lenox Township, Precinct 4",46,,,0,46
995048000003,"Macomb Township, Precinct 3",281,,,2,279
995048000004,"Macomb Township, Precinct 4",276,,,1,275
995048000005,"Macomb Township, Precinct 5",354,,,1,353
995048000006,"Macomb Township, Precinct 6",98,,,1,97
995048000009,"Macomb Township, Precinct 9",285,,,6,279
995048000010,"Macomb Township, Precinct 10",209,,,1,208
995048000012,"Macomb Township, Precinct 12",70,,,4,66
995048000013,"Macomb Township, Precinct 13",326,,,1,325
995048000014,"Macomb Township, Precinct 14",291,,,3,288
995048000015,"Macomb Township, Precinct 15",342,,,0,342
995048000016,"Macomb Township, Precinct 16",325,,,1,324
995048000017,"Macomb Township, Precinct 17",121,,,0,121
995048000018,"Macomb Township, Precinct 18",316,,,1,315
995048000019,"Macomb Township, Precinct 19",377,,,2,375
995048000020,"Macomb Township, Precinct 20",204,,,2,202
995048000021,"Macomb Township, Precinct 21",207,,,1,206
995048000022,"Macomb Township, Precinct 22",194,,,0,194
995048000023,"Macomb Township, Precinct 23",99,,,0,99
995048000024,"Macomb Township, Precinct 24",151,,,0,151
996742000001,"Ray Township, Precinct 1",79,,,1,78
996742000002,"Ray Township, Precinct 2",109,,,0,109
996840000001,"Richmond Township, Precinct 1",0,,,0,0
996840000002,"Richmond Township, Precinct 2",0,,,0,0
998412000001,"Washington Township, Precinct 1",282,,,1,281
998412000002,"Washington Township, Precinct 2",191,,,1,190
998412000003,"Washington Township, Precinct 3",221,,,0,221
998412000004,"Washington Township, Precinct 4",338,,,0,338
998412000005,"Washington Township, Precinct 5",285,,,1,284
998412000006,"Washington Township, Precinct 6",357,,,1,356
998412000007,"Washington Township, Precinct 7",262,,,1,261
