id,name,total,over_votes,under_votes,Write-in,Ray Pooley
995296000001,"Memphis, Precinct 1",4,,,1,3
995710000001,"New Baltimore, Precinct 1",8,,,1,7
995710000002,"New Baltimore, Precinct 2",10,,,1,9
995710000003,"New Baltimore, Precinct 3",16,,,0,16
995710000004,"New Baltimore, Precinct 4",19,,,0,19
995710000005,"New Baltimore, Precinct 5",10,,,0,10
996838000001,"Richmond, Precinct 1",37,,,0,37
996838000002,"Richmond, Precinct 2",32,,,0,32
990354000001,"Armada Township, Precinct 1",17,,,0,17
990354000002,"Armada Township, Precinct 2",18,,,0,18
991130000001,"Bruce Township, Precinct 1",6,,,0,6
991130000002,"Bruce Township, Precinct 2",8,,,0,8
991130000003,"Bruce Township, Precinct 3",8,,,0,8
991130000004,"Bruce Township, Precinct 4",11,,,0,11
991534000001,"Chesterfield Township, Precinct 1",45,,,0,45
991534000002,"Chesterfield Township, Precinct 2",29,,,0,29
991534000003,"Chesterfield Township, Precinct 3",44,,,0,44
991534000004,"Chesterfield Township, Precinct 4",43,,,3,40
991534000005,"Chesterfield Township, Precinct 5",33,,,0,33
991534000006,"Chesterfield Township, Precinct 6",29,,,0,29
991534000007,"Chesterfield Township, Precinct 7",27,,,0,27
991534000008,"Chesterfield Township, Precinct 8",15,,,0,15
991534000009,"Chesterfield Township, Precinct 9",62,,,0,62
991534000010,"Chesterfield Township, Precinct 10",28,,,0,28
994690000001,"Lenox Township, Precinct 1",3,,,0,3
994690000002,"Lenox Township, Precinct 2",18,,,0,18
994690000003,"Lenox Township, Precinct 3",17,,,0,17
994690000004,"Lenox Township, Precinct 4",12,,,0,12
995048000003,"Macomb Township, Precinct 3",23,,,0,23
995048000004,"Macomb Township, Precinct 4",22,,,0,22
995048000005,"Macomb Township, Precinct 5",32,,,0,32
995048000006,"Macomb Township, Precinct 6",18,,,1,17
995048000009,"Macomb Township, Precinct 9",37,,,0,37
995048000010,"Macomb Township, Precinct 10",30,,,0,30
995048000012,"Macomb Township, Precinct 12",12,,,1,11
995048000013,"Macomb Township, Precinct 13",29,,,0,29
995048000014,"Macomb Township, Precinct 14",37,,,0,37
995048000015,"Macomb Township, Precinct 15",52,,,1,51
995048000016,"Macomb Township, Precinct 16",15,,,1,14
995048000017,"Macomb Township, Precinct 17",8,,,0,8
995048000018,"Macomb Township, Precinct 18",23,,,0,23
995048000019,"Macomb Township, Precinct 19",31,,,0,31
995048000020,"Macomb Township, Precinct 20",24,,,2,22
995048000021,"Macomb Township, Precinct 21",24,,,1,23
995048000022,"Macomb Township, Precinct 22",30,,,1,29
995048000023,"Macomb Township, Precinct 23",14,,,0,14
995048000024,"Macomb Township, Precinct 24",23,,,0,23
996742000001,"Ray Township, Precinct 1",5,,,0,5
996742000002,"Ray Township, Precinct 2",2,,,0,2
996840000001,"Richmond Township, Precinct 1",8,,,0,8
996840000002,"Richmond Township, Precinct 2",11,,,0,11
998412000001,"Washington Township, Precinct 1",35,,,0,35
998412000002,"Washington Township, Precinct 2",19,,,0,19
998412000003,"Washington Township, Precinct 3",15,,,0,15
998412000004,"Washington Township, Precinct 4",16,,,0,16
998412000005,"Washington Township, Precinct 5",17,,,0,17
998412000006,"Washington Township, Precinct 6",25,,,0,25
998412000007,"Washington Township, Precinct 7",16,,,0,16
