id,name,total,over_votes,under_votes,Write-in,Lisa McClain
995296000001,"Memphis, Precinct 1",83,,,0,83
995710000001,"New Baltimore, Precinct 1",99,,,0,99
995710000002,"New Baltimore, Precinct 2",84,,,2,82
995710000003,"New Baltimore, Precinct 3",164,,,0,164
995710000004,"New Baltimore, Precinct 4",117,,,2,115
995710000005,"New Baltimore, Precinct 5",169,,,1,168
996838000001,"Richmond, Precinct 1",179,,,0,179
996838000002,"Richmond, Precinct 2",144,,,1,143
990354000001,"Armada Township, Precinct 1",185,,,3,182
990354000002,"Armada Township, Precinct 2",175,,,0,175
991130000001,"Bruce Township, Precinct 1",120,,,1,119
991130000002,"Bruce Township, Precinct 2",235,,,0,235
991130000003,"Bruce Township, Precinct 3",169,,,1,168
991130000004,"Bruce Township, Precinct 4",209,,,3,206
991534000001,"Chesterfield Township, Precinct 1",264,,,2,262
991534000002,"Chesterfield Township, Precinct 2",236,,,2,234
991534000003,"Chesterfield Township, Precinct 3",321,,,3,318
991534000004,"Chesterfield Township, Precinct 4",297,,,3,294
991534000005,"Chesterfield Township, Precinct 5",244,,,1,243
991534000006,"Chesterfield Township, Precinct 6",227,,,6,221
991534000007,"Chesterfield Township, Precinct 7",112,,,2,110
991534000008,"Chesterfield Township, Precinct 8",83,,,1,82
991534000009,"Chesterfield Township, Precinct 9",251,,,1,250
991534000010,"Chesterfield Township, Precinct 10",207,,,1,206
994690000001,"Lenox Township, Precinct 1",134,,,0,134
994690000002,"Lenox Township, Precinct 2",199,,,4,195
994690000003,"Lenox Township, Precinct 3",132,,,3,129
994690000004,"Lenox Township, Precinct 4",64,,,1,63
995048000003,"Macomb Township, Precinct 3",109,,,1,108
995048000004,"Macomb Township, Precinct 4",146,,,1,145
995048000005,"Macomb Township, Precinct 5",303,,,1,302
995048000006,"Macomb Township, Precinct 6",84,,,0,84
995048000009,"Macomb Township, Precinct 9",210,,,1,209
995048000010,"Macomb Township, Precinct 10",130,,,0,130
995048000012,"Macomb Township, Precinct 12",20,,,0,20
995048000013,"Macomb Township, Precinct 13",173,,,1,172
995048000014,"Macomb Township, Precinct 14",221,,,0,221
995048000015,"Macomb Township, Precinct 15",281,,,2,279
995048000016,"Macomb Township, Precinct 16",81,,,1,80
995048000017,"Macomb Township, Precinct 17",103,,,0,103
995048000018,"Macomb Township, Precinct 18",205,,,1,204
995048000019,"Macomb Township, Precinct 19",209,,,1,208
995048000020,"Macomb Township, Precinct 20",143,,,1,142
995048000021,"Macomb Township, Precinct 21",109,,,0,109
995048000022,"Macomb Township, Precinct 22",135,,,0,135
995048000023,"Macomb Township, Precinct 23",52,,,0,52
995048000024,"Macomb Township, Precinct 24",96,,,1,95
996742000001,"Ray Township, Precinct 1",163,,,0,163
996742000002,"Ray Township, Precinct 2",216,,,1,215
996840000001,"Richmond Township, Precinct 1",262,,,3,259
996840000002,"Richmond Township, Precinct 2",279,,,5,274
998412000001,"Washington Township, Precinct 1",253,,,0,253
998412000002,"Washington Township, Precinct 2",214,,,1,213
998412000003,"Washington Township, Precinct 3",185,,,2,183
998412000004,"Washington Township, Precinct 4",247,,,0,247
998412000005,"Washington Township, Precinct 5",151,,,2,149
998412000006,"Washington Township, Precinct 6",250,,,2,248
998412000007,"Washington Township, Precinct 7",250,,,0,250
