id,name,total,over_votes,under_votes,Write-in,Haley Stevens,Abdul El-Sayed,Mallory McMorrow
991432000001,"Center Line, Precinct 1",98,,,0,51,41,6
991432000002,"Center Line, Precinct 2",136,,,0,101,29,6
991432000003,"Center Line, Precinct 3",230,,,0,138,83,9
991432000004,"Center Line, Precinct 4",56,,,0,29,21,6
992429000001,"Eastpointe, Precinct 1",359,,,0,244,98,17
992429000002,"Eastpointe, Precinct 2",288,,,1,163,117,7
992429000003,"Eastpointe, Precinct 3",294,,,0,177,104,13
992429000004,"Eastpointe, Precinct 4",444,,,3,313,109,19
992429000005,"Eastpointe, Precinct 5",481,,,2,345,113,21
992429000006,"Eastpointe, Precinct 6",282,,,0,192,77,13
992429000007,"Eastpointe, Precinct 7",426,,,0,286,109,31
992429000008,"Eastpointe, Precinct 8",397,,,0,309,77,11
993042000001,"Fraser, Precinct 1",264,,,0,161,89,14
993042000002,"Fraser, Precinct 2",313,,,0,201,99,13
993042000003,"Fraser, Precinct 3",230,,,0,155,68,7
993042000004,"Fraser, Precinct 4",206,,,0,133,63,10
993042000005,"Fraser, Precinct 5",288,,,0,187,86,15
998245300002,Grosse Pointe Shores 2,0,,,0,0,0,0
995296000001,"Memphis, Precinct 1",0,,,0,0,0,0
995582000001,"Mount Clemens, Precinct 1",128,,,0,92,30,6
995582000002,"Mount Clemens, Precinct 2",146,,,0,70,71,5
995582000003,"Mount Clemens, Precinct 3",219,,,0,111,95,13
995582000004,"Mount Clemens, Precinct 4",137,,,0,63,71,3
995582000005,"Mount Clemens, Precinct 5",213,,,0,126,72,15
995582000006,"Mount Clemens, Precinct 6",279,,,0,194,72,13
995710000001,"New Baltimore, Precinct 1",128,,,0,85,40,3
995710000002,"New Baltimore, Precinct 2",98,,,0,58,36,4
995710000003,"New Baltimore, Precinct 3",235,,,0,149,78,8
995710000004,"New Baltimore, Precinct 4",237,,,0,150,77,10
995710000005,"New Baltimore, Precinct 5",201,,,0,147,50,4
