id,name,total,over_votes,under_votes,Write-in,Haley Stevens,Abdul El-Sayed,Mallory McMorrow
991432000001,"Center Line, Precinct 1",176,,,1,42,129,4
991432000002,"Center Line, Precinct 2",94,,,0,30,57,7
991432000003,"Center Line, Precinct 3",241,,,1,89,144,7
991432000004,"Center Line, Precinct 4",83,,,0,33,44,6
992429000001,"Eastpointe, Precinct 1",234,,,3,109,114,8
992429000002,"Eastpointe, Precinct 2",206,,,0,86,114,6
992429000003,"Eastpointe, Precinct 3",239,,,0,105,123,11
992429000004,"Eastpointe, Precinct 4",317,,,0,167,144,6
992429000005,"Eastpointe, Precinct 5",316,,,0,169,142,5
992429000006,"Eastpointe, Precinct 6",194,,,0,98,88,8
992429000007,"Eastpointe, Precinct 7",259,,,2,136,113,8
992429000008,"Eastpointe, Precinct 8",235,,,0,122,113,0
993042000001,"Fraser, Precinct 1",167,,,0,59,103,5
993042000002,"Fraser, Precinct 2",197,,,0,67,128,2
993042000003,"Fraser, Precinct 3",162,,,0,56,102,4
993042000004,"Fraser, Precinct 4",122,,,0,38,82,2
993042000005,"Fraser, Precinct 5",133,,,0,56,73,4
998245300002,Grosse Pointe Shores 2,10,,,0,8,2,0
995296000001,"Memphis, Precinct 1",50,,,0,24,21,5
995582000001,"Mount Clemens, Precinct 1",134,,,0,83,46,5
995582000002,"Mount Clemens, Precinct 2",194,,,0,67,125,2
995582000003,"Mount Clemens, Precinct 3",200,,,0,54,145,1
995582000004,"Mount Clemens, Precinct 4",98,,,0,19,75,4
995582000005,"Mount Clemens, Precinct 5",144,,,0,55,86,3
995582000006,"Mount Clemens, Precinct 6",154,,,0,75,75,4
995710000001,"New Baltimore, Precinct 1",91,,,0,33,57,1
995710000002,"New Baltimore, Precinct 2",68,,,0,22,45,1
995710000003,"New Baltimore, Precinct 3",160,,,0,59,97,4
995710000004,"New Baltimore, Precinct 4",91,,,0,31,58,2
995710000005,"New Baltimore, Precinct 5",114,,,0,41,72,1
996838000001,"Richmond, Precinct 1",91,,,0,34,51,6
996838000002,"Richmond, Precinct 2",99,,,0,43,50,6
996980000001,"Roseville, Precinct 1",177,,,0,62,111,4
996980000002,"Roseville, Precinct 2",188,,,0,59,123,6
996980000003,"Roseville, Precinct 3",167,,,0,78,87,2
996980000004,"Roseville, Precinct 4",260,,,1,86,169,4
996980000005,"Roseville, Precinct 5",158,,,0,61,93,4
996980000006,"Roseville, Precinct 6",207,,,0,74,129,4
996980000007,"Roseville, Precinct 7",252,,,0,76,168,8
996980000008,"Roseville, Precinct 8",146,,,0,49,92,5
996980000009,"Roseville, Precinct 9",194,,,0,66,124,4
996980000010,"Roseville, Precinct 10",110,,,0,40,68,2
996980000011,"Roseville, Precinct 11",178,,,0,60,114,4
996980000012,"Roseville, Precinct 12",197,,,0,83,108,6
997076000001,"St. Clair Shores, Precinct 1",313,,,0,137,174,2
997076000002,"St. Clair Shores, Precinct 2",318,,,0,84,230,4
997076000003,"St. Clair Shores, Precinct 3",360,,,0,93,260,7
997076000004,"St. Clair Shores, Precinct 4",202,,,0,83,117,2
997076000005,"St. Clair Shores, Precinct 5",211,,,0,60,146,5
997076000006,"St. Clair Shores, Precinct 6",235,,,0,70,156,9
997076000007,"St. Clair Shores, Precinct 7",302,,,0,76,222,4
997076000008,"St. Clair Shores, Precinct 8",328,,,0,88,234,6
997076000009,"St. Clair Shores, Precinct 9",286,,,1,96,182,7
997076000010,"St. Clair Shores, Precinct 10",311,,,0,101,202,8
997076000011,"St. Clair Shores, Precinct 11",301,,,0,93,200,8
997076000012,"St. Clair Shores, Precinct 12",260,,,0,77,178,5
997646000001,"Sterling Heights, Precinct 1",191,,,1,50,137,3
997646000002,"Sterling Heights, Precinct 2",238,,,0,58,177,3
997646000003,"Sterling Heights, Precinct 3",161,,,0,38,121,2
997646000004,"Sterling Heights, Precinct 4",206,,,0,40,162,4
997646000005,"Sterling Heights, Precinct 5",143,,,0,37,103,3
997646000006,"Sterling Heights, Precinct 6",127,,,0,28,99,0
997646000007,"Sterling Heights, Precinct 7",127,,,0,31,96,0
997646000008,"Sterling Heights, Precinct 8",126,,,0,29,95,2
997646000009,"Sterling Heights, Precinct 9",116,,,0,31,83,2
997646000010,"Sterling Heights, Precinct 10",158,,,0,47,108,3
997646000011,"Sterling Heights, Precinct 11",147,,,0,39,104,4
997646000012,"Sterling Heights, Precinct 12",116,,,0,34,77,5
997646000013,"Sterling Heights, Precinct 13",138,,,0,42,95,1
997646000014,"Sterling Heights, Precinct 14",231,,,0,79,150,2
997646000015,"Sterling Heights, Precinct 15",136,,,0,29,106,1
997646000017,"Sterling Heights, Precinct 17",75,,,0,23,49,3
997646000018,"Sterling Heights, Precinct 18",90,,,0,27,63,0
997646000019,"Sterling Heights, Precinct 19",98,,,0,34,63,1
997646000020,"Sterling Heights, Precinct 20",128,,,0,42,86,0
997646000021,"Sterling Heights, Precinct 21",267,,,2,86,173,6
997646000022,"Sterling Heights, Precinct 22",114,,,0,46,66,2
997646000023,"Sterling Heights, Precinct 23",110,,,1,45,62,2
997646000025,"Sterling Heights, Precinct 25",58,,,0,15,42,1
997646000026,"Sterling Heights, Precinct 26",151,,,0,53,94,4
997646000027,"Sterling Heights, Precinct 27",92,,,1,30,60,1
997646000028,"Sterling Heights, Precinct 28",106,,,0,40,65,1
997646000029,"Sterling Heights, Precinct 29",97,,,0,42,53,2
997646000030,"Sterling Heights, Precinct 30",132,,,0,41,88,3
997646000031,"Sterling Heights, Precinct 31",150,,,0,48,100,2
997646000032,"Sterling Heights, Precinct 32",132,,,0,38,93,1
997646000033,"Sterling Heights, Precinct 33",98,,,0,23,73,2
997646000034,"Sterling Heights, Precinct 34",165,,,0,50,111,4
997646000035,"Sterling Heights, Precinct 35",182,,,0,58,117,7
997646000036,"Sterling Heights, Precinct 36",175,,,0,58,114,3
997646000037,"Sterling Heights, Precinct 37",135,,,0,46,87,2
997646000038,"Sterling Heights, Precinct 38",191,,,0,71,119,1
997646000039,"Sterling Heights, Precinct 39",156,,,0,45,108,3
997646000040,"Sterling Heights, Precinct 40",216,,,0,62,145,9
997646000042,"Sterling Heights, Precinct 42",178,,,0,56,116,6
997646000043,"Sterling Heights, Precinct 43",244,,,0,87,156,1
998154000001,"Utica, Precinct 1",261,,,1,75,173,12
998400001001,"Warren, Precinct 1",212,,,0,64,138,10
998400002002,"Warren, Precinct 2",175,,,0,51,122,2
998400002003,"Warren, Precinct 3",229,,,0,50,175,4
998400001004,"Warren, Precinct 4",166,,,0,55,102,9
998400001005,"Warren, Precinct 5",245,,,0,61,181,3
998400005006,"Warren, Precinct 6",95,,,0,28,64,3
998400005007,"Warren, Precinct 7",96,,,0,33,63,0
998400005008,"Warren, Precinct 8",95,,,0,35,59,1
998400003009,"Warren, Precinct 9",127,,,0,54,70,3
998400003010,"Warren, Precinct 10",2,,,0,1,1,0
998400005011,"Warren, Precinct 11",80,,,0,22,55,3
998400005012,"Warren, Precinct 12",39,,,0,12,25,2
998400003013,"Warren, Precinct 13",187,,,0,75,107,5
998400004014,"Warren, Precinct 14",83,,,0,37,44,2
998400004015,"Warren, Precinct 15",88,,,0,31,55,2
998400004016,"Warren, Precinct 16",82,,,0,25,56,1
998400005017,"Warren, Precinct 17",34,,,1,12,20,1
998400002018,"Warren, Precinct 18",262,,,0,60,197,5
998400002019,"Warren, Precinct 19",200,,,0,59,139,2
998400005020,"Warren, Precinct 20",177,,,0,65,109,3
998400005021,"Warren, Precinct 21",168,,,0,62,103,3
998400003022,"Warren, Precinct 22",73,,,0,23,48,2
998400004023,"Warren, Precinct 23",123,,,0,48,74,1
998400004024,"Warren, Precinct 24",89,,,0,42,46,1
998400004025,"Warren, Precinct 25",134,,,0,43,88,3
998400003026,"Warren, Precinct 26",143,,,0,35,107,1
998400003027,"Warren, Precinct 27",203,,,0,76,123,4
998400004028,"Warren, Precinct 28",192,,,0,71,115,6
998400003029,"Warren, Precinct 29",179,,,0,48,126,5
998400004030,"Warren, Precinct 30",191,,,0,69,119,3
998400001031,"Warren, Precinct 31",195,,,0,41,150,4
998400002032,"Warren, Precinct 32",237,,,1,59,173,4
998400002033,"Warren, Precinct 33",120,,,0,41,78,1
998400001034,"Warren, Precinct 34",161,,,0,42,112,7
998400001035,"Warren, Precinct 35",131,,,0,30,101,0
998400002036,"Warren, Precinct 36",184,,,0,43,141,0
998400005037,"Warren, Precinct 37",275,,,0,82,185,8
998400005038,"Warren, Precinct 38",237,,,0,57,175,5
998400005039,"Warren, Precinct 39",139,,,0,49,85,5
998400002040,"Warren, Precinct 40",207,,,1,57,146,3
998400001041,"Warren, Precinct 41",172,,,1,39,132,0
998400001042,"Warren, Precinct 42",308,,,0,68,236,4
998400002043,"Warren, Precinct 43",134,,,0,53,79,2
998400003044,"Warren, Precinct 44",174,,,0,58,114,2
998400004045,"Warren, Precinct 45",178,,,0,70,106,2
998400003046,"Warren, Precinct 46",191,,,0,52,137,2
998400004047,"Warren, Precinct 47",103,,,0,27,74,2
998400003048,"Warren, Precinct 48",140,,,0,59,80,1
998400003049,"Warren, Precinct 49",114,,,0,36,73,5
998400002050,"Warren, Precinct 50",176,,,0,62,114,0
998400001051,"Warren, Precinct 51",101,,,0,37,63,1
998400001052,"Warren, Precinct 52",162,,,0,53,104,5
998400004053,"Warren, Precinct 53",203,,,0,74,124,5
990354000001,"Armada Township, Precinct 1",115,,,0,48,63,4
990354000002,"Armada Township, Precinct 2",57,,,0,33,24,0
991130000001,"Bruce Township, Precinct 1",60,,,0,25,34,1
991130000002,"Bruce Township, Precinct 2",100,,,0,40,57,3
991130000003,"Bruce Township, Precinct 3",98,,,0,40,55,3
991130000004,"Bruce Township, Precinct 4",96,,,0,42,53,1
991534000001,"Chesterfield Township, Precinct 1",177,,,2,71,97,7
991534000002,"Chesterfield Township, Precinct 2",177,,,1,56,116,4
991534000003,"Chesterfield Township, Precinct 3",194,,,1,101,88,4
991534000004,"Chesterfield Township, Precinct 4",214,,,0,78,128,8
991534000005,"Chesterfield Township, Precinct 5",185,,,0,76,104,5
991534000006,"Chesterfield Township, Precinct 6",196,,,0,78,115,3
991534000007,"Chesterfield Township, Precinct 7",145,,,0,51,88,6
991534000008,"Chesterfield Township, Precinct 8",78,,,0,30,47,1
991534000009,"Chesterfield Township, Precinct 9",277,,,1,113,157,6
991534000010,"Chesterfield Township, Precinct 10",178,,,0,87,85,6
991652000001,"Clinton Township, Precinct 1",208,,,0,85,114,9
991652000002,"Clinton Township, Precinct 2",200,,,0,82,114,4
991652000003,"Clinton Township, Precinct 3",222,,,0,66,151,5
991652000004,"Clinton Township, Precinct 4",199,,,0,81,114,4
991652000005,"Clinton Township, Precinct 5",205,,,1,64,135,5
991652000006,"Clinton Township, Precinct 6",188,,,0,81,103,4
