id,name,board,Callie Barr,Kyle Blomquist,Wayne Stiles,Unresolved Write-In,registered,ballots,over_votes,under_votes,total,turnout
1034122000001,"City of Ishpeming, Precinct 1",,577,304,26,2,5486,1399,0,0,907,25.5
city-of-marquette-ward-1-precinct-1,"City of Marquette, Ward 1, Precinct 1",,658,394,53,1,4200,1648,0,0,1105,39.24
city-of-marquette-ward-1-precinct-2,"City of Marquette, Ward 1, Precinct 2",,382,237,31,2,2381,977,0,0,650,41.03
city-of-marquette-ward-1-precinct-3,"City of Marquette, Ward 1, Precinct 3",,625,580,24,1,3850,1528,0,0,1229,39.69
city-of-marquette-ward-1-precinct-4,"City of Marquette, Ward 1, Precinct 4",,701,459,29,4,4481,1527,0,0,1189,34.08
1035686000001,"City of Negaunee, Precinct 1",,545,274,26,1,3900,1264,0,0,845,32.41
1031454000001,"Champion Township, Precinct 1",,30,24,2,0,234,72,0,0,56,30.77
chocolay-charter-township-precinct-1,"Chocolay Charter Township, Precinct 1",,409,212,22,1,2708,1077,0,0,643,39.77
chocolay-charter-township-precinct-2,"Chocolay Charter Township, Precinct 2",,441,208,26,3,2540,1136,0,0,675,44.72
1032582000001,"Ely Township, Precinct 1",,210,93,2,0,1793,539,0,0,305,30.06
1032684000001,"Ewing Township, Precinct 1",,16,13,1,0,137,65,0,0,30,47.45
1032972000001,"Forsyth Township, Precinct 1",,345,180,25,2,2865,1151,0,0,550,40.17
1032972000002,"Forsyth Township, Precinct 2",,80,49,5,0,961,359,0,0,134,37.36
1032972000003,"Forsyth Township, Precinct 3",,80,87,4,1,1807,322,0,0,171,17.82
1033994000001,"Humboldt Township, Precinct 1",,41,24,2,0,425,151,0,0,67,35.53
1034124000001,"Ishpeming Township, Precinct 1",,412,137,30,0,3137,1038,0,0,579,33.09
marquette-charter-township-precinct-1,"Marquette Charter Township, Precinct 1",,602,294,29,3,3757,1513,0,0,925,40.27
1035354000001,"Michigamme Township, Precinct 1",,38,15,0,0,328,121,0,0,53,36.89
1035688000001,"Negaunee Township, Precinct 1",,386,146,10,1,2874,896,0,0,542,31.18
1036612000001,"Powell Township, Precinct 1",,118,56,6,1,836,320,0,0,180,38.28
1036800000001,"Republic Township, Precinct 1",,127,41,15,0,1006,360,0,0,183,35.79
1036842000001,"Richmond Township, Precinct 1",,105,47,2,0,691,247,0,0,154,35.75
1037146000001,"Sands Township, Precinct 1",,238,148,19,0,1990,751,0,0,405,37.74
1037411000001,"Skandia Township, Precinct 1",,70,59,10,0,768,282,0,0,139,36.72
1037978000001,"Tilden Township, Precinct 1",,96,36,5,1,869,267,0,0,137,30.72
1038078000001,"Turin Township, Precinct 1",,12,7,1,0,119,45,0,0,20,37.82
0418524000001,"Wells Township, Precinct 1",,19,7,2,0,228,72,0,0,28,31.58
1038554000001,"West Branch Township, Precinct 1",,123,92,8,0,1465,415,0,0,223,28.33
