id,name,board,registered,ballots,over_votes,under_votes,total,turnout,Write-in,Ben Ambrose,Jamie Hill,Clyde Welford
1070050000001,"Aetna Township, Precinct 1",,1869,417,0,0,99,22.31,1,32,53,14
1070438000001,"Austin Township, Precinct 1",,1287,314,0,0,109,24.4,0,46,46,17
1070832000001,"Big Rapids Charter Township, Precinct 1",,3184,980,0,0,417,30.78,3,207,129,81
1071560000001,"Chippewa Township, Precinct 1",,1088,400,0,0,123,36.76,1,51,60,12
1071716000001,"Colfax Township, Precinct 1",,1792,544,0,0,203,30.36,2,72,102,29
1072124000001,"Deerfield Township, Precinct 1",,1351,323,0,0,94,23.91,1,38,41,15
1072968000001,"Fork Township, Precinct 1",,1367,345,0,0,113,25.24,1,47,56,10
1073434000001,"Grant Township, Precinct 1",,612,178,0,0,54,29.08,0,27,25,2
1073476000001,"Green Charter Township, Precinct 1",,2746,836,0,0,308,30.44,2,141,108,59
1073854000001,"Hinton Township, Precinct 1",,853,254,0,0,78,29.78,0,35,37,6
1075206000001,"Martiny Township, Precinct 1",,1504,457,0,0,173,30.39,0,71,80,22
1075278000001,"Mecosta Township, Precinct 1",,2294,659,0,0,233,28.73,1,98,97,38
1075402000001,"Millbrook Township, Precinct 1",,880,220,0,0,75,25.0,0,26,44,5
1075560000001,"Morton Township, Precinct 1",,2198,827,0,0,302,37.63,0,120,139,43
1075560000002,"Morton Township, Precinct 2",,2010,916,0,0,316,45.57,2,159,96,61
1077308000001,"Sheridan Township, Precinct 1",,1146,288,0,0,97,25.13,1,36,50,11
1078656000001,"Wheatland Township, Precinct 1",,1115,346,0,0,126,31.03,2,46,62,18
1070830000001,"City of Big Rapids, Precinct 1",,2651,475,0,0,262,17.92,1,120,102,40
1070830000002,"City of Big Rapids, Precinct 2",,2567,524,0,0,320,20.41,3,155,137,28
