id,name,board,registered,ballots,over_votes,under_votes,total,turnout,Write-in,Tyler Landgraf
1070050000001,"Aetna Township, Precinct 1",,1869,417,0,0,97,22.31,1,97
1070438000001,"Austin Township, Precinct 1",,1287,314,0,0,104,24.4,0,104
1070832000001,"Big Rapids Charter Township, Precinct 1",,3184,980,0,0,403,30.78,4,403
1071560000001,"Chippewa Township, Precinct 1",,1088,400,0,0,128,36.76,2,128
1071716000001,"Colfax Township, Precinct 1",,1792,544,0,0,213,30.36,0,213
1072124000001,"Deerfield Township, Precinct 1",,1351,323,0,0,96,23.91,0,96
1072968000001,"Fork Township, Precinct 1",,1367,345,0,0,103,25.24,1,103
1073434000001,"Grant Township, Precinct 1",,612,178,0,0,54,29.08,1,54
1073476000001,"Green Charter Township, Precinct 1",,2746,836,0,0,303,30.44,2,303
1073854000001,"Hinton Township, Precinct 1",,853,254,0,0,80,29.78,0,80
1075206000001,"Martiny Township, Precinct 1",,1504,457,0,0,162,30.39,1,162
1075278000001,"Mecosta Township, Precinct 1",,2294,659,0,0,223,28.73,2,223
1075402000001,"Millbrook Township, Precinct 1",,880,220,0,0,72,25.0,0,72
1075560000001,"Morton Township, Precinct 1",,2198,827,0,0,297,37.63,2,297
1075560000002,"Morton Township, Precinct 2",,2010,916,0,0,316,45.57,1,316
1077308000001,"Sheridan Township, Precinct 1",,1146,288,0,0,86,25.13,2,86
1078656000001,"Wheatland Township, Precinct 1",,1115,346,0,0,120,31.03,2,120
1070830000001,"City of Big Rapids, Precinct 1",,2651,475,0,0,252,17.92,0,252
1070830000002,"City of Big Rapids, Precinct 2",,2567,524,0,0,312,20.41,3,312
