id,name,board,registered,ballots,over_votes,under_votes,total,turnout,Write-in,Mike Rogers
1070050000001,"Aetna Township, Precinct 1",,1869,417,0,0,281,22.31,2,281
1070438000001,"Austin Township, Precinct 1",,1287,314,0,0,172,24.4,0,172
1070832000001,"Big Rapids Charter Township, Precinct 1",,3184,980,0,0,460,30.78,1,460
1071560000001,"Chippewa Township, Precinct 1",,1088,400,0,0,224,36.76,2,224
1071716000001,"Colfax Township, Precinct 1",,1792,544,0,0,279,30.36,3,279
1072124000001,"Deerfield Township, Precinct 1",,1351,323,0,0,199,23.91,0,199
1072968000001,"Fork Township, Precinct 1",,1367,345,0,0,186,25.24,0,186
1073434000001,"Grant Township, Precinct 1",,612,178,0,0,109,29.08,2,109
1073476000001,"Green Charter Township, Precinct 1",,2746,836,0,0,444,30.44,1,444
1073854000001,"Hinton Township, Precinct 1",,853,254,0,0,156,29.78,0,156
1075206000001,"Martiny Township, Precinct 1",,1504,457,0,0,238,30.39,1,238
1075278000001,"Mecosta Township, Precinct 1",,2294,659,0,0,364,28.73,2,364
1075402000001,"Millbrook Township, Precinct 1",,880,220,0,0,129,25.0,1,129
1075560000001,"Morton Township, Precinct 1",,2198,827,0,0,421,37.63,3,421
1075560000002,"Morton Township, Precinct 2",,2010,916,0,0,513,45.57,0,513
1077308000001,"Sheridan Township, Precinct 1",,1146,288,0,0,162,25.13,1,162
1078656000001,"Wheatland Township, Precinct 1",,1115,346,0,0,178,31.03,0,178
1070830000001,"City of Big Rapids, Precinct 1",,2651,475,0,0,169,17.92,1,169
1070830000002,"City of Big Rapids, Precinct 2",,2567,524,0,0,136,20.41,1,136
