id,name,Kristen McDonald Rivet,Write-in
1115378001001,"City of Midland, Ward 1, Precinct 1",191,3
1115378001002,"City of Midland, Ward 1, Precinct 2",145,1
1115378002003,"City of Midland, Ward 2, Precinct 3",147,4
1115378002004,"City of Midland, Ward 2, Precinct 4",243,4
1115378003005,"City of Midland, Ward 3, Precinct 5",195,2
1115378003006,"City of Midland, Ward 3, Precinct 6",216,2
1115378004007,"City of Midland, Ward 4, Precinct 7",218,2
1115378004008,"City of Midland, Ward 4, Precinct 8",225,2
1115378005009,"City of Midland, Ward 5, Precinct 9",251,2
1115378005010,"City of Midland, Ward 5, Precinct 10",265,5
1113898000001,"Homer Township, Precinct 1",183,0
1113898000002,"Homer Township, Precinct 2",128,0
1113898000003,"Homer Township, Precinct 3",203,0
1113916000001,"Hope Township, Precinct 1",126,1
1114062000001,"Ingersoll Township, Precinct 1",159,5
1114062000002,"Ingersoll Township, Precinct 2",109,0
1114176000001,"Jerome Township, Precinct 1",58,3
1114176000002,"Jerome Township, Precinct 2",55,1
1114616000001,"Larkin Township, Precinct 1",85,3
1114616000002,"Larkin Township, Precinct 2",138,1
1114664000001,"Lee Township, Precinct 1",154,1
1114664000002,"Lee Township, Precinct 2",149,2
1114768000001,"Lincoln Township, Precinct 1",293,5
1115380000001,"Midland Township, Precinct 1",231,1
1115432000001,"Mills Township, Precinct 1",172,0
1115594000001,"Mount Haley Township, Precinct 1",182,1
1116574000001,"Porter Township, Precinct 1",110,0
