id,name,Mike Rogers,Write-in
1111710000001,"City of Coleman, Precinct 1",113,0
1115378001001,"City of Midland, Ward 1, Precinct 1",298,0
1115378001002,"City of Midland, Ward 1, Precinct 2",247,1
1115378002003,"City of Midland, Ward 2, Precinct 3",301,0
1115378002004,"City of Midland, Ward 2, Precinct 4",364,2
1115378003005,"City of Midland, Ward 3, Precinct 5",402,0
1115378003006,"City of Midland, Ward 3, Precinct 6",479,0
1115378004007,"City of Midland, Ward 4, Precinct 7",438,1
1115378004008,"City of Midland, Ward 4, Precinct 8",408,0
1115378005009,"City of Midland, Ward 5, Precinct 9",344,0
1115378005010,"City of Midland, Ward 5, Precinct 10",437,0
1112483000001,"Edenville Township, Precinct 1",358,0
1113182000001,"Geneva Township, Precinct 1",153,1
1113486000001,"Greendale Township, Precinct 1",206,0
1113898000001,"Homer Township, Precinct 1",127,0
1113898000002,"Homer Township, Precinct 2",160,0
1113898000003,"Homer Township, Precinct 3",181,2
1113916000001,"Hope Township, Precinct 1",228,0
1114062000001,"Ingersoll Township, Precinct 1",202,1
1114062000002,"Ingersoll Township, Precinct 2",137,0
1114156000001,"Jasper Township, Precinct 1",127,0
1114176000001,"Jerome Township, Precinct 1",290,0
1114176000002,"Jerome Township, Precinct 2",308,3
1114616000001,"Larkin Township, Precinct 1",413,1
1114616000002,"Larkin Township, Precinct 2",515,5
1114664000001,"Lee Township, Precinct 1",198,0
1114664000002,"Lee Township, Precinct 2",183,0
1114768000001,"Lincoln Township, Precinct 1",361,1
1115380000001,"Midland Township, Precinct 1",266,0
1115432000001,"Mills Township, Precinct 1",244,0
1115594000001,"Mount Haley Township, Precinct 1",189,3
1116574000001,"Porter Township, Precinct 1",139,0
1118402000001,"Warren Township, Precinct 1",263,1
