id,name,Callie Barr,Kyle Blomquist,Wayne Stiles,Write-in
1130052000001,"Aetna Township, Precinct 1",7,6,0,0
1130908000001,"Bloomfield Township, Precinct 1",26,16,5,0
1131220000001,"Butterfield Township, Precinct 1",28,12,1,0
1131244000001,"Caldwell Township, Precinct 1",39,24,6,0
1131590000001,"Clam Union Township, Precinct 1",12,11,4,0
1132620000001,"Enterprise Township, Precinct 1",9,4,0,0
1132944000001,"Forest Township, Precinct 1",42,18,9,0
1133862000001,"Holland Township, Precinct 1",14,1,3,0
1134438000001,"Lake Township, Precinct 1",150,81,22,0
1135928000001,"Norwich Township, Precinct 1",15,12,7,0
1136446000001,"Pioneer Township, Precinct 1",18,5,5,0
1136784000001,"Reeder Township, Precinct 1",54,18,10,0
1136828000001,"Richland Township, Precinct 1",39,6,6,0
1136882000001,"Riverside Township, Precinct 1",17,9,0,0
1138556000001,"West Branch Township, Precinct 1",19,3,2,0
1134448000001,"Lake City, Precinct 1",52,22,6,0
1134998000001,"McBain, Precinct 1",17,3,0,0
