id,name,Jocelyn Benson,Christopher Robert Swanson,Write-in,Justin Blackburn
1154970000001,"City of Luna Pier, Precinct 1",128,13,1,0
1155502000001,"City of Monroe, Precinct 1",290,45,1,0
1155502000002,"City of Monroe, Precinct 2",232,37,4,0
,"City of Monroe, Precinct 3N",132,28,2,0
,"City of Monroe, Precinct 3S",87,20,0,0
1155502000004,"City of Monroe, Precinct 4",388,70,3,0
1155502000005,"City of Monroe, Precinct 5",445,52,3,0
1155502000006,"City of Monroe, Precinct 6",277,61,0,0
1156380000001,"City of Petersburg, Precinct 1",71,35,2,0
1150368000001,"Ash Township, Precinct 1",208,39,0,0
1150368000002,"Ash Township, Precinct 2",287,48,2,0
1150368000003,"Ash Township, Precinct 3",185,42,2,0
1150674000001,"Bedford Township, Precinct 1",79,18,0,0
1150674000002,"Bedford Township, Precinct 2",209,39,1,0
1150674000003,"Bedford Township, Precinct 3",167,33,0,0
1150674000004,"Bedford Township, Precinct 4",259,55,0,0
1150674000005,"Bedford Township, Precinct 5",222,37,0,0
1150674000006,"Bedford Township, Precinct 6",298,61,0,0
1150674000007,"Bedford Township, Precinct 7",238,39,1,0
1150674000008,"Bedford Township, Precinct 8",249,35,3,0
1150674000009,"Bedford Township, Precinct 9",170,23,0,0
1150674000010,"Bedford Township, Precinct 10",136,23,1,0
1150674000011,"Bedford Township, Precinct 11",197,49,1,0
1150674000012,"Bedford Township, Precinct 12",229,41,1,0
1150674000013,"Bedford Township, Precinct 13",208,34,0,0
1150674000014,"Bedford Township, Precinct 14",167,33,0,0
1150772000001,"Berlin Township, Precinct 1",186,42,2,1
1150772000002,"Berlin Township, Precinct 2",244,45,1,0
1150772000003,"Berlin Township, Precinct 3",191,28,0,0
1150772000004,"Berlin Township, Precinct 4",228,73,1,0
1152340000001,"Dundee Township, Precinct 1",170,46,1,0
1152340000002,"Dundee Township, Precinct 2",250,59,4,0
1152340000003,"Dundee Township, Precinct 3",277,77,0,0
1152632000001,"Erie Township, Precinct 1",295,69,0,0
1152688000001,"Exeter Township, Precinct 1",162,22,0,0
1152688000002,"Exeter Township, Precinct 2",218,43,2,0
1153082000001,"Frenchtown Township, Precinct 1",110,18,0,0
1153082000002,"Frenchtown Township, Precinct 2",135,32,0,0
1153082000003,"Frenchtown Township, Precinct 3",159,34,0,0
1153082000004,"Frenchtown Township, Precinct 4",258,29,0,0
1153082000005,"Frenchtown Township, Precinct 5",143,40,1,0
1153082000006,"Frenchtown Township, Precinct 6",213,37,0,0
1153082000007,"Frenchtown Township, Precinct 7",312,50,0,0
1153082000008,"Frenchtown Township, Precinct 8",163,33,2,0
1153082000009,"Frenchtown Township, Precinct 9",198,44,0,0
1154026000001,"Ida Township, Precinct 1",174,47,1,0
1154026000002,"Ida Township, Precinct 2",188,24,0,0
1154626000001,"La Salle Township, Precinct 1",180,26,2,0
1154626000002,"La Salle Township, Precinct 2",242,41,0,0
1154918000001,"London Township, Precinct 1",249,54,2,0
1155390000001,"Milan Township, Precinct 1",162,38,0,0
1155504000001,"Monroe Charter Township, Precinct 1",188,36,0,0
1155504000002,"Monroe Charter Township, Precinct 2",120,24,0,0
1155504000003,"Monroe Charter Township, Precinct 3",151,23,2,0
1155504000004,"Monroe Charter Township, Precinct 4",221,35,1,0
1155504000005,"Monroe Charter Township, Precinct 5",282,46,1,0
1155504000006,"Monroe Charter Township, Precinct 6",180,27,0,0
1156690000001,"Raisinville Township, Precinct 1",228,43,0,0
1156690000002,"Raisinville Township, Precinct 2",335,42,0,0
1157714000001,"Summerfield Township, Precinct 1",217,44,0,0
1158674000001,"Whiteford Township, Precinct 1",177,23,1,0
1158674000002,"Whiteford Township, Precinct 2",106,15,0,0
