id,name,Mike Cox,John James,Perry Johnson,Aric Nesbitt,Write-in
1154970000001,"City of Luna Pier, Precinct 1",0,0,0,0,0
1155502000001,"City of Monroe, Precinct 1",18,76,31,2,0
1155502000002,"City of Monroe, Precinct 2",17,19,23,0,0
,"City of Monroe, Precinct 3N",9,15,7,1,0
,"City of Monroe, Precinct 3S",6,11,12,0,0
1155502000004,"City of Monroe, Precinct 4",26,91,36,1,0
1155502000005,"City of Monroe, Precinct 5",30,79,57,1,1
1155502000006,"City of Monroe, Precinct 6",28,77,36,2,1
1156380000001,"City of Petersburg, Precinct 1",0,0,0,0,0
1150368000001,"Ash Township, Precinct 1",38,72,74,3,0
1150368000002,"Ash Township, Precinct 2",53,99,109,4,0
1150368000003,"Ash Township, Precinct 3",34,89,73,3,0
1150674000001,"Bedford Township, Precinct 1",13,30,13,0,0
1150674000002,"Bedford Township, Precinct 2",18,64,24,0,0
1150674000003,"Bedford Township, Precinct 3",12,30,38,1,0
1150674000004,"Bedford Township, Precinct 4",24,76,44,3,1
1150674000005,"Bedford Township, Precinct 5",23,47,31,0,0
1150674000006,"Bedford Township, Precinct 6",24,78,39,2,0
1150674000007,"Bedford Township, Precinct 7",22,63,34,4,0
1150674000008,"Bedford Township, Precinct 8",30,88,33,2,1
1150674000009,"Bedford Township, Precinct 9",23,33,24,4,0
1150674000010,"Bedford Township, Precinct 10",6,27,24,4,0
1150674000011,"Bedford Township, Precinct 11",18,90,32,2,0
1150674000012,"Bedford Township, Precinct 12",17,66,23,6,0
1150674000013,"Bedford Township, Precinct 13",26,49,26,2,0
1150674000014,"Bedford Township, Precinct 14",15,32,16,1,0
1150772000001,"Berlin Township, Precinct 1",12,25,47,0,0
1150772000002,"Berlin Township, Precinct 2",35,71,81,0,0
1150772000003,"Berlin Township, Precinct 3",27,39,35,6,0
1150772000004,"Berlin Township, Precinct 4",30,43,57,2,1
1152340000001,"Dundee Township, Precinct 1",0,0,0,0,0
1152340000002,"Dundee Township, Precinct 2",0,0,0,0,0
1152340000003,"Dundee Township, Precinct 3",0,0,0,0,0
1152632000001,"Erie Township, Precinct 1",41,106,86,3,0
1152688000001,"Exeter Township, Precinct 1",0,0,0,0,0
1152688000002,"Exeter Township, Precinct 2",0,0,0,0,0
1153082000001,"Frenchtown Township, Precinct 1",23,34,28,2,0
1153082000002,"Frenchtown Township, Precinct 2",18,34,34,1,0
1153082000003,"Frenchtown Township, Precinct 3",22,52,43,2,2
1153082000004,"Frenchtown Township, Precinct 4",43,95,58,2,0
1153082000005,"Frenchtown Township, Precinct 5",16,35,22,1,0
1153082000006,"Frenchtown Township, Precinct 6",19,55,52,1,0
1153082000007,"Frenchtown Township, Precinct 7",42,109,87,8,1
1153082000008,"Frenchtown Township, Precinct 8",22,48,35,1,1
1153082000009,"Frenchtown Township, Precinct 9",22,44,31,2,0
1154026000001,"Ida Township, Precinct 1",16,74,52,2,0
1154026000002,"Ida Township, Precinct 2",23,56,51,2,0
1154626000001,"La Salle Township, Precinct 1",29,50,42,2,0
1154626000002,"La Salle Township, Precinct 2",39,73,68,0,1
1154918000001,"London Township, Precinct 1",0,0,0,0,0
1155390000001,"Milan Township, Precinct 1",0,0,0,0,0
1155504000001,"Monroe Charter Township, Precinct 1",18,39,35,1,1
1155504000002,"Monroe Charter Township, Precinct 2",16,24,14,0,1
1155504000003,"Monroe Charter Township, Precinct 3",16,31,45,2,0
1155504000004,"Monroe Charter Township, Precinct 4",18,59,55,2,0
1155504000005,"Monroe Charter Township, Precinct 5",49,97,74,5,0
1155504000006,"Monroe Charter Township, Precinct 6",45,86,52,1,0
1156690000001,"Raisinville Township, Precinct 1",38,142,109,2,0
1156690000002,"Raisinville Township, Precinct 2",43,118,71,5,0
1157714000001,"Summerfield Township, Precinct 1",20,118,64,2,0
1158674000001,"Whiteford Township, Precinct 1",17,56,31,3,0
1158674000002,"Whiteford Township, Precinct 2",6,62,35,2,0
