id,name,Mike Cox,John James,Perry Johnson,Aric Nesbitt,Write-in
1154970000001,"City of Luna Pier, Precinct 1",29,50,41,0,0
1155502000001,"City of Monroe, Precinct 1",25,122,53,3,0
1155502000002,"City of Monroe, Precinct 2",23,69,53,0,0
,"City of Monroe, Precinct 3N",13,37,28,3,0
,"City of Monroe, Precinct 3S",11,26,17,0,0
1155502000004,"City of Monroe, Precinct 4",33,181,87,2,0
1155502000005,"City of Monroe, Precinct 5",55,161,100,1,2
1155502000006,"City of Monroe, Precinct 6",38,149,89,4,1
1156380000001,"City of Petersburg, Precinct 1",18,46,26,1,0
1150368000001,"Ash Township, Precinct 1",46,136,129,3,0
1150368000002,"Ash Township, Precinct 2",64,193,203,6,0
1150368000003,"Ash Township, Precinct 3",43,145,157,3,0
1150674000001,"Bedford Township, Precinct 1",24,61,36,0,0
1150674000002,"Bedford Township, Precinct 2",30,168,48,2,0
1150674000003,"Bedford Township, Precinct 3",24,100,95,2,1
1150674000004,"Bedford Township, Precinct 4",36,164,75,4,1
1150674000005,"Bedford Township, Precinct 5",35,104,54,2,0
1150674000006,"Bedford Township, Precinct 6",37,191,86,2,0
1150674000007,"Bedford Township, Precinct 7",34,155,56,6,0
1150674000008,"Bedford Township, Precinct 8",46,189,59,4,1
1150674000009,"Bedford Township, Precinct 9",39,96,44,4,0
1150674000010,"Bedford Township, Precinct 10",15,82,51,4,0
1150674000011,"Bedford Township, Precinct 11",36,175,74,3,1
1150674000012,"Bedford Township, Precinct 12",32,134,45,6,0
1150674000013,"Bedford Township, Precinct 13",46,130,56,3,0
1150674000014,"Bedford Township, Precinct 14",21,81,29,1,0
1150772000001,"Berlin Township, Precinct 1",29,81,119,0,0
1150772000002,"Berlin Township, Precinct 2",49,162,147,2,0
1150772000003,"Berlin Township, Precinct 3",53,114,89,7,0
1150772000004,"Berlin Township, Precinct 4",49,160,148,4,1
1152340000001,"Dundee Township, Precinct 1",24,57,65,1,0
1152340000002,"Dundee Township, Precinct 2",42,125,93,3,0
1152340000003,"Dundee Township, Precinct 3",51,148,137,4,1
1152632000001,"Erie Township, Precinct 1",62,236,179,5,0
1152688000001,"Exeter Township, Precinct 1",29,116,137,0,2
1152688000002,"Exeter Township, Precinct 2",41,114,112,5,0
1153082000001,"Frenchtown Township, Precinct 1",28,59,67,2,0
1153082000002,"Frenchtown Township, Precinct 2",27,87,78,1,0
1153082000003,"Frenchtown Township, Precinct 3",48,122,112,5,3
1153082000004,"Frenchtown Township, Precinct 4",44,145,90,3,0
1153082000005,"Frenchtown Township, Precinct 5",21,70,47,1,0
1153082000006,"Frenchtown Township, Precinct 6",32,149,123,1,0
1153082000007,"Frenchtown Township, Precinct 7",55,172,142,10,3
1153082000008,"Frenchtown Township, Precinct 8",33,99,96,1,3
1153082000009,"Frenchtown Township, Precinct 9",31,84,75,2,0
1154026000001,"Ida Township, Precinct 1",29,183,132,3,0
1154026000002,"Ida Township, Precinct 2",35,130,122,2,0
1154626000001,"La Salle Township, Precinct 1",45,140,103,4,0
1154626000002,"La Salle Township, Precinct 2",56,171,138,0,1
1154918000001,"London Township, Precinct 1",39,154,161,4,1
1155390000001,"Milan Township, Precinct 1",22,90,95,2,1
1155504000001,"Monroe Charter Township, Precinct 1",24,90,58,1,1
1155504000002,"Monroe Charter Township, Precinct 2",22,45,29,0,1
1155504000003,"Monroe Charter Township, Precinct 3",25,88,74,2,0
1155504000004,"Monroe Charter Township, Precinct 4",25,109,108,2,0
1155504000005,"Monroe Charter Township, Precinct 5",72,183,152,8,0
1155504000006,"Monroe Charter Township, Precinct 6",53,142,96,1,0
1156690000001,"Raisinville Township, Precinct 1",46,249,197,3,1
1156690000002,"Raisinville Township, Precinct 2",56,214,139,5,0
1157714000001,"Summerfield Township, Precinct 1",42,221,118,14,1
1158674000001,"Whiteford Township, Precinct 1",32,153,81,4,0
1158674000002,"Whiteford Township, Precinct 2",11,179,75,6,0
