id,name,ballots,registered,turnout
1154970000001,"City of Luna Pier, Precinct 1",281.0,1166,24.1
1155502000001,"City of Monroe, Precinct 1",601.0,2945,20.41
1155502000002,"City of Monroe, Precinct 2",461.0,2568,17.95
,"City of Monroe, Precinct 3N",266.0,1452,18.32
,"City of Monroe, Precinct 3S",179.0,1571,11.39
1155502000004,"City of Monroe, Precinct 4",830.0,2953,28.11
1155502000005,"City of Monroe, Precinct 5",905.0,2993,30.24
1155502000006,"City of Monroe, Precinct 6",680.0,2501,27.19
1156380000001,"City of Petersburg, Precinct 1",208.0,955,21.78
1150368000001,"Ash Township, Precinct 1",607.0,2599,23.36
1150368000002,"Ash Township, Precinct 2",841.0,2673,31.46
1150368000003,"Ash Township, Precinct 3",612.0,2069,29.58
1150674000001,"Bedford Township, Precinct 1",234.0,1195,19.58
1150674000002,"Bedford Township, Precinct 2",545.0,2018,27.01
1150674000003,"Bedford Township, Precinct 3",444.0,2029,21.88
1150674000004,"Bedford Township, Precinct 4",637.0,2416,26.37
1150674000005,"Bedford Township, Precinct 5",488.0,2345,20.81
1150674000006,"Bedford Township, Precinct 6",729.0,2626,27.76
1150674000007,"Bedford Township, Precinct 7",561.0,1919,29.23
1150674000008,"Bedford Township, Precinct 8",642.0,2070,31.01
1150674000009,"Bedford Township, Precinct 9",422.0,1334,31.63
1150674000010,"Bedford Township, Precinct 10",332.0,1387,23.94
1150674000011,"Bedford Township, Precinct 11",586.0,2530,23.16
1150674000012,"Bedford Township, Precinct 12",533.0,1815,29.37
1150674000013,"Bedford Township, Precinct 13",513.0,2047,25.06
1150674000014,"Bedford Township, Precinct 14",363.0,2275,15.96
1150772000001,"Berlin Township, Precinct 1",480.0,2423,19.81
1150772000002,"Berlin Township, Precinct 2",693.0,3000,23.1
1150772000003,"Berlin Township, Precinct 3",501.0,2521,19.87
1150772000004,"Berlin Township, Precinct 4",707.0,3640,19.42
1152340000001,"Dundee Township, Precinct 1",398.0,1805,22.05
1152340000002,"Dundee Township, Precinct 2",621.0,2581,24.06
1152340000003,"Dundee Township, Precinct 3",736.0,2942,25.02
1152632000001,"Erie Township, Precinct 1",884.0,3945,22.41
1152688000001,"Exeter Township, Precinct 1",480.0,1549,30.99
1152688000002,"Exeter Township, Precinct 2",566.0,2013,28.12
1153082000001,"Frenchtown Township, Precinct 1",299.0,1508,19.83
1153082000002,"Frenchtown Township, Precinct 2",374.0,1378,27.14
1153082000003,"Frenchtown Township, Precinct 3",535.0,1514,35.34
1153082000004,"Frenchtown Township, Precinct 4",635.0,2061,30.81
1153082000005,"Frenchtown Township, Precinct 5",348.0,3232,10.77
1153082000006,"Frenchtown Township, Precinct 6",618.0,2275,27.16
1153082000007,"Frenchtown Township, Precinct 7",803.0,3740,21.47
1153082000008,"Frenchtown Township, Precinct 8",466.0,1801,25.87
1153082000009,"Frenchtown Township, Precinct 9",465.0,2098,22.16
1154026000001,"Ida Township, Precinct 1",610.0,2346,26.0
1154026000002,"Ida Township, Precinct 2",537.0,1962,27.37
1154626000001,"La Salle Township, Precinct 1",531.0,1932,27.48
1154626000002,"La Salle Township, Precinct 2",676.0,2322,29.11
1154918000001,"London Township, Precinct 1",697.0,2766,25.2
1155390000001,"Milan Township, Precinct 1",425.0,1454,29.23
1155504000001,"Monroe Charter Township, Precinct 1",428.0,1599,26.77
1155504000002,"Monroe Charter Township, Precinct 2",271.0,1733,15.64
1155504000003,"Monroe Charter Township, Precinct 3",399.0,1164,34.28
1155504000004,"Monroe Charter Township, Precinct 4",527.0,2818,18.7
1155504000005,"Monroe Charter Township, Precinct 5",807.0,2879,28.03
1155504000006,"Monroe Charter Township, Precinct 6",532.0,1816,29.3
1156690000001,"Raisinville Township, Precinct 1",810.0,2433,33.29
1156690000002,"Raisinville Township, Precinct 2",847.0,2949,28.72
1157714000001,"Summerfield Township, Precinct 1",688.0,2956,23.27
1158674000001,"Whiteford Township, Precinct 1",493.0,2320,21.25
1158674000002,"Whiteford Township, Precinct 2",421.0,1964,21.44
