id,name,Abdul El-Sayed,Mallory McMorrow,Haley Stevens,Write-in
1154970000001,"City of Luna Pier, Precinct 1",71,5,73,0
1155502000001,"City of Monroe, Precinct 1",149,14,172,0
1155502000002,"City of Monroe, Precinct 2",157,11,109,0
,"City of Monroe, Precinct 3N",91,5,66,1
,"City of Monroe, Precinct 3S",43,8,54,0
1155502000004,"City of Monroe, Precinct 4",231,20,217,0
1155502000005,"City of Monroe, Precinct 5",229,32,246,0
1155502000006,"City of Monroe, Precinct 6",156,26,166,0
1156380000001,"City of Petersburg, Precinct 1",59,2,47,0
1150368000001,"Ash Township, Precinct 1",104,16,140,0
1150368000002,"Ash Township, Precinct 2",110,19,214,0
1150368000003,"Ash Township, Precinct 3",84,9,140,1
1150674000001,"Bedford Township, Precinct 1",34,11,53,0
1150674000002,"Bedford Township, Precinct 2",100,23,130,0
1150674000003,"Bedford Township, Precinct 3",97,10,97,0
1150674000004,"Bedford Township, Precinct 4",153,42,121,1
1150674000005,"Bedford Township, Precinct 5",107,20,136,0
1150674000006,"Bedford Township, Precinct 6",151,21,199,0
1150674000007,"Bedford Township, Precinct 7",114,25,144,0
1150674000008,"Bedford Township, Precinct 8",112,39,144,0
1150674000009,"Bedford Township, Precinct 9",68,13,114,0
1150674000010,"Bedford Township, Precinct 10",69,18,75,0
1150674000011,"Bedford Township, Precinct 11",121,23,113,1
1150674000012,"Bedford Township, Precinct 12",127,8,142,0
1150674000013,"Bedford Township, Precinct 13",114,12,113,0
1150674000014,"Bedford Township, Precinct 14",93,26,84,0
1150772000001,"Berlin Township, Precinct 1",100,6,124,1
1150772000002,"Berlin Township, Precinct 2",108,16,170,1
1150772000003,"Berlin Township, Precinct 3",88,9,123,0
1150772000004,"Berlin Township, Precinct 4",142,18,146,1
1152340000001,"Dundee Township, Precinct 1",110,13,92,0
1152340000002,"Dundee Township, Precinct 2",175,18,123,2
1152340000003,"Dundee Township, Precinct 3",183,16,157,0
1152632000001,"Erie Township, Precinct 1",170,27,172,0
1152688000001,"Exeter Township, Precinct 1",62,10,114,0
1152688000002,"Exeter Township, Precinct 2",86,14,167,0
1153082000001,"Frenchtown Township, Precinct 1",54,8,65,0
1153082000002,"Frenchtown Township, Precinct 2",72,7,82,2
1153082000003,"Frenchtown Township, Precinct 3",73,13,105,0
1153082000004,"Frenchtown Township, Precinct 4",116,17,162,0
1153082000005,"Frenchtown Township, Precinct 5",77,7,102,0
1153082000006,"Frenchtown Township, Precinct 6",93,12,152,1
1153082000007,"Frenchtown Township, Precinct 7",134,22,205,0
1153082000008,"Frenchtown Township, Precinct 8",87,10,104,0
1153082000009,"Frenchtown Township, Precinct 9",124,11,110,0
1154026000001,"Ida Township, Precinct 1",94,16,112,0
1154026000002,"Ida Township, Precinct 2",82,12,121,1
1154626000001,"La Salle Township, Precinct 1",80,8,127,0
1154626000002,"La Salle Township, Precinct 2",102,11,169,0
1154918000001,"London Township, Precinct 1",120,14,172,0
1155390000001,"Milan Township, Precinct 1",90,7,110,0
1155504000001,"Monroe Charter Township, Precinct 1",87,4,135,0
1155504000002,"Monroe Charter Township, Precinct 2",83,7,55,0
1155504000003,"Monroe Charter Township, Precinct 3",70,9,104,0
1155504000004,"Monroe Charter Township, Precinct 4",120,7,133,0
1155504000005,"Monroe Charter Township, Precinct 5",121,21,190,0
1155504000006,"Monroe Charter Township, Precinct 6",74,13,124,0
1156690000001,"Raisinville Township, Precinct 1",108,17,149,0
1156690000002,"Raisinville Township, Precinct 2",138,22,218,0
1157714000001,"Summerfield Township, Precinct 1",108,15,142,0
1158674000001,"Whiteford Township, Precinct 1",82,13,108,0
1158674000002,"Whiteford Township, Precinct 2",49,4,70,0
