id,name,Mike Rogers,Write-in
1154970000001,"City of Luna Pier, Precinct 1",114,0
1155502000001,"City of Monroe, Precinct 1",64,0
1155502000002,"City of Monroe, Precinct 2",72,0
,"City of Monroe, Precinct 3N",43,0
,"City of Monroe, Precinct 3S",22,0
1155502000004,"City of Monroe, Precinct 4",129,1
1155502000005,"City of Monroe, Precinct 5",130,2
1155502000006,"City of Monroe, Precinct 6",118,0
1156380000001,"City of Petersburg, Precinct 1",79,0
1150368000001,"Ash Township, Precinct 1",104,1
1150368000002,"Ash Township, Precinct 2",162,0
1150368000003,"Ash Township, Precinct 3",130,0
1150674000001,"Bedford Township, Precinct 1",61,1
1150674000002,"Bedford Township, Precinct 2",130,0
1150674000003,"Bedford Township, Precinct 3",121,1
1150674000004,"Bedford Township, Precinct 4",108,0
1150674000005,"Bedford Township, Precinct 5",87,0
1150674000006,"Bedford Township, Precinct 6",149,0
1150674000007,"Bedford Township, Precinct 7",116,0
1150674000008,"Bedford Township, Precinct 8",132,0
1150674000009,"Bedford Township, Precinct 9",88,1
1150674000010,"Bedford Township, Precinct 10",78,0
1150674000011,"Bedford Township, Precinct 11",127,0
1150674000012,"Bedford Township, Precinct 12",99,0
1150674000013,"Bedford Township, Precinct 13",117,0
1150674000014,"Bedford Township, Precinct 14",62,0
1150772000001,"Berlin Township, Precinct 1",123,0
1150772000002,"Berlin Township, Precinct 2",151,0
1150772000003,"Berlin Township, Precinct 3",131,1
1150772000004,"Berlin Township, Precinct 4",199,0
1152340000001,"Dundee Township, Precinct 1",133,0
1152340000002,"Dundee Township, Precinct 2",235,0
1152340000003,"Dundee Township, Precinct 3",318,1
1152632000001,"Erie Township, Precinct 1",212,1
1152688000001,"Exeter Township, Precinct 1",264,0
1152688000002,"Exeter Township, Precinct 2",261,1
1153082000001,"Frenchtown Township, Precinct 1",66,0
1153082000002,"Frenchtown Township, Precinct 2",96,0
1153082000003,"Frenchtown Township, Precinct 3",141,0
1153082000004,"Frenchtown Township, Precinct 4",68,0
1153082000005,"Frenchtown Township, Precinct 5",55,0
1153082000006,"Frenchtown Township, Precinct 6",152,0
1153082000007,"Frenchtown Township, Precinct 7",112,1
1153082000008,"Frenchtown Township, Precinct 8",112,0
1153082000009,"Frenchtown Township, Precinct 9",72,0
1154026000001,"Ida Township, Precinct 1",176,0
1154026000002,"Ida Township, Precinct 2",140,0
1154626000001,"La Salle Township, Precinct 1",148,0
1154626000002,"La Salle Township, Precinct 2",155,0
1154918000001,"London Township, Precinct 1",321,2
1155390000001,"Milan Township, Precinct 1",196,1
1155504000001,"Monroe Charter Township, Precinct 1",72,0
1155504000002,"Monroe Charter Township, Precinct 2",36,1
1155504000003,"Monroe Charter Township, Precinct 3",88,0
1155504000004,"Monroe Charter Township, Precinct 4",99,0
1155504000005,"Monroe Charter Township, Precinct 5",162,0
1155504000006,"Monroe Charter Township, Precinct 6",91,0
1156690000001,"Raisinville Township, Precinct 1",174,0
1156690000002,"Raisinville Township, Precinct 2",152,0
1157714000001,"Summerfield Township, Precinct 1",161,1
1158674000001,"Whiteford Township, Precinct 1",117,2
1158674000002,"Whiteford Township, Precinct 2",134,0
