name,id,Abdul El-Sayed,Mallory McMorrow,Haley Stevens,under_votes,over_votes,Write-in
"Belvidere Township, Precinct 1",1170720000001,77,14,139,3,0,0
"Bloomer Township, Precinct 1",1170904000001,44,3,49,1,0,0
"Bushnell Township, Precinct 1",1171212000001,26,5,49,0,0,0
"Cato Township, Precinct 1",1171400000001,116,5,134,3,0,0
"Crystal Township, Precinct 1",1171908000001,85,17,142,3,0,0
"Day Township, Precinct 1",1171992000001,27,1,42,1,0,0
"Douglass Township, Precinct 1",1172276000001,70,11,130,0,0,0
"Eureka Township, Precinct 1",1172652000001,115,10,175,3,0,0
"Eureka Township, Precinct 2",1172652000002,121,7,153,0,0,0
"Evergreen Township, Precinct 1",1172672000001,93,10,144,0,0,0
"Fairplain Township, Precinct 1",1172718000001,74,8,93,0,0,0
"Ferris Township, Precinct 1",1172790000001,28,11,52,1,0,0
"Home Township, Precinct 1",1173884000001,100,11,81,2,0,0
"Maple Valley Township, Precinct 1",1175134000001,52,5,97,1,1,0
"Montcalm Township, Precinct 1",1175514000001,143,23,194,2,0,0
"Pierson Township, Precinct 1",1176404000001,144,22,151,3,0,0
"Pine Township, Precinct 1",1176420000001,57,6,113,0,0,0
"Reynolds Township, Precinct 1",1176812000001,173,15,173,7,0,0
"Richland Township, Precinct 1",1176830000001,82,2,108,5,0,0
"Sidney Township, Precinct 1",1177384000001,100,3,171,0,0,0
"Winfield Township, Precinct 1",1178788000001,73,4,74,2,1,0
"City of Carson City, Precinct 1",1171360000001,47,4,50,3,1,0
"City of Greenville, Precinct 1",1173510000001,112,5,103,0,0,0
"City of Greenville, Precinct 2",1173510000002,141,9,110,1,0,0
"City of Greenville, Precinct 3",1173510000003,184,10,188,9,1,0
"City of Greenville, Precinct 4",1173510000004,61,2,64,2,0,0
"City of Stanton, Precinct 1",1177622000001,29,5,44,3,0,0
