name,id,Write-in,Jocelyn Benson,Christopher Robert Swanson
"Laketon Township, Precinct 2",1214516000002,0,505,44
"City of Norton Shores, Precinct 3",1215914001003,0,222,25
"Egelston Township, Precinct 3",1212508000003,0,258,37
"Fruitport Charter Township, Precinct 2",1213102000002,0,319,51
"Dalton Township, Precinct 3",1211966000003,0,394,67
"Egelston Township, Precinct 2",1212508000002,0,322,51
"Casnovia Township, Precinct 1",1211384000001,0,143,38
"City of Muskegon, Precinct 1",1215632001001,0,505,61
"City of Roosevelt Park, Precinct 1",1216952000001,0,604,74
"City of Montague, Precinct 1",1215510000001,0,359,47
"City of Muskegon, Precinct 8",1215632004008,0,808,83
"City of Norton Shores, Precinct 6",1215914002006,0,899,92
"Muskegon Charter Township, Precinct 1",1215634000001,0,405,82
"Muskegon Charter Township, Precinct 4",1215634000004,0,404,57
"Blue Lake Township, Precinct 1",1210934000001,0,276,28
"City of Muskegon Heights, Precinct 4",1215636000004,0,269,19
"Dalton Township, Precinct 2",1211966000002,0,172,31
"Ravenna Township, Precinct 1",1216730000001,0,188,34
"Moorland Township, Precinct 1",1215544000001,0,99,21
"Muskegon Charter Township, Precinct 2",1215634000002,0,589,76
"Laketon Township, Precinct 1",1214516000001,0,680,83
"Sullivan Township, Precinct 1",1217710000001,0,229,41
"City of North Muskegon, Precinct 1",1215864000001,0,645,120
"City of Muskegon, Precinct 2",1215632001002,0,459,64
"Muskegon Charter Township, Precinct 3",1215634000003,0,403,63
"City of Muskegon, Precinct 7",1215632003007,0,420,38
"City of Muskegon, Precinct 6",1215632003006,0,276,44
"Fruitport Charter Township, Precinct 5",1213102000005,0,344,68
"City of Norton Shores, Precinct 2",1215914001002,0,541,59
"City of Muskegon, Precinct 3",1215632002003,0,280,32
"City of Muskegon, Precinct 4",1215632002004,0,703,103
"Fruitland Township, Precinct 1",1213098000001,0,433,61
"City of Muskegon Heights, Precinct 1",1215636000001,0,227,25
"Fruitport Charter Township, Precinct 4",1213102000004,0,473,66
"Holton Township, Precinct 1",1213882000001,0,194,26
"Dalton Township, Precinct 1",1211966000001,0,299,46
"City of Muskegon, Precinct 9",1215632004009,0,754,95
"City of Muskegon Heights, Precinct 2",1215636000002,0,207,8
"City of Norton Shores, Precinct 4",1215914002004,0,679,87
"City of Whitehall, Precinct 1",1218678000001,0,423,42
"Cedar Creek Township, Precinct 1",1211410000001,0,315,51
"Fruitport Charter Township, Precinct 3",1213102000003,0,356,64
"City of Norton Shores, Precinct 1",1215914001001,0,1034,109
"Whitehall Township, Precinct 1",1218680000001,0,227,27
"City of Muskegon Heights, Precinct 3",1215636000003,0,159,19
"White River Township, Precinct 1",1218698000001,0,238,31
"City of Norton Shores, Precinct 5",1215914002005,0,333,44
"Fruitport Charter Township, Precinct 1",1213102000001,0,294,38
"Montague Township, Precinct 1",1215512000001,0,173,18
"City of Muskegon, Precinct 5",1215632003005,0,169,17
"Egelston Township, Precinct 1",1212508000001,0,342,46
"Fruitland Township, Precinct 2",1213098000002,0,479,73
