name,id,Ben Ambrose,Clyde Welford,Jamie Hill
"Fruitland Township, Precinct 2",1213098000002,241,47,215
"Montague Township, Precinct 1",1215512000001,84,23,63
"Whitehall Township, Precinct 1",1218680000001,88,26,101
"White River Township, Precinct 1",1218698000001,141,23,82
"Laketon Township, Precinct 2",1214516000002,208,48,180
"Dalton Township, Precinct 1",1211966000001,132,33,159
"Casnovia Township, Precinct 1",1211384000001,70,30,64
"Egelston Township, Precinct 3",1212508000003,134,43,95
"Dalton Township, Precinct 2",1211966000002,78,30,81
"Muskegon Charter Township, Precinct 2",1215634000002,244,86,250
"Cedar Creek Township, Precinct 1",1211410000001,128,75,130
"Blue Lake Township, Precinct 1",1210934000001,136,27,113
"Egelston Township, Precinct 2",1212508000002,118,34,180
"City of Whitehall, Precinct 1",1218678000001,183,59,167
"Fruitland Township, Precinct 1",1213098000001,232,38,160
"Moorland Township, Precinct 1",1215544000001,57,9,45
"Holton Township, Precinct 1",1213882000001,93,30,69
"City of North Muskegon, Precinct 1",1215864000001,194,38,157
"City of Montague, Precinct 1",1215510000001,154,56,147
"Dalton Township, Precinct 3",1211966000003,184,66,153
"Laketon Township, Precinct 1",1214516000001,324,84,258
"Egelston Township, Precinct 1",1212508000001,182,37,149
"Muskegon Charter Township, Precinct 4",1215634000004,182,71,157
