name,id,Abdul El-Sayed,Haley Stevens,Mallory McMorrow
"Muskegon Charter Township, Precinct 2",1215634000002,330,309,34
"Casnovia Township, Precinct 1",1211384000001,84,93,7
"Cedar Creek Township, Precinct 1",1211410000001,130,226,13
"Whitehall Township, Precinct 1",1218680000001,100,145,10
"Laketon Township, Precinct 2",1214516000002,251,297,10
"City of Muskegon Heights, Precinct 2",1215636000002,33,176,6
"City of Muskegon, Precinct 8",1215632004008,458,419,30
"Fruitland Township, Precinct 1",1213098000001,226,252,25
"Ravenna Township, Precinct 1",1216730000001,93,108,17
"Muskegon Charter Township, Precinct 1",1215634000001,182,289,25
"Fruitport Charter Township, Precinct 4",1213102000004,194,330,17
"City of Muskegon, Precinct 7",1215632003007,291,172,10
"Dalton Township, Precinct 1",1211966000001,130,204,16
"City of North Muskegon, Precinct 1",1215864000001,428,325,30
"Fruitport Charter Township, Precinct 5",1213102000005,189,213,14
"City of Muskegon Heights, Precinct 1",1215636000001,46,198,15
"Dalton Township, Precinct 2",1211966000002,92,110,7
"Laketon Township, Precinct 1",1214516000001,352,413,13
"Fruitport Charter Township, Precinct 2",1213102000002,162,195,20
"City of Muskegon, Precinct 9",1215632004009,445,413,12
"City of Muskegon, Precinct 3",1215632002003,118,189,6
"City of Muskegon Heights, Precinct 4",1215636000004,70,203,17
"City of Norton Shores, Precinct 2",1215914001002,297,284,27
"Sullivan Township, Precinct 1",1217710000001,116,146,6
"Dalton Township, Precinct 3",1211966000003,198,249,19
"City of Norton Shores, Precinct 6",1215914002006,488,464,59
"City of Muskegon Heights, Precinct 3",1215636000003,56,124,4
"White River Township, Precinct 1",1218698000001,134,124,17
"City of Muskegon, Precinct 4",1215632002004,446,353,28
"City of Whitehall, Precinct 1",1218678000001,243,200,24
"City of Norton Shores, Precinct 5",1215914002005,208,154,20
"City of Montague, Precinct 1",1215510000001,204,192,11
"Fruitland Township, Precinct 2",1213098000002,251,283,22
"Montague Township, Precinct 1",1215512000001,79,113,4
"Moorland Township, Precinct 1",1215544000001,46,69,6
"Holton Township, Precinct 1",1213882000001,81,132,11
"City of Muskegon, Precinct 6",1215632003006,146,178,3
"Fruitport Charter Township, Precinct 1",1213102000001,132,185,16
"Fruitport Charter Township, Precinct 3",1213102000003,190,215,20
"City of Norton Shores, Precinct 4",1215914002004,380,358,40
"Egelston Township, Precinct 2",1212508000002,170,190,14
"City of Muskegon, Precinct 1",1215632001001,205,343,25
"Egelston Township, Precinct 3",1212508000003,120,170,10
"City of Norton Shores, Precinct 3",1215914001003,129,111,12
"City of Norton Shores, Precinct 1",1215914001001,620,495,42
"City of Muskegon, Precinct 5",1215632003005,62,117,12
"City of Roosevelt Park, Precinct 1",1216952000001,409,268,13
"Muskegon Charter Township, Precinct 3",1215634000003,166,299,11
"Blue Lake Township, Precinct 1",1210934000001,141,156,12
"Egelston Township, Precinct 1",1212508000001,175,202,22
"City of Muskegon, Precinct 2",1215632001002,189,333,11
"Muskegon Charter Township, Precinct 4",1215634000004,189,259,24
