id,name,Mike Cox,John James,Perry Johnson,Aric Nesbitt,Write-in
1233070000001,"City of Fremont, Precinct 1",87,176,118,16,0
1233070000002,"City of Fremont, Precinct 2",48,171,113,10,0
1233436000001,"City of Grant, Precinct 1",16,58,31,2,0
1235708000001,"City of Newaygo, Precinct 1",43,107,56,4,0
1238668000001,"City of White Cloud, Precinct 1",35,72,51,1,0
1230370000001,"Ashland Township, Precinct 1",41,218,164,4,0
1230562000001,"Barton Township, Precinct 1",15,52,66,2,0
1230658000001,"Beaver Township, Precinct 1",10,38,25,0,0
1230828000001,"Big Prairie Township, Precinct 1",40,136,122,8,0
1231050000001,"Bridgeton Township, Precinct 1",41,129,123,9,2
1231106000001,"Brooks Township, Precinct 1",74,334,227,10,3
1231898000001,"Croton Township, Precinct 1",78,286,207,10,3
1231996000001,"Dayton Township, Precinct 1",58,192,127,13,0
1232170000001,"Denver Township, Precinct 1",31,108,91,5,0
1232616000001,"Ensley Township, Precinct 1",65,256,213,7,2
1232670000001,"Everett Township, Precinct 1",39,131,115,15,2
1233164000001,"Garfield Township, Precinct 1",66,226,150,8,2
1233300000001,"Goodwell Township, Precinct 1",13,68,32,3,0
1233438000001,"Grant Township, Precinct 1",53,246,258,16,1
1233886000001,"Home Township, Precinct 1",6,37,21,1,0
1234744000001,"Lilley Township, Precinct 1",28,63,52,2,0
1234770000001,"Lincoln Township, Precinct 1",31,150,69,7,1
1235316000001,"Merrill Township, Precinct 1",33,83,65,2,3
1235506000001,"Monroe Township, Precinct 1",7,25,27,2,0
1235930000001,"Norwich Township, Precinct 1",8,56,32,0,1
1237312000001,"Sheridan Charter Township, Precinct 1",60,248,170,6,2
1237326000001,"Sherman Township, Precinct 1",51,219,171,3,0
1238068000001,"Troy Township, Precinct 1",7,18,13,0,0
1238720000001,"Wilcox Township, Precinct 1",30,67,66,3,2
