id,name,Ben Ambrose,Jamie Hill,Clyde Welford,Write-in
1233070000001,"City of Fremont, Precinct 1",118,129,18,0
1233070000002,"City of Fremont, Precinct 2",77,113,26,1
1233436000001,"City of Grant, Precinct 1",17,22,8,1
1235708000001,"City of Newaygo, Precinct 1",63,92,18,3
1238668000001,"City of White Cloud, Precinct 1",35,42,12,1
1230370000001,"Ashland Township, Precinct 1",84,77,35,1
1230562000001,"Barton Township, Precinct 1",14,28,7,0
1230658000001,"Beaver Township, Precinct 1",13,17,2,1
1230828000001,"Big Prairie Township, Precinct 1",65,63,31,1
1231050000001,"Bridgeton Township, Precinct 1",66,109,15,2
1231106000001,"Brooks Township, Precinct 1",124,144,35,5
1231898000001,"Croton Township, Precinct 1",169,109,52,2
1231996000001,"Dayton Township, Precinct 1",84,77,16,0
1232170000001,"Denver Township, Precinct 1",67,52,17,0
1232616000001,"Ensley Township, Precinct 1",79,68,33,1
1232670000001,"Everett Township, Precinct 1",61,78,16,1
1233164000001,"Garfield Township, Precinct 1",69,94,22,0
1233300000001,"Goodwell Township, Precinct 1",14,12,8,0
1233438000001,"Grant Township, Precinct 1",83,101,22,0
1233886000001,"Home Township, Precinct 1",7,13,6,0
1234744000001,"Lilley Township, Precinct 1",29,20,25,0
1234770000001,"Lincoln Township, Precinct 1",55,73,8,0
1235316000001,"Merrill Township, Precinct 1",13,24,14,1
1235506000001,"Monroe Township, Precinct 1",4,10,3,0
1235930000001,"Norwich Township, Precinct 1",27,13,2,1
1237312000001,"Sheridan Charter Township, Precinct 1",75,116,14,0
1237326000001,"Sherman Township, Precinct 1",69,67,20,0
1238068000001,"Troy Township, Precinct 1",2,9,4,1
1238720000001,"Wilcox Township, Precinct 1",21,47,10,0
