id,name,Abdul El-Sayed,Mallory McMorrow,Haley Stevens,Write-in
1233070000001,"City of Fremont, Precinct 1",138,18,134,1
1233070000002,"City of Fremont, Precinct 2",101,8,133,0
1233436000001,"City of Grant, Precinct 1",21,0,38,0
1235708000001,"City of Newaygo, Precinct 1",95,14,82,0
1238668000001,"City of White Cloud, Precinct 1",47,2,48,0
1230370000001,"Ashland Township, Precinct 1",97,7,128,0
1230562000001,"Barton Township, Precinct 1",23,3,26,0
1230658000001,"Beaver Township, Precinct 1",15,1,23,0
1230828000001,"Big Prairie Township, Precinct 1",64,2,119,0
1231050000001,"Bridgeton Township, Precinct 1",94,10,101,0
1231106000001,"Brooks Township, Precinct 1",159,14,178,0
1231898000001,"Croton Township, Precinct 1",145,11,211,1
1231996000001,"Dayton Township, Precinct 1",67,7,110,0
1232170000001,"Denver Township, Precinct 1",56,4,97,0
1232616000001,"Ensley Township, Precinct 1",87,12,106,0
1232670000001,"Everett Township, Precinct 1",71,2,103,0
1233164000001,"Garfield Township, Precinct 1",77,9,132,0
1233300000001,"Goodwell Township, Precinct 1",15,3,23,0
1233438000001,"Grant Township, Precinct 1",110,5,111,0
1233886000001,"Home Township, Precinct 1",11,0,17,0
1234744000001,"Lilley Township, Precinct 1",17,2,62,0
1234770000001,"Lincoln Township, Precinct 1",49,10,86,0
1235316000001,"Merrill Township, Precinct 1",19,4,41,0
1235506000001,"Monroe Township, Precinct 1",5,2,14,0
1235930000001,"Norwich Township, Precinct 1",27,3,18,0
1237312000001,"Sheridan Charter Township, Precinct 1",103,9,115,0
1237326000001,"Sherman Township, Precinct 1",65,5,104,0
1238068000001,"Troy Township, Precinct 1",2,1,13,0
1238720000001,"Wilcox Township, Precinct 1",28,4,57,0
