id,name,Mike Rogers,Write-in
1233070000001,"City of Fremont, Precinct 1",387,1
1233070000002,"City of Fremont, Precinct 2",326,2
1233436000001,"City of Grant, Precinct 1",100,2
1235708000001,"City of Newaygo, Precinct 1",207,0
1238668000001,"City of White Cloud, Precinct 1",153,1
1230370000001,"Ashland Township, Precinct 1",415,0
1230562000001,"Barton Township, Precinct 1",130,0
1230658000001,"Beaver Township, Precinct 1",67,0
1230828000001,"Big Prairie Township, Precinct 1",290,0
1231050000001,"Bridgeton Township, Precinct 1",295,2
1231106000001,"Brooks Township, Precinct 1",606,4
1231898000001,"Croton Township, Precinct 1",560,2
1231996000001,"Dayton Township, Precinct 1",373,2
1232170000001,"Denver Township, Precinct 1",212,1
1232616000001,"Ensley Township, Precinct 1",519,2
1232670000001,"Everett Township, Precinct 1",295,2
1233164000001,"Garfield Township, Precinct 1",429,2
1233300000001,"Goodwell Township, Precinct 1",113,0
1233438000001,"Grant Township, Precinct 1",545,5
1233886000001,"Home Township, Precinct 1",65,0
1234744000001,"Lilley Township, Precinct 1",137,0
1234770000001,"Lincoln Township, Precinct 1",241,1
1235316000001,"Merrill Township, Precinct 1",166,3
1235506000001,"Monroe Township, Precinct 1",54,2
1235930000001,"Norwich Township, Precinct 1",92,1
1237312000001,"Sheridan Charter Township, Precinct 1",462,2
1237326000001,"Sherman Township, Precinct 1",414,2
1238068000001,"Troy Township, Precinct 1",36,2
1238720000001,"Wilcox Township, Precinct 1",156,1
