id,name,total,over_votes,under_votes,Write-in,Jocelyn Benson,Christopher Robert Swanson
1250040000001,"Addison Township, Precinct 1",198,,,0,183,15
1250040000002,"Addison Township, Precinct 2",235,,,0,205,30
1250040000003,"Addison Township, Precinct 3",129,,,0,114,15
1130908000001,"Bloomfield Township, Precinct 1",283,,,1,234,48
1250911000002,"Bloomfield Township, Precinct 2",470,,,1,409,60
1250911000003,"Bloomfield Township, Precinct 3",819,,,4,727,88
1250911000004,"Bloomfield Township, Precinct 4",313,,,0,291,22
1250911000005,"Bloomfield Township, Precinct 5",962,,,3,852,107
1250911000006,"Bloomfield Township, Precinct 6",377,,,2,348,27
1250911000007,"Bloomfield Township, Precinct 7",1004,,,5,882,117
1250911000008,"Bloomfield Township, Precinct 8",798,,,0,738,60
1250911000009,"Bloomfield Township, Precinct 9",1060,,,0,932,128
1250911000010,"Bloomfield Township, Precinct 10",491,,,0,442,49
1250911000011,"Bloomfield Township, Precinct 11",914,,,1,807,106
1250911000012,"Bloomfield Township, Precinct 12",345,,,0,318,27
1251004000001,"Brandon Township, Precinct 1",255,,,1,196,58
1251004000002,"Brandon Township, Precinct 2",254,,,0,225,29
1251004000003,"Brandon Township, Precinct 3",274,,,0,225,49
1251004000004,"Brandon Township, Precinct 4",324,,,1,292,31
1251004000005,"Brandon Township, Precinct 5",79,,,0,62,17
1251004000006,"Brandon Township, Precinct 6",101,,,0,78,23
1251764000001,"Commerce Township, Precinct 1",258,,,1,229,28
1251764000002,"Commerce Township, Precinct 2",295,,,1,255,39
1251764000003,"Commerce Township, Precinct 3",571,,,2,526,43
1251764000004,"Commerce Township, Precinct 4",325,,,0,291,34
1251764000005,"Commerce Township, Precinct 5",358,,,2,324,32
1251764000006,"Commerce Township, Precinct 6",251,,,0,226,25
1251764000007,"Commerce Township, Precinct 7",379,,,0,331,48
1251764000008,"Commerce Township, Precinct 8",338,,,0,292,46
1251764000009,"Commerce Township, Precinct 9",336,,,1,300,35
1251764000010,"Commerce Township, Precinct 10",318,,,2,274,42
1251764000011,"Commerce Township, Precinct 11",353,,,1,328,24
1251764000012,"Commerce Township, Precinct 12",156,,,0,129,27
1251764000013,"Commerce Township, Precinct 13",398,,,3,341,54
1251764000014,"Commerce Township, Precinct 14",115,,,0,95,20
1251764000015,"Commerce Township, Precinct 15",259,,,0,228,31
1253564000001,"Groveland Township, Precinct 1",106,,,0,79,27
1253564000002,"Groveland Township, Precinct 2",149,,,0,117,32
1253564000003,"Groveland Township, Precinct 3",171,,,2,140,29
1333810000001,"Highland Township, Precinct 1",451,,,1,396,54
1253808000002,"Highland Township, Precinct 2",497,,,2,413,82
1253808000003,"Highland Township, Precinct 3",415,,,1,369,45
1253808000004,"Highland Township, Precinct 4",395,,,0,339,56
1253808000005,"Highland Township, Precinct 5",205,,,0,176,29
1253872000001,"Holly Township, Precinct 1",164,,,0,141,23
1253872000002,"Holly Township, Precinct 2",163,,,1,129,33
1253872000003,"Holly Township, Precinct 3",215,,,0,149,66
1253872000004,"Holly Township, Precinct 4",259,,,0,186,73
1254040000001,"Independence Township, Precinct 1",347,,,0,301,46
1254040000002,"Independence Township, Precinct 2",435,,,0,392,43
1254040000003,"Independence Township, Precinct 3",583,,,1,529,53
1254040000004,"Independence Township, Precinct 4",513,,,0,452,61
1254040000005,"Independence Township, Precinct 5",572,,,2,487,83
1254040000006,"Independence Township, Precinct 6",504,,,0,441,63
1254040000007,"Independence Township, Precinct 7",432,,,0,381,51
1254040000008,"Independence Township, Precinct 8",376,,,0,315,61
1254982000001,"Lyon Township, Precinct 1",136,,,1,117,18
1254982000002,"Lyon Township, Precinct 2",103,,,0,79,24
1254982000003,"Lyon Township, Precinct 3",227,,,0,194,33
1254982000004,"Lyon Township, Precinct 4",218,,,0,178,40
1254982000005,"Lyon Township, Precinct 5",236,,,0,198,38
1254982000006,"Lyon Township, Precinct 6",291,,,1,254,36
1254982000007,"Lyon Township, Precinct 7",74,,,0,64,10
1254982000008,"Lyon Township, Precinct 8",238,,,0,208,30
1254982000009,"Lyon Township, Precinct 9",337,,,0,293,44
1254982000010,"Lyon Township, Precinct 10",168,,,0,144,24
1254982000011,"Lyon Township, Precinct 11",308,,,0,258,50
1255398000001,"Milford Township, Precinct 1",335,,,2,290,43
1255398000002,"Milford Township, Precinct 2",230,,,1,198,31
1255398000003,"Milford Township, Precinct 3",272,,,1,242,29
1255398000004,"Milford Township, Precinct 4",460,,,0,406,54
1255398000005,"Milford Township, Precinct 5",395,,,2,353,40
1255398000006,"Milford Township, Precinct 6",290,,,0,260,30
1255398000007,"Milford Township, Precinct 7",195,,,1,178,16
1255946000001,"Novi Township, Precinct 1",0,,,0,0,0
1255982000001,"Oakland Township, Precinct 1",256,,,2,232,22
1255982000002,"Oakland Township, Precinct 2",412,,,1,368,43
1255982000003,"Oakland Township, Precinct 3",352,,,0,319,33
1255982000004,"Oakland Township, Precinct 4",238,,,0,214,24
1255982000005,"Oakland Township, Precinct 5",373,,,0,328,45
1255982000006,"Oakland Township, Precinct 6",335,,,0,301,34
1256110000001,"Orion Township, Precinct 1",457,,,0,390,67
1256110000002,"Orion Township, Precinct 2",239,,,2,203,34
1256110000003,"Orion Township, Precinct 3",254,,,1,223,30
1256110000004,"Orion Township, Precinct 4",288,,,0,250,38
1256110000005,"Orion Township, Precinct 5",282,,,2,232,48
1256110000006,"Orion Township, Precinct 6",300,,,0,267,33
1256110000007,"Orion Township, Precinct 7",459,,,2,400,57
1256110000008,"Orion Township, Precinct 8",443,,,0,383,60
1256110000009,"Orion Township, Precinct 9",343,,,0,289,54
1256110000010,"Orion Township, Precinct 10",301,,,1,259,41
1256110000011,"Orion Township, Precinct 11",409,,,0,341,68
1256204000001,"Oxford Township, Precinct 1",328,,,0,280,48
1256204000002,"Oxford Township, Precinct 2",430,,,3,381,46
1256204000003,"Oxford Township, Precinct 3",613,,,2,540,71
1256204000004,"Oxford Township, Precinct 4",466,,,0,405,61
1256204000005,"Oxford Township, Precinct 5",338,,,0,302,36
1296960000001,"Rose Township, Precinct 1",175,,,0,129,46
1256958000002,"Rose Township, Precinct 2",209,,,1,167,41
1256958000003,"Rose Township, Precinct 3",200,,,0,155,45
1257006000001,"Royal Oak Township, Precinct 1",140,,,0,132,8
1257006000002,"Royal Oak Township, Precinct 2",234,,,0,213,21
1257492000001,"Southfield Township, Precinct 1",318,,,0,300,18
1257492000002,"Southfield Township, Precinct 2",350,,,2,314,34
1257492000003,"Southfield Township, Precinct 3",219,,,1,201,17
1257492000004,"Southfield Township, Precinct 4",186,,,1,165,20
1257492000005,"Southfield Township, Precinct 5",392,,,1,364,27
1257492000006,"Southfield Township, Precinct 6",225,,,0,212,13
1257492000007,"Southfield Township, Precinct 7",534,,,0,476,58
1257576000001,"Springfield Township, Precinct 1",256,,,0,203,53
1257576000002,"Springfield Township, Precinct 2",149,,,0,132,17
1257576000003,"Springfield Township, Precinct 3",206,,,2,168,36
1257576000004,"Springfield Township, Precinct 4",332,,,0,278,54
1257576000005,"Springfield Township, Precinct 5",197,,,1,184,12
1258424000001,"Waterford Township, Precinct 1",117,,,0,107,10
1258424000002,"Waterford Township, Precinct 2",415,,,1,347,67
1258424000003,"Waterford Township, Precinct 3",370,,,0,330,40
1258424000004,"Waterford Township, Precinct 4",324,,,1,271,52
1258424000005,"Waterford Township, Precinct 5",420,,,2,366,52
1258424000006,"Waterford Township, Precinct 6",361,,,1,320,40
1258424000007,"Waterford Township, Precinct 7",357,,,0,328,29
1258424000008,"Waterford Township, Precinct 8",363,,,0,299,64
1258424000009,"Waterford Township, Precinct 9",414,,,2,374,38
1258424000010,"Waterford Township, Precinct 10",266,,,0,241,25
1258424000011,"Waterford Township, Precinct 11",289,,,0,253,36
1258424000012,"Waterford Township, Precinct 12",387,,,1,337,49
1258424000013,"Waterford Township, Precinct 13",392,,,1,357,34
1258424000014,"Waterford Township, Precinct 14",290,,,0,251,39
1258424000015,"Waterford Township, Precinct 15",338,,,0,301,37
1258424000016,"Waterford Township, Precinct 16",358,,,2,306,50
1258424000017,"Waterford Township, Precinct 17",380,,,1,336,43
1258424000018,"Waterford Township, Precinct 18",374,,,1,329,44
1258424000019,"Waterford Township, Precinct 19",372,,,1,333,38
1258424000020,"Waterford Township, Precinct 20",313,,,2,278,33
1258424000021,"Waterford Township, Precinct 21",337,,,0,300,37
1258548000001,"West Bloomfield Township, Precinct 1",688,,,2,611,75
1258548000002,"West Bloomfield Township, Precinct 2",625,,,0,551,74
1258548000003,"West Bloomfield Township, Precinct 3",936,,,0,848,88
1258548000004,"West Bloomfield Township, Precinct 4",441,,,2,392,47
1258548000005,"West Bloomfield Township, Precinct 5",161,,,1,148,12
1258548000006,"West Bloomfield Township, Precinct 6",591,,,0,543,48
1258548000007,"West Bloomfield Township, Precinct 7",567,,,2,505,60
1258548000008,"West Bloomfield Township, Precinct 8",725,,,1,677,47
1258548000009,"West Bloomfield Township, Precinct 9",714,,,1,682,31
1258548000010,"West Bloomfield Township, Precinct 10",600,,,1,536,63
1258548000011,"West Bloomfield Township, Precinct 11",399,,,2,362,35
1258548000012,"West Bloomfield Township, Precinct 12",247,,,2,217,28
1258548000013,"West Bloomfield Township, Precinct 13",87,,,0,78,9
1258548000014,"West Bloomfield Township, Precinct 14",597,,,0,547,50
1258548000015,"West Bloomfield Township, Precinct 15",498,,,0,433,65
1258548000016,"West Bloomfield Township, Precinct 16",850,,,1,770,79
1258548000017,"West Bloomfield Township, Precinct 17",599,,,3,540,56
1258548000018,"West Bloomfield Township, Precinct 18",581,,,0,538,43
1258548000019,"West Bloomfield Township, Precinct 19",676,,,2,600,74
1258548000020,"West Bloomfield Township, Precinct 20",1057,,,3,960,94
1258686000001,"White Lake Township, Precinct 1",62,,,1,52,9
1258686000002,"White Lake Township, Precinct 2",292,,,0,254,38
1258686000003,"White Lake Township, Precinct 3",271,,,0,230,41
1258686000004,"White Lake Township, Precinct 4",224,,,0,202,22
1258686000005,"White Lake Township, Precinct 5",407,,,1,367,39
1258686000006,"White Lake Township, Precinct 6",434,,,3,375,56
1258686000007,"White Lake Township, Precinct 7",419,,,1,364,54
1258686000008,"White Lake Township, Precinct 8",348,,,0,308,40
1258686000009,"White Lake Township, Precinct 9",422,,,0,373,49
1250410500001,"Auburn Hills, Precinct 1",191,,,0,170,21
1250410500002,"Auburn Hills, Precinct 2",591,,,5,536,50
1250410500003,"Auburn Hills, Precinct 3",223,,,1,201,21
1250410500004,"Auburn Hills, Precinct 4",190,,,0,169,21
