id,name,total,over_votes,under_votes,Write-in,Mike Cox,John James,Perry Johnson,Aric Nesbitt
1250040000001,"Addison Township, Precinct 1",276,,,0,43,124,107,2
1250040000002,"Addison Township, Precinct 2",286,,,0,30,175,81,0
1250040000003,"Addison Township, Precinct 3",123,,,0,10,60,51,2
1130908000001,"Bloomfield Township, Precinct 1",131,,,0,15,85,31,0
1250911000002,"Bloomfield Township, Precinct 2",146,,,0,25,72,49,0
1250911000003,"Bloomfield Township, Precinct 3",402,,,0,53,244,103,2
1250911000004,"Bloomfield Township, Precinct 4",165,,,0,46,76,42,1
1250911000005,"Bloomfield Township, Precinct 5",406,,,0,64,213,126,3
1250911000006,"Bloomfield Township, Precinct 6",236,,,0,41,125,68,2
1250911000007,"Bloomfield Township, Precinct 7",355,,,0,60,191,102,2
1250911000008,"Bloomfield Township, Precinct 8",214,,,1,28,105,79,1
1250911000009,"Bloomfield Township, Precinct 9",272,,,0,37,159,74,2
1250911000010,"Bloomfield Township, Precinct 10",249,,,0,49,135,61,4
1250911000011,"Bloomfield Township, Precinct 11",537,,,3,55,357,119,3
1250911000012,"Bloomfield Township, Precinct 12",160,,,0,12,88,56,4
1251004000001,"Brandon Township, Precinct 1",165,,,1,21,68,74,1
1251004000002,"Brandon Township, Precinct 2",251,,,0,37,119,94,1
1251004000003,"Brandon Township, Precinct 3",216,,,0,28,88,99,1
1251004000004,"Brandon Township, Precinct 4",229,,,0,50,84,92,3
1251004000005,"Brandon Township, Precinct 5",23,,,0,8,8,7,0
1251004000006,"Brandon Township, Precinct 6",66,,,0,8,36,22,0
1251764000001,"Commerce Township, Precinct 1",231,,,0,32,117,80,2
1251764000002,"Commerce Township, Precinct 2",193,,,0,38,79,75,1
1251764000003,"Commerce Township, Precinct 3",199,,,0,52,76,69,2
1251764000004,"Commerce Township, Precinct 4",177,,,0,18,72,84,3
1251764000005,"Commerce Township, Precinct 5",239,,,0,47,104,87,1
1251764000006,"Commerce Township, Precinct 6",147,,,0,19,78,47,3
1251764000007,"Commerce Township, Precinct 7",280,,,1,44,142,90,3
1251764000008,"Commerce Township, Precinct 8",269,,,0,61,125,83,0
1251764000009,"Commerce Township, Precinct 9",246,,,0,37,124,84,1
1251764000010,"Commerce Township, Precinct 10",173,,,0,26,88,59,0
1251764000011,"Commerce Township, Precinct 11",200,,,0,29,96,74,1
1251764000012,"Commerce Township, Precinct 12",92,,,0,15,48,29,0
1251764000013,"Commerce Township, Precinct 13",202,,,0,30,100,70,2
1251764000014,"Commerce Township, Precinct 14",45,,,0,8,26,11,0
1251764000015,"Commerce Township, Precinct 15",167,,,1,34,78,52,2
1253564000001,"Groveland Township, Precinct 1",127,,,1,18,56,51,1
1253564000002,"Groveland Township, Precinct 2",111,,,0,15,49,46,1
1253564000003,"Groveland Township, Precinct 3",200,,,2,36,80,81,1
1333810000001,"Highland Township, Precinct 1",413,,,3,62,193,155,0
1253808000002,"Highland Township, Precinct 2",435,,,0,48,209,175,3
1253808000003,"Highland Township, Precinct 3",443,,,0,57,204,179,3
1253808000004,"Highland Township, Precinct 4",354,,,1,59,146,144,4
1253808000005,"Highland Township, Precinct 5",183,,,1,22,103,54,3
1253872000001,"Holly Township, Precinct 1",112,,,0,24,36,47,5
1253872000002,"Holly Township, Precinct 2",83,,,0,21,33,27,2
1253872000003,"Holly Township, Precinct 3",125,,,0,25,52,45,3
1253872000004,"Holly Township, Precinct 4",191,,,0,23,93,68,7
1254040000001,"Independence Township, Precinct 1",280,,,0,52,134,93,1
1254040000002,"Independence Township, Precinct 2",388,,,0,56,208,122,2
1254040000003,"Independence Township, Precinct 3",531,,,0,75,278,171,7
1254040000004,"Independence Township, Precinct 4",457,,,0,94,217,144,2
1254040000005,"Independence Township, Precinct 5",341,,,0,70,180,90,1
1254040000006,"Independence Township, Precinct 6",342,,,0,69,165,108,0
1254040000007,"Independence Township, Precinct 7",372,,,2,53,176,134,7
1254040000008,"Independence Township, Precinct 8",226,,,1,36,95,89,5
1254982000001,"Lyon Township, Precinct 1",93,,,1,14,49,28,1
1254982000002,"Lyon Township, Precinct 2",55,,,0,1,27,27,0
1254982000003,"Lyon Township, Precinct 3",98,,,0,15,35,45,3
1254982000004,"Lyon Township, Precinct 4",144,,,0,38,61,45,0
1254982000005,"Lyon Township, Precinct 5",207,,,0,47,89,70,1
1254982000006,"Lyon Township, Precinct 6",264,,,2,47,145,69,1
1254982000007,"Lyon Township, Precinct 7",33,,,0,6,20,7,0
1254982000008,"Lyon Township, Precinct 8",242,,,3,43,139,56,1
1254982000009,"Lyon Township, Precinct 9",192,,,2,33,85,72,0
1254982000010,"Lyon Township, Precinct 10",114,,,0,16,44,52,2
1254982000011,"Lyon Township, Precinct 11",252,,,0,41,111,97,3
1255398000001,"Milford Township, Precinct 1",270,,,0,33,135,100,2
1255398000002,"Milford Township, Precinct 2",154,,,1,26,71,55,1
1255398000003,"Milford Township, Precinct 3",204,,,0,34,90,79,1
1255398000004,"Milford Township, Precinct 4",382,,,0,42,174,165,1
1255398000005,"Milford Township, Precinct 5",205,,,0,27,109,67,2
1255398000006,"Milford Township, Precinct 6",165,,,0,26,79,59,1
