id,name,total,over_votes,under_votes,Write-in,Michael Bouchard,Steffan Demetropoulos,Justin Kirk,Robert Lulgjuraj
1256902000001,"Rochester, Precinct 1",161,,,0,142,3,6,10
1256902000002,"Rochester, Precinct 2",257,,,0,220,5,20,12
1256902000003,"Rochester, Precinct 3",264,,,0,234,7,13,10
1256903501001,"Rochester Hills, Precinct 1",280,,,0,262,1,3,14
1256903501002,"Rochester Hills, Precinct 2",229,,,0,210,4,11,4
1256903501003,"Rochester Hills, Precinct 3",202,,,0,184,3,8,7
1256903501004,"Rochester Hills, Precinct 4",234,,,0,206,11,9,8
1256903501005,"Rochester Hills, Precinct 5",201,,,0,181,6,11,3
1256903501006,"Rochester Hills, Precinct 6",274,,,0,248,4,14,8
1256903502007,"Rochester Hills, Precinct 7",440,,,0,388,16,14,22
1256903502008,"Rochester Hills, Precinct 8",342,,,0,298,7,17,20
1256903502009,"Rochester Hills, Precinct 9",297,,,0,262,12,9,14
1256903502010,"Rochester Hills, Precinct 10",101,,,1,92,1,4,3
1256903502011,"Rochester Hills, Precinct 11",119,,,0,107,3,5,4
1256903503012,"Rochester Hills, Precinct 12",411,,,0,368,11,16,16
1256903503013,"Rochester Hills, Precinct 13",254,,,0,237,7,5,5
1256903503014,"Rochester Hills, Precinct 14",277,,,1,251,8,10,7
1256903503015,"Rochester Hills, Precinct 15",158,,,0,142,5,8,3
1256903503016,"Rochester Hills, Precinct 16",86,,,0,74,4,4,4
1256903504017,"Rochester Hills, Precinct 17",210,,,0,187,9,7,7
1256903504018,"Rochester Hills, Precinct 18",129,,,0,113,7,4,5
1256903504019,"Rochester Hills, Precinct 19",169,,,0,146,6,11,6
1256903504020,"Rochester Hills, Precinct 20",178,,,0,160,6,4,8
1256903504021,"Rochester Hills, Precinct 21",66,,,0,57,2,4,3
