id,name,total,over_votes,under_votes,Write-in,Michael Bouchard,Steffan Demetropoulos,Justin Kirk,Robert Lulgjuraj
1256902000001,"Rochester, Precinct 1",378,,,0,333,11,19,15
1256902000002,"Rochester, Precinct 2",537,,,0,450,15,45,27
1256902000003,"Rochester, Precinct 3",496,,,0,439,11,29,17
1256903501001,"Rochester Hills, Precinct 1",474,,,0,434,6,15,19
1256903501002,"Rochester Hills, Precinct 2",375,,,0,339,9,17,10
1256903501003,"Rochester Hills, Precinct 3",299,,,0,268,8,11,12
1256903501004,"Rochester Hills, Precinct 4",428,,,0,381,18,20,9
1256903501005,"Rochester Hills, Precinct 5",389,,,0,340,12,27,10
1256903501006,"Rochester Hills, Precinct 6",437,,,0,382,10,27,18
1256903502007,"Rochester Hills, Precinct 7",767,,,0,666,32,33,36
1256903502008,"Rochester Hills, Precinct 8",612,,,0,534,13,34,31
1256903502009,"Rochester Hills, Precinct 9",546,,,0,481,15,26,24
1256903502010,"Rochester Hills, Precinct 10",202,,,2,176,2,16,6
1256903502011,"Rochester Hills, Precinct 11",201,,,0,170,12,11,8
1256903503012,"Rochester Hills, Precinct 12",744,,,0,665,17,36,26
1256903503013,"Rochester Hills, Precinct 13",453,,,0,403,16,19,15
1256903503014,"Rochester Hills, Precinct 14",455,,,3,401,12,25,14
1256903503015,"Rochester Hills, Precinct 15",384,,,0,323,11,37,13
1256903503016,"Rochester Hills, Precinct 16",212,,,0,182,6,12,12
1256903504017,"Rochester Hills, Precinct 17",409,,,0,368,14,14,13
1256903504018,"Rochester Hills, Precinct 18",218,,,0,188,9,12,9
1256903504019,"Rochester Hills, Precinct 19",326,,,0,279,15,22,10
1256903504020,"Rochester Hills, Precinct 20",328,,,1,280,10,24,13
1256903504021,"Rochester Hills, Precinct 21",176,,,1,150,8,10,7
