id,name,total,over_votes,under_votes,Write-in,Aisha Farooqi,Jeremy Moss,John Paul Torres,Don Ufford
1250911000001,"Bloomfield Township, Precinct 1",283,,,0,95,142,26,20
1250911000002,"Bloomfield Township, Precinct 2",459,,,0,164,229,23,43
1250911000003,"Bloomfield Township, Precinct 3",762,,,4,193,403,82,80
1250911000004,"Bloomfield Township, Precinct 4",295,,,0,68,179,25,23
1250911000005,"Bloomfield Township, Precinct 5",916,,,0,238,524,63,91
1250911000006,"Bloomfield Township, Precinct 6",362,,,1,93,209,17,42
1250911000007,"Bloomfield Township, Precinct 7",993,,,0,208,650,50,85
1250911000008,"Bloomfield Township, Precinct 8",783,,,0,150,541,31,61
1250911000009,"Bloomfield Township, Precinct 9",1039,,,0,203,706,38,92
1250911000010,"Bloomfield Township, Precinct 10",489,,,0,62,367,22,38
1250911000011,"Bloomfield Township, Precinct 11",882,,,0,104,577,38,163
1250911000012,"Bloomfield Township, Precinct 12",322,,,0,67,192,21,42
1251764000001,"Commerce Township, Precinct 1",243,,,0,78,127,20,18
1251764000002,"Commerce Township, Precinct 2",271,,,0,76,159,13,23
1251764000003,"Commerce Township, Precinct 3",522,,,0,76,348,58,40
1251764000004,"Commerce Township, Precinct 4",297,,,0,86,129,36,46
1251764000005,"Commerce Township, Precinct 5",322,,,1,70,185,35,31
1251764000006,"Commerce Township, Precinct 6",225,,,1,51,133,26,14
1251764000007,"Commerce Township, Precinct 7",328,,,0,61,190,37,40
1251764000008,"Commerce Township, Precinct 8",310,,,1,69,165,32,43
1251764000009,"Commerce Township, Precinct 9",307,,,0,83,168,24,32
1251764000010,"Commerce Township, Precinct 10",284,,,0,73,153,27,31
1251764000011,"Commerce Township, Precinct 11",327,,,0,75,159,48,45
1251764000012,"Commerce Township, Precinct 12",149,,,0,45,62,19,23
1251764000013,"Commerce Township, Precinct 13",356,,,0,101,194,34,27
1251764000014,"Commerce Township, Precinct 14",110,,,0,36,53,17,4
1251764000015,"Commerce Township, Precinct 15",244,,,1,57,130,24,32
1254040000007,"Independence Township, Precinct 7",0,,,0,0,0,0,0
1257006000001,"Royal Oak Township, Precinct 1",134,,,0,49,72,11,2
1257006000002,"Royal Oak Township, Precinct 2",225,,,0,57,131,30,7
1258424000001,"Waterford Township, Precinct 1",107,,,0,20,41,39,7
1258424000002,"Waterford Township, Precinct 2",387,,,1,75,155,123,33
1258424000003,"Waterford Township, Precinct 3",343,,,0,89,121,110,23
1258424000004,"Waterford Township, Precinct 4",303,,,0,53,127,95,28
1258424000005,"Waterford Township, Precinct 5",398,,,0,75,166,126,31
1258424000006,"Waterford Township, Precinct 6",337,,,0,68,123,116,30
1258424000007,"Waterford Township, Precinct 7",340,,,1,72,117,125,25
1258424000008,"Waterford Township, Precinct 8",330,,,1,46,116,144,23
1258424000009,"Waterford Township, Precinct 9",403,,,0,62,128,181,32
1258424000010,"Waterford Township, Precinct 10",244,,,0,54,120,55,15
1258424000011,"Waterford Township, Precinct 11",272,,,0,67,108,83,14
1258424000012,"Waterford Township, Precinct 12",371,,,0,69,161,107,34
1258424000013,"Waterford Township, Precinct 13",376,,,1,68,110,171,26
1258424000014,"Waterford Township, Precinct 14",272,,,0,67,97,89,19
1258424000015,"Waterford Township, Precinct 15",322,,,0,94,110,92,26
1258424000016,"Waterford Township, Precinct 16",323,,,0,59,134,110,20
1258424000017,"Waterford Township, Precinct 17",360,,,1,78,124,130,27
1258424000018,"Waterford Township, Precinct 18",349,,,1,68,160,85,35
1258424000019,"Waterford Township, Precinct 19",349,,,2,93,149,81,24
1258424000020,"Waterford Township, Precinct 20",305,,,0,68,129,88,20
1258424000021,"Waterford Township, Precinct 21",325,,,0,77,129,101,18
1258548000001,"West Bloomfield Township, Precinct 1",675,,,1,107,489,28,50
1258548000002,"West Bloomfield Township, Precinct 2",609,,,0,121,428,28,32
1258548000003,"West Bloomfield Township, Precinct 3",922,,,0,120,733,31,38
1258548000004,"West Bloomfield Township, Precinct 4",432,,,1,100,264,33,34
1258548000005,"West Bloomfield Township, Precinct 5",151,,,1,35,82,15,18
1258548000006,"West Bloomfield Township, Precinct 6",547,,,2,138,328,49,30
1258548000007,"West Bloomfield Township, Precinct 7",532,,,3,105,331,52,41
1258548000008,"West Bloomfield Township, Precinct 8",697,,,0,133,471,64,29
1258548000009,"West Bloomfield Township, Precinct 9",691,,,0,91,537,34,29
1258548000010,"West Bloomfield Township, Precinct 10",575,,,0,154,365,31,25
1258548000011,"West Bloomfield Township, Precinct 11",397,,,0,104,234,37,22
1258548000012,"West Bloomfield Township, Precinct 12",222,,,1,48,116,40,17
1258548000013,"West Bloomfield Township, Precinct 13",76,,,0,9,52,2,13
1258548000014,"West Bloomfield Township, Precinct 14",551,,,1,119,336,50,45
1258548000015,"West Bloomfield Township, Precinct 15",446,,,0,105,261,37,43
1258548000016,"West Bloomfield Township, Precinct 16",841,,,0,169,551,73,48
1258548000017,"West Bloomfield Township, Precinct 17",579,,,1,113,386,41,38
