id,name,total,over_votes,under_votes,Write-in,Aisha Farooqi,Jeremy Moss,John Paul Torres,Don Ufford
1130908000001,"Bloomfield Township, Precinct 1",119,,,0,51,35,18,15
1250911000002,"Bloomfield Township, Precinct 2",210,,,1,84,93,13,19
1250911000003,"Bloomfield Township, Precinct 3",366,,,1,134,149,46,36
1250911000004,"Bloomfield Township, Precinct 4",116,,,0,44,52,10,10
1250911000005,"Bloomfield Township, Precinct 5",359,,,0,135,140,18,66
1250911000006,"Bloomfield Township, Precinct 6",183,,,1,61,84,23,14
1250911000007,"Bloomfield Township, Precinct 7",331,,,0,123,157,23,28
1250911000008,"Bloomfield Township, Precinct 8",306,,,1,89,167,24,25
1250911000009,"Bloomfield Township, Precinct 9",372,,,1,90,209,39,33
1250911000010,"Bloomfield Township, Precinct 10",144,,,3,44,72,15,10
1250911000011,"Bloomfield Township, Precinct 11",344,,,2,63,193,22,64
1250911000012,"Bloomfield Township, Precinct 12",153,,,0,46,69,14,24
1251764000001,"Commerce Township, Precinct 1",148,,,0,51,54,23,20
1251764000002,"Commerce Township, Precinct 2",120,,,0,47,44,17,12
1251764000003,"Commerce Township, Precinct 3",171,,,1,65,63,36,6
1251764000004,"Commerce Township, Precinct 4",143,,,0,50,55,26,12
1251764000005,"Commerce Township, Precinct 5",123,,,1,41,56,14,11
1251764000006,"Commerce Township, Precinct 6",146,,,2,37,67,27,13
1251764000007,"Commerce Township, Precinct 7",105,,,2,20,47,23,13
1251764000008,"Commerce Township, Precinct 8",140,,,0,38,69,20,13
1251764000009,"Commerce Township, Precinct 9",228,,,0,83,98,26,21
1251764000010,"Commerce Township, Precinct 10",151,,,0,60,53,30,8
1251764000011,"Commerce Township, Precinct 11",155,,,0,60,58,26,11
1251764000012,"Commerce Township, Precinct 12",96,,,2,28,42,12,12
1251764000013,"Commerce Township, Precinct 13",193,,,0,83,73,17,20
1251764000014,"Commerce Township, Precinct 14",127,,,0,48,49,19,11
1251764000015,"Commerce Township, Precinct 15",133,,,1,49,56,21,6
1254040000007,"Independence Township, Precinct 7",0,,,0,0,0,0,0
1257006000001,"Royal Oak Township, Precinct 1",125,,,0,51,63,7,4
1257006000002,"Royal Oak Township, Precinct 2",0,,,0,0,0,0,0
1258424000001,"Waterford Township, Precinct 1",42,,,0,8,15,18,1
1258424000002,"Waterford Township, Precinct 2",172,,,0,48,59,53,12
1258424000003,"Waterford Township, Precinct 3",173,,,1,64,43,55,10
1258424000004,"Waterford Township, Precinct 4",153,,,1,38,52,54,8
1258424000005,"Waterford Township, Precinct 5",166,,,0,46,51,58,11
1258424000006,"Waterford Township, Precinct 6",129,,,1,39,40,39,10
1258424000007,"Waterford Township, Precinct 7",180,,,0,54,51,65,10
1258424000008,"Waterford Township, Precinct 8",133,,,1,37,41,50,4
1258424000009,"Waterford Township, Precinct 9",158,,,0,39,41,66,12
1258424000010,"Waterford Township, Precinct 10",92,,,1,28,29,21,13
1258424000011,"Waterford Township, Precinct 11",145,,,1,49,33,52,10
1258424000012,"Waterford Township, Precinct 12",185,,,0,71,54,47,13
1258424000013,"Waterford Township, Precinct 13",166,,,0,46,31,76,13
1258424000014,"Waterford Township, Precinct 14",148,,,0,59,35,46,8
1258424000015,"Waterford Township, Precinct 15",183,,,0,70,51,54,8
1258424000016,"Waterford Township, Precinct 16",184,,,0,58,40,79,7
1258424000017,"Waterford Township, Precinct 17",195,,,0,64,42,80,9
1258424000018,"Waterford Township, Precinct 18",190,,,1,88,54,34,13
1258424000019,"Waterford Township, Precinct 19",156,,,0,61,33,53,9
1258424000020,"Waterford Township, Precinct 20",176,,,0,74,36,56,10
