id,name,total,over_votes,under_votes,Write-in,Ethan Baker
1130908000001,"Bloomfield Township, Precinct 1",111,,,0,111
1250911000002,"Bloomfield Township, Precinct 2",118,,,0,118
1250911000003,"Bloomfield Township, Precinct 3",362,,,2,360
1250911000004,"Bloomfield Township, Precinct 4",144,,,0,144
1250911000005,"Bloomfield Township, Precinct 5",343,,,0,343
1250911000006,"Bloomfield Township, Precinct 6",199,,,0,199
1250911000007,"Bloomfield Township, Precinct 7",299,,,0,299
1250911000008,"Bloomfield Township, Precinct 8",184,,,0,184
1250911000009,"Bloomfield Township, Precinct 9",219,,,0,219
1250911000010,"Bloomfield Township, Precinct 10",213,,,0,213
1250911000011,"Bloomfield Township, Precinct 11",466,,,1,465
1250911000012,"Bloomfield Township, Precinct 12",138,,,0,138
1251764000001,"Commerce Township, Precinct 1",201,,,0,201
1251764000002,"Commerce Township, Precinct 2",164,,,1,163
1251764000003,"Commerce Township, Precinct 3",172,,,0,172
1251764000004,"Commerce Township, Precinct 4",154,,,0,154
1251764000005,"Commerce Township, Precinct 5",198,,,0,198
1251764000006,"Commerce Township, Precinct 6",127,,,0,127
1251764000007,"Commerce Township, Precinct 7",240,,,0,240
1251764000008,"Commerce Township, Precinct 8",223,,,0,223
1251764000009,"Commerce Township, Precinct 9",202,,,1,201
1251764000010,"Commerce Township, Precinct 10",157,,,0,157
1251764000011,"Commerce Township, Precinct 11",179,,,1,178
1251764000012,"Commerce Township, Precinct 12",85,,,0,85
1251764000013,"Commerce Township, Precinct 13",171,,,0,171
1251764000014,"Commerce Township, Precinct 14",40,,,0,40
1251764000015,"Commerce Township, Precinct 15",133,,,0,133
1254040000007,"Independence Township, Precinct 7",0,,,0,0
1257006000001,"Royal Oak Township, Precinct 1",0,,,0,0
1257006000002,"Royal Oak Township, Precinct 2",4,,,0,4
1258424000001,"Waterford Township, Precinct 1",92,,,0,92
1258424000002,"Waterford Township, Precinct 2",248,,,1,247
1258424000003,"Waterford Township, Precinct 3",187,,,0,187
1258424000004,"Waterford Township, Precinct 4",226,,,0,226
1258424000005,"Waterford Township, Precinct 5",263,,,0,263
1258424000006,"Waterford Township, Precinct 6",211,,,0,211
1258424000007,"Waterford Township, Precinct 7",170,,,0,170
1258424000008,"Waterford Township, Precinct 8",219,,,0,219
1258424000009,"Waterford Township, Precinct 9",232,,,0,232
1258424000010,"Waterford Township, Precinct 10",166,,,0,166
1258424000011,"Waterford Township, Precinct 11",163,,,1,162
1258424000012,"Waterford Township, Precinct 12",249,,,1,248
1258424000013,"Waterford Township, Precinct 13",146,,,1,145
1258424000014,"Waterford Township, Precinct 14",116,,,1,115
1258424000015,"Waterford Township, Precinct 15",114,,,0,114
1258424000016,"Waterford Township, Precinct 16",184,,,0,184
1258424000017,"Waterford Township, Precinct 17",173,,,0,173
1258424000018,"Waterford Township, Precinct 18",189,,,0,189
1258424000019,"Waterford Township, Precinct 19",177,,,0,177
1258424000020,"Waterford Township, Precinct 20",148,,,0,148
1258424000021,"Waterford Township, Precinct 21",154,,,0,154
1258548000001,"West Bloomfield Township, Precinct 1",101,,,0,101
1258548000002,"West Bloomfield Township, Precinct 2",121,,,0,121
1258548000003,"West Bloomfield Township, Precinct 3",88,,,0,88
1258548000004,"West Bloomfield Township, Precinct 4",47,,,0,47
1258548000005,"West Bloomfield Township, Precinct 5",57,,,0,57
1258548000006,"West Bloomfield Township, Precinct 6",192,,,0,192
1258548000007,"West Bloomfield Township, Precinct 7",193,,,0,193
1258548000008,"West Bloomfield Township, Precinct 8",138,,,0,138
1258548000009,"West Bloomfield Township, Precinct 9",86,,,0,86
1258548000010,"West Bloomfield Township, Precinct 10",96,,,1,95
1258548000011,"West Bloomfield Township, Precinct 11",78,,,0,78
1258548000012,"West Bloomfield Township, Precinct 12",101,,,0,101
1258548000013,"West Bloomfield Township, Precinct 13",21,,,0,21
1258548000014,"West Bloomfield Township, Precinct 14",151,,,0,151
1258548000015,"West Bloomfield Township, Precinct 15",115,,,0,115
1258548000016,"West Bloomfield Township, Precinct 16",128,,,2,126
1258548000017,"West Bloomfield Township, Precinct 17",76,,,0,76
1258548000018,"West Bloomfield Township, Precinct 18",78,,,0,78
1258548000019,"West Bloomfield Township, Precinct 19",89,,,0,89
1258548000020,"West Bloomfield Township, Precinct 20",78,,,0,78
1258686000002,"White Lake Township, Precinct 2",174,,,0,174
1258686000003,"White Lake Township, Precinct 3",217,,,1,216
1258686000004,"White Lake Township, Precinct 4",186,,,0,186
1258686000005,"White Lake Township, Precinct 5",279,,,0,279
1258686000006,"White Lake Township, Precinct 6",267,,,2,265
1258686000007,"White Lake Township, Precinct 7",265,,,1,264
1258686000008,"White Lake Township, Precinct 8",193,,,1,192
1258686000009,"White Lake Township, Precinct 9",235,,,1,234
1250410500001,"Auburn Hills, Precinct 1",71,,,1,70
1250410500002,"Auburn Hills, Precinct 2",322,,,0,322
1250410500003,"Auburn Hills, Precinct 3",79,,,0,79
1250410500004,"Auburn Hills, Precinct 4",64,,,0,64
1250410500005,"Auburn Hills, Precinct 5",76,,,0,76
1250410500006,"Auburn Hills, Precinct 6",98,,,0,98
1250410500007,"Auburn Hills, Precinct 7",53,,,0,53
1250766000001,"Berkley, Precinct 1",157,,,0,157
1250766000002,"Berkley, Precinct 2",123,,,1,122
1250766000003,"Berkley, Precinct 3",100,,,0,100
1250766000004,"Berkley, Precinct 4",65,,,0,65
1250864000001,"Birmingham, Precinct 1",215,,,1,214
1250864000002,"Birmingham, Precinct 2",157,,,0,157
1250864000003,"Birmingham, Precinct 3",116,,,0,116
1250864000004,"Birmingham, Precinct 4",243,,,0,243
1250864000005,"Birmingham, Precinct 5",112,,,0,112
1250918000001,"Bloomfield Hills, Precinct 1",205,,,0,205
1250918000002,"Bloomfield Hills, Precinct 2",126,,,1,125
1251616000001,"Clawson, Precinct 1",86,,,1,85
1251616000002,"Clawson, Precinct 2",49,,,0,49
1251616000003,"Clawson, Precinct 3",119,,,0,119
1251616000004,"Clawson, Precinct 4",74,,,0,74
1252738000001,"Farmington, Precinct 1",69,,,0,69
1252738000002,"Farmington, Precinct 2",164,,,1,163
1252738000003,"Farmington, Precinct 3",127,,,0,127
1252744000001,"Farmington Hills, Precinct 1",7,,,0,7
1252744000002,"Farmington Hills, Precinct 2",10,,,0,10
1252744000003,"Farmington Hills, Precinct 3",1,,,0,1
1252744000004,"Farmington Hills, Precinct 4",4,,,0,4
1252744000005,"Farmington Hills, Precinct 5",4,,,0,4
1252744000006,"Farmington Hills, Precinct 6",148,,,0,148
1252744000007,"Farmington Hills, Precinct 7",97,,,0,97
1252744000008,"Farmington Hills, Precinct 8",126,,,1,125
1252744000009,"Farmington Hills, Precinct 9",87,,,0,87
1252744000010,"Farmington Hills, Precinct 10",78,,,1,77
1252744000011,"Farmington Hills, Precinct 11",206,,,1,205
1252744000012,"Farmington Hills, Precinct 12",159,,,0,159
1252744000013,"Farmington Hills, Precinct 13",66,,,1,65
1252744000014,"Farmington Hills, Precinct 14",181,,,0,181
1252744000015,"Farmington Hills, Precinct 15",18,,,0,18
1252744000016,"Farmington Hills, Precinct 16",187,,,2,185
1252744000017,"Farmington Hills, Precinct 17",102,,,0,102
1252744000018,"Farmington Hills, Precinct 18",108,,,0,108
1252744000019,"Farmington Hills, Precinct 19",167,,,0,167
1252744000020,"Farmington Hills, Precinct 20",167,,,0,167
1252744000021,"Farmington Hills, Precinct 21",137,,,0,137
1252744000022,"Farmington Hills, Precinct 22",23,,,0,23
1252744000023,"Farmington Hills, Precinct 23",21,,,0,21
1252788000001,"Ferndale, Precinct 1",60,,,0,60
1252788000002,"Ferndale, Precinct 2",33,,,0,33
1252788000003,"Ferndale, Precinct 3",51,,,0,51
1252788000004,"Ferndale, Precinct 4",31,,,0,31
1252788000005,"Ferndale, Precinct 5",38,,,1,37
1252788000006,"Ferndale, Precinct 6",64,,,0,64
1253742000001,"Hazel Park, Precinct 1",24,,,0,24
1253742000002,"Hazel Park, Precinct 2",49,,,0,49
1253742000003,"Hazel Park, Precinct 3",39,,,0,39
1253742000004,"Hazel Park, Precinct 4",19,,,0,19
1253742000005,"Hazel Park, Precinct 5",35,,,0,35
1253742000006,"Hazel Park, Precinct 6",15,,,0,15
1254000000001,"Huntington Woods, Precinct 1",41,,,0,41
1254000000002,"Huntington Woods, Precinct 2",34,,,0,34
1254000000003,"Huntington Woods, Precinct 3",60,,,0,60
