id,name,total,over_votes,under_votes,Write-in,Ethan Baker
1130908000001,"Bloomfield Township, Precinct 1",3,,,0,3
1250911000002,"Bloomfield Township, Precinct 2",15,,,0,15
1250911000003,"Bloomfield Township, Precinct 3",27,,,0,27
1250911000004,"Bloomfield Township, Precinct 4",9,,,0,9
1250911000005,"Bloomfield Township, Precinct 5",43,,,0,43
1250911000006,"Bloomfield Township, Precinct 6",20,,,0,20
1250911000007,"Bloomfield Township, Precinct 7",29,,,0,29
1250911000008,"Bloomfield Township, Precinct 8",22,,,0,22
1250911000009,"Bloomfield Township, Precinct 9",15,,,0,15
1250911000010,"Bloomfield Township, Precinct 10",28,,,0,28
1250911000011,"Bloomfield Township, Precinct 11",48,,,0,48
1250911000012,"Bloomfield Township, Precinct 12",17,,,0,17
1251764000001,"Commerce Township, Precinct 1",32,,,0,32
1251764000002,"Commerce Township, Precinct 2",10,,,0,10
1251764000003,"Commerce Township, Precinct 3",18,,,0,18
1251764000004,"Commerce Township, Precinct 4",14,,,0,14
1251764000005,"Commerce Township, Precinct 5",25,,,0,25
1251764000006,"Commerce Township, Precinct 6",33,,,0,33
1251764000007,"Commerce Township, Precinct 7",13,,,0,13
1251764000008,"Commerce Township, Precinct 8",20,,,0,20
1251764000009,"Commerce Township, Precinct 9",42,,,0,42
1251764000010,"Commerce Township, Precinct 10",19,,,0,19
1251764000011,"Commerce Township, Precinct 11",19,,,0,19
1251764000012,"Commerce Township, Precinct 12",8,,,0,8
1251764000013,"Commerce Township, Precinct 13",21,,,0,21
1251764000014,"Commerce Township, Precinct 14",3,,,0,3
1251764000015,"Commerce Township, Precinct 15",22,,,0,22
1254040000007,"Independence Township, Precinct 7",0,,,0,0
1257006000001,"Royal Oak Township, Precinct 1",0,,,0,0
1257006000002,"Royal Oak Township, Precinct 2",2,,,0,2
1258424000001,"Waterford Township, Precinct 1",3,,,0,3
1258424000002,"Waterford Township, Precinct 2",26,,,0,26
1258424000003,"Waterford Township, Precinct 3",11,,,0,11
1258424000004,"Waterford Township, Precinct 4",13,,,0,13
1258424000005,"Waterford Township, Precinct 5",20,,,0,20
1258424000006,"Waterford Township, Precinct 6",8,,,0,8
1258424000007,"Waterford Township, Precinct 7",12,,,0,12
1258424000008,"Waterford Township, Precinct 8",27,,,0,27
1258424000009,"Waterford Township, Precinct 9",20,,,0,20
1258424000010,"Waterford Township, Precinct 10",19,,,0,19
1258424000011,"Waterford Township, Precinct 11",19,,,0,19
1258424000012,"Waterford Township, Precinct 12",19,,,0,19
1258424000013,"Waterford Township, Precinct 13",10,,,0,10
1258424000014,"Waterford Township, Precinct 14",11,,,0,11
1258424000015,"Waterford Township, Precinct 15",13,,,0,13
1258424000016,"Waterford Township, Precinct 16",22,,,0,22
1258424000017,"Waterford Township, Precinct 17",15,,,0,15
1258424000018,"Waterford Township, Precinct 18",11,,,0,11
1258424000019,"Waterford Township, Precinct 19",24,,,0,24
1258424000020,"Waterford Township, Precinct 20",11,,,0,11
1258424000021,"Waterford Township, Precinct 21",13,,,0,13
1258548000001,"West Bloomfield Township, Precinct 1",8,,,0,8
1258548000002,"West Bloomfield Township, Precinct 2",11,,,0,11
1258548000003,"West Bloomfield Township, Precinct 3",15,,,0,15
1258548000004,"West Bloomfield Township, Precinct 4",2,,,0,2
1258548000005,"West Bloomfield Township, Precinct 5",1,,,0,1
1258548000006,"West Bloomfield Township, Precinct 6",13,,,0,13
1258548000007,"West Bloomfield Township, Precinct 7",17,,,0,17
1258548000008,"West Bloomfield Township, Precinct 8",6,,,0,6
1258548000009,"West Bloomfield Township, Precinct 9",6,,,0,6
1258548000010,"West Bloomfield Township, Precinct 10",11,,,0,11
1258548000011,"West Bloomfield Township, Precinct 11",5,,,0,5
1258548000012,"West Bloomfield Township, Precinct 12",11,,,0,11
1258548000013,"West Bloomfield Township, Precinct 13",0,,,0,0
1258548000014,"West Bloomfield Township, Precinct 14",17,,,0,17
1258548000015,"West Bloomfield Township, Precinct 15",6,,,0,6
1258548000016,"West Bloomfield Township, Precinct 16",15,,,1,14
1258548000017,"West Bloomfield Township, Precinct 17",14,,,0,14
1258548000018,"West Bloomfield Township, Precinct 18",7,,,0,7
1258548000019,"West Bloomfield Township, Precinct 19",5,,,0,5
1258548000020,"West Bloomfield Township, Precinct 20",7,,,0,7
1258686000002,"White Lake Township, Precinct 2",14,,,0,14
1258686000003,"White Lake Township, Precinct 3",20,,,0,20
1258686000004,"White Lake Township, Precinct 4",19,,,0,19
1258686000005,"White Lake Township, Precinct 5",20,,,0,20
1258686000006,"White Lake Township, Precinct 6",21,,,0,21
1258686000007,"White Lake Township, Precinct 7",19,,,0,19
1258686000008,"White Lake Township, Precinct 8",9,,,0,9
1258686000009,"White Lake Township, Precinct 9",13,,,0,13
1250410500001,"Auburn Hills, Precinct 1",6,,,0,6
1250410500002,"Auburn Hills, Precinct 2",20,,,0,20
1250410500003,"Auburn Hills, Precinct 3",17,,,0,17
1250410500004,"Auburn Hills, Precinct 4",11,,,0,11
1250410500005,"Auburn Hills, Precinct 5",14,,,0,14
1250410500006,"Auburn Hills, Precinct 6",14,,,0,14
1250410500007,"Auburn Hills, Precinct 7",2,,,0,2
1250766000001,"Berkley, Precinct 1",7,,,0,7
1250766000002,"Berkley, Precinct 2",6,,,0,6
1250766000003,"Berkley, Precinct 3",2,,,0,2
1250766000004,"Berkley, Precinct 4",6,,,0,6
1250864000001,"Birmingham, Precinct 1",12,,,0,12
1250864000002,"Birmingham, Precinct 2",6,,,0,6
1250864000003,"Birmingham, Precinct 3",4,,,0,4
1250864000004,"Birmingham, Precinct 4",9,,,0,9
1250864000005,"Birmingham, Precinct 5",5,,,0,5
1250918000001,"Bloomfield Hills, Precinct 1",28,,,0,28
1250918000002,"Bloomfield Hills, Precinct 2",18,,,0,18
1251616000001,"Clawson, Precinct 1",10,,,0,10
1251616000002,"Clawson, Precinct 2",2,,,0,2
1251616000003,"Clawson, Precinct 3",17,,,0,17
1251616000004,"Clawson, Precinct 4",3,,,0,3
