id,name,total,over_votes,under_votes,Write-in,Shanelle Jackson,Byron H. Nolen,Rashida Tlaib
1257492000001,"Southfield Township, Precinct 1",304,,,0,46,39,219
1257492000002,"Southfield Township, Precinct 2",330,,,0,48,53,229
1257492000003,"Southfield Township, Precinct 3",216,,,0,37,27,152
1257492000004,"Southfield Township, Precinct 4",183,,,0,25,28,130
1257492000005,"Southfield Township, Precinct 5",373,,,1,65,74,233
1257492000006,"Southfield Township, Precinct 6",208,,,1,51,28,128
1257492000007,"Southfield Township, Precinct 7",512,,,1,148,119,244
1254632000001,"Lathrup Village, Precinct 1",733,,,0,131,53,549
1257490000001,"Southfield, Precinct 1",449,,,0,111,32,306
1257490000002,"Southfield, Precinct 2",521,,,0,133,61,327
1257490000003,"Southfield, Precinct 3",352,,,1,69,28,254
1257490000004,"Southfield, Precinct 4",404,,,0,95,27,282
1257490000005,"Southfield, Precinct 5",258,,,1,57,13,187
1257490000006,"Southfield, Precinct 6",401,,,0,96,65,240
1257490000007,"Southfield, Precinct 7",457,,,0,108,38,311
1257490000008,"Southfield, Precinct 8",330,,,1,73,19,237
1257490000009,"Southfield, Precinct 9",296,,,0,48,32,216
1257490000010,"Southfield, Precinct 10",345,,,0,92,26,227
1257490000011,"Southfield, Precinct 11",397,,,0,97,25,275
1257490000012,"Southfield, Precinct 12",373,,,0,91,37,245
1257490000013,"Southfield, Precinct 13",579,,,0,215,129,235
1257490000014,"Southfield, Precinct 14",391,,,0,171,89,131
1257490000015,"Southfield, Precinct 15",285,,,0,68,30,187
1257490000016,"Southfield, Precinct 16",350,,,0,91,17,242
1257490000017,"Southfield, Precinct 17",425,,,0,161,94,170
1257490000018,"Southfield, Precinct 18",285,,,0,69,24,192
1257490000019,"Southfield, Precinct 19",237,,,0,51,14,172
1257490000020,"Southfield, Precinct 20",383,,,0,92,23,268
1257490000021,"Southfield, Precinct 21",450,,,0,79,36,335
1257490000022,"Southfield, Precinct 22",385,,,0,91,10,284
1257490000023,"Southfield, Precinct 23",379,,,4,122,33,220
1257490000024,"Southfield, Precinct 24",203,,,0,45,17,141
1257490000025,"Southfield, Precinct 25",362,,,0,89,36,237
1257490000026,"Southfield, Precinct 26",494,,,0,149,59,286
1257490000027,"Southfield, Precinct 27",292,,,0,80,31,181
1257490000028,"Southfield, Precinct 28",150,,,0,36,7,107
1257490000029,"Southfield, Precinct 29",439,,,1,111,34,293
1257490000030,"Southfield, Precinct 30",430,,,0,105,34,291
1257490000031,"Southfield, Precinct 31",331,,,1,80,26,224
1257490000032,"Southfield, Precinct 32",318,,,1,79,26,212
1257490000033,"Southfield, Precinct 33",295,,,0,76,25,194
1257490000034,"Southfield, Precinct 34",221,,,0,41,10,170
1257490000035,"Southfield, Precinct 35",164,,,0,41,2,121
1257490000036,"Southfield, Precinct 36",206,,,0,31,19,156
