id,name,total,over_votes,under_votes,Write-in,Shanelle Jackson,Byron H. Nolen,Rashida Tlaib
1257492000001,"Southfield Township, Precinct 1",607,,,0,86,77,444
1257492000002,"Southfield Township, Precinct 2",698,,,1,99,116,482
1257492000003,"Southfield Township, Precinct 3",500,,,1,101,57,341
1257492000004,"Southfield Township, Precinct 4",343,,,0,60,49,234
1257492000005,"Southfield Township, Precinct 5",708,,,2,129,136,441
1257492000006,"Southfield Township, Precinct 6",334,,,1,80,45,208
1257492000007,"Southfield Township, Precinct 7",983,,,2,307,225,449
1254632000001,"Lathrup Village, Precinct 1",1744,,,0,355,140,1249
1257490000001,"Southfield, Precinct 1",665,,,1,178,49,437
1257490000002,"Southfield, Precinct 2",833,,,1,218,101,513
1257490000003,"Southfield, Precinct 3",547,,,1,112,45,389
1257490000004,"Southfield, Precinct 4",665,,,0,171,45,449
1257490000005,"Southfield, Precinct 5",476,,,2,105,33,336
1257490000006,"Southfield, Precinct 6",635,,,1,162,88,384
1257490000007,"Southfield, Precinct 7",716,,,0,169,67,480
1257490000008,"Southfield, Precinct 8",541,,,1,147,33,360
1257490000009,"Southfield, Precinct 9",490,,,0,89,50,351
1257490000010,"Southfield, Precinct 10",533,,,1,135,45,352
1257490000011,"Southfield, Precinct 11",585,,,0,158,47,380
1257490000012,"Southfield, Precinct 12",596,,,1,146,59,390
1257490000013,"Southfield, Precinct 13",792,,,0,288,183,321
1257490000014,"Southfield, Precinct 14",492,,,1,208,116,167
1257490000015,"Southfield, Precinct 15",470,,,1,123,45,301
1257490000016,"Southfield, Precinct 16",567,,,0,148,38,381
1257490000017,"Southfield, Precinct 17",678,,,0,269,150,259
1257490000018,"Southfield, Precinct 18",433,,,0,119,30,284
1257490000019,"Southfield, Precinct 19",427,,,0,108,19,300
1257490000020,"Southfield, Precinct 20",592,,,0,156,35,401
1257490000021,"Southfield, Precinct 21",726,,,2,132,63,529
1257490000022,"Southfield, Precinct 22",537,,,0,144,18,375
1257490000023,"Southfield, Precinct 23",590,,,5,186,52,347
1257490000024,"Southfield, Precinct 24",397,,,0,106,40,251
1257490000025,"Southfield, Precinct 25",510,,,0,140,47,323
1257490000026,"Southfield, Precinct 26",723,,,0,252,79,392
1257490000027,"Southfield, Precinct 27",504,,,2,143,50,309
1257490000028,"Southfield, Precinct 28",278,,,0,70,15,193
1257490000029,"Southfield, Precinct 29",693,,,1,177,60,455
1257490000030,"Southfield, Precinct 30",647,,,0,155,49,443
1257490000031,"Southfield, Precinct 31",510,,,1,124,39,346
1257490000032,"Southfield, Precinct 32",522,,,1,138,50,333
1257490000033,"Southfield, Precinct 33",540,,,0,144,42,354
1257490000034,"Southfield, Precinct 34",367,,,0,78,20,269
1257490000035,"Southfield, Precinct 35",295,,,0,77,14,204
1257490000036,"Southfield, Precinct 36",329,,,0,56,31,242
