id,name,total,over_votes,under_votes,Write-in,James D. Hooper
1257492000001,"Southfield Township, Precinct 1",5,,,0,5
1257492000002,"Southfield Township, Precinct 2",5,,,0,5
1257492000003,"Southfield Township, Precinct 3",2,,,0,2
1257492000004,"Southfield Township, Precinct 4",6,,,0,6
1257492000005,"Southfield Township, Precinct 5",12,,,0,12
1257492000006,"Southfield Township, Precinct 6",1,,,0,1
1257492000007,"Southfield Township, Precinct 7",4,,,0,4
1254632000001,"Lathrup Village, Precinct 1",2,,,0,2
1257490000001,"Southfield, Precinct 1",4,,,0,4
1257490000002,"Southfield, Precinct 2",0,,,0,0
1257490000003,"Southfield, Precinct 3",2,,,0,2
1257490000004,"Southfield, Precinct 4",3,,,0,3
1257490000005,"Southfield, Precinct 5",3,,,1,2
1257490000006,"Southfield, Precinct 6",5,,,0,5
1257490000007,"Southfield, Precinct 7",4,,,0,4
1257490000008,"Southfield, Precinct 8",1,,,0,1
1257490000009,"Southfield, Precinct 9",4,,,0,4
1257490000010,"Southfield, Precinct 10",2,,,0,2
1257490000011,"Southfield, Precinct 11",3,,,0,3
1257490000012,"Southfield, Precinct 12",3,,,0,3
1257490000013,"Southfield, Precinct 13",3,,,0,3
1257490000014,"Southfield, Precinct 14",0,,,0,0
1257490000015,"Southfield, Precinct 15",3,,,0,3
1257490000016,"Southfield, Precinct 16",0,,,0,0
1257490000017,"Southfield, Precinct 17",3,,,0,3
1257490000018,"Southfield, Precinct 18",0,,,0,0
1257490000019,"Southfield, Precinct 19",0,,,0,0
1257490000020,"Southfield, Precinct 20",2,,,0,2
1257490000021,"Southfield, Precinct 21",2,,,0,2
1257490000022,"Southfield, Precinct 22",1,,,0,1
1257490000023,"Southfield, Precinct 23",2,,,0,2
1257490000024,"Southfield, Precinct 24",1,,,0,1
1257490000025,"Southfield, Precinct 25",1,,,0,1
1257490000026,"Southfield, Precinct 26",2,,,0,2
1257490000027,"Southfield, Precinct 27",2,,,0,2
1257490000028,"Southfield, Precinct 28",1,,,0,1
1257490000029,"Southfield, Precinct 29",4,,,0,4
1257490000030,"Southfield, Precinct 30",3,,,0,3
1257490000031,"Southfield, Precinct 31",1,,,0,1
1257490000032,"Southfield, Precinct 32",0,,,0,0
1257490000033,"Southfield, Precinct 33",0,,,0,0
1257490000034,"Southfield, Precinct 34",0,,,0,0
1257490000035,"Southfield, Precinct 35",1,,,0,1
1257490000036,"Southfield, Precinct 36",2,,,0,2
