id,name,total,over_votes,under_votes,Write-in,James D. Hooper
1257492000001,"Southfield Township, Precinct 1",164,,,1,163
1257492000002,"Southfield Township, Precinct 2",242,,,0,242
1257492000003,"Southfield Township, Precinct 3",114,,,0,114
1257492000004,"Southfield Township, Precinct 4",138,,,0,138
1257492000005,"Southfield Township, Precinct 5",200,,,0,200
1257492000006,"Southfield Township, Precinct 6",118,,,0,118
1257492000007,"Southfield Township, Precinct 7",218,,,1,217
1254632000001,"Lathrup Village, Precinct 1",133,,,1,132
1257490000001,"Southfield, Precinct 1",33,,,0,33
1257490000002,"Southfield, Precinct 2",57,,,0,57
1257490000003,"Southfield, Precinct 3",48,,,0,48
1257490000004,"Southfield, Precinct 4",37,,,0,37
1257490000005,"Southfield, Precinct 5",60,,,1,59
1257490000006,"Southfield, Precinct 6",28,,,1,27
1257490000007,"Southfield, Precinct 7",20,,,0,20
1257490000008,"Southfield, Precinct 8",24,,,0,24
1257490000009,"Southfield, Precinct 9",38,,,0,38
1257490000010,"Southfield, Precinct 10",29,,,0,29
1257490000011,"Southfield, Precinct 11",27,,,0,27
1257490000012,"Southfield, Precinct 12",23,,,1,22
1257490000013,"Southfield, Precinct 13",29,,,0,29
1257490000014,"Southfield, Precinct 14",23,,,0,23
1257490000015,"Southfield, Precinct 15",23,,,1,22
1257490000016,"Southfield, Precinct 16",16,,,0,16
1257490000017,"Southfield, Precinct 17",16,,,0,16
1257490000018,"Southfield, Precinct 18",11,,,0,11
1257490000019,"Southfield, Precinct 19",30,,,1,29
1257490000020,"Southfield, Precinct 20",15,,,0,15
1257490000021,"Southfield, Precinct 21",15,,,0,15
1257490000022,"Southfield, Precinct 22",16,,,0,16
1257490000023,"Southfield, Precinct 23",34,,,0,34
1257490000024,"Southfield, Precinct 24",18,,,0,18
1257490000025,"Southfield, Precinct 25",14,,,0,14
1257490000026,"Southfield, Precinct 26",19,,,0,19
1257490000027,"Southfield, Precinct 27",10,,,0,10
1257490000028,"Southfield, Precinct 28",15,,,0,15
1257490000029,"Southfield, Precinct 29",46,,,1,45
1257490000030,"Southfield, Precinct 30",40,,,0,40
1257490000031,"Southfield, Precinct 31",13,,,0,13
1257490000032,"Southfield, Precinct 32",34,,,0,34
1257490000033,"Southfield, Precinct 33",11,,,0,11
1257490000034,"Southfield, Precinct 34",58,,,0,58
1257490000035,"Southfield, Precinct 35",14,,,0,14
1257490000036,"Southfield, Precinct 36",44,,,0,44
