id,name,total,over_votes,under_votes,Write-in,Debbie Dingell
1255946000001,"Novi Township, Precinct 1",36,,,0,36
1255898000002,"Northville, Precinct 2",635,,,2,633
1255944000001,"Novi, Precinct 1",478,,,3,475
1255944000002,"Novi, Precinct 2",591,,,5,586
1255944000003,"Novi, Precinct 3",389,,,2,387
1255944000004,"Novi, Precinct 4",475,,,3,472
1255944000005,"Novi, Precinct 5",329,,,5,324
1255944000006,"Novi, Precinct 6",501,,,4,497
1255944000007,"Novi, Precinct 7",410,,,2,408
1255944000008,"Novi, Precinct 8",465,,,4,461
1255944000009,"Novi, Precinct 9",487,,,4,483
1255944000010,"Novi, Precinct 10",512,,,1,511
1255944000011,"Novi, Precinct 11",281,,,0,281
1255944000015,"Novi, Precinct 15",420,,,1,419
1255944000016,"Novi, Precinct 16",742,,,4,738
1255944000018,"Novi, Precinct 18",426,,,2,424
1255944000019,"Novi, Precinct 19",424,,,2,422
1255944000020,"Novi, Precinct 20",256,,,1,255
1255944000021,"Novi, Precinct 21",396,,,3,393
1255944000022,"Novi, Precinct 22",248,,,1,247
1255944000023,"Novi, Precinct 23",340,,,6,334
1255944000024,"Novi, Precinct 24",355,,,1,354
1255944000025,"Novi, Precinct 25",177,,,1,176
