id,name,total,over_votes,under_votes,Write-in,Bridget Brink,William Lawrence,Matt Maasdam
1254982000001,"Lyon Township, Precinct 1",127,,,0,49,51,27
1254982000002,"Lyon Township, Precinct 2",91,,,0,30,27,34
1254982000003,"Lyon Township, Precinct 3",174,,,0,70,71,33
1254982000004,"Lyon Township, Precinct 4",186,,,0,89,42,55
1254982000005,"Lyon Township, Precinct 5",190,,,0,81,47,62
1254982000006,"Lyon Township, Precinct 6",238,,,1,101,58,78
1254982000007,"Lyon Township, Precinct 7",55,,,0,14,15,26
1254982000008,"Lyon Township, Precinct 8",195,,,2,75,52,66
1254982000009,"Lyon Township, Precinct 9",285,,,0,92,80,113
1254982000010,"Lyon Township, Precinct 10",133,,,1,53,30,49
1254982000011,"Lyon Township, Precinct 11",265,,,0,103,68,94
1255398000002,"Milford Township, Precinct 2",191,,,0,82,46,63
1255398000003,"Milford Township, Precinct 3",222,,,0,110,34,78
1255398000004,"Milford Township, Precinct 4",388,,,0,149,110,129
1255398000006,"Milford Township, Precinct 6",245,,,0,108,53,84
1257510000001,"South Lyon, Precinct 1",319,,,0,136,85,98
1257510000002,"South Lyon, Precinct 2",195,,,0,74,59,62
1257510000003,"South Lyon, Precinct 3",269,,,0,105,68,96
1257510000004,"South Lyon, Precinct 4",113,,,0,51,37,25
1257510000005,"South Lyon, Precinct 5",77,,,0,33,27,17
