id,name,total,over_votes,under_votes,Write-in,Bridget Brink,William Lawrence,Matt Maasdam
1254982000001,"Lyon Township, Precinct 1",130,,,0,49,54,27
1254982000002,"Lyon Township, Precinct 2",97,,,0,30,32,35
1254982000003,"Lyon Township, Precinct 3",207,,,0,74,89,44
1254982000004,"Lyon Township, Precinct 4",194,,,0,92,45,57
1254982000005,"Lyon Township, Precinct 5",210,,,0,87,55,68
1254982000006,"Lyon Township, Precinct 6",261,,,1,107,67,86
1254982000007,"Lyon Township, Precinct 7",63,,,0,20,15,28
1254982000008,"Lyon Township, Precinct 8",212,,,2,84,54,72
1254982000009,"Lyon Township, Precinct 9",313,,,0,96,93,124
1254982000010,"Lyon Township, Precinct 10",150,,,1,57,39,53
1254982000011,"Lyon Township, Precinct 11",283,,,0,111,75,97
1255398000002,"Milford Township, Precinct 2",206,,,0,88,50,68
1255398000003,"Milford Township, Precinct 3",243,,,0,118,40,85
1255398000004,"Milford Township, Precinct 4",417,,,0,160,122,135
1255398000006,"Milford Township, Precinct 6",267,,,0,118,60,89
1257510000001,"South Lyon, Precinct 1",358,,,0,151,102,105
1257510000002,"South Lyon, Precinct 2",227,,,0,83,76,68
1257510000003,"South Lyon, Precinct 3",299,,,0,108,87,104
1257510000004,"South Lyon, Precinct 4",137,,,0,56,51,30
1257510000005,"South Lyon, Precinct 5",87,,,0,38,30,19
