id,name,total,over_votes,under_votes,Write-in,Bridget Brink,William Lawrence,Matt Maasdam
1254982000001,"Lyon Township, Precinct 1",3,,,0,0,3,0
1254982000002,"Lyon Township, Precinct 2",6,,,0,0,5,1
1254982000003,"Lyon Township, Precinct 3",33,,,0,4,18,11
1254982000004,"Lyon Township, Precinct 4",8,,,0,3,3,2
1254982000005,"Lyon Township, Precinct 5",20,,,0,6,8,6
1254982000006,"Lyon Township, Precinct 6",23,,,0,6,9,8
1254982000007,"Lyon Township, Precinct 7",8,,,0,6,0,2
1254982000008,"Lyon Township, Precinct 8",17,,,0,9,2,6
1254982000009,"Lyon Township, Precinct 9",28,,,0,4,13,11
1254982000010,"Lyon Township, Precinct 10",17,,,0,4,9,4
1254982000011,"Lyon Township, Precinct 11",18,,,0,8,7,3
1255398000002,"Milford Township, Precinct 2",15,,,0,6,4,5
1255398000003,"Milford Township, Precinct 3",21,,,0,8,6,7
1255398000004,"Milford Township, Precinct 4",29,,,0,11,12,6
1255398000006,"Milford Township, Precinct 6",22,,,0,10,7,5
1257510000001,"South Lyon, Precinct 1",39,,,0,15,17,7
1257510000002,"South Lyon, Precinct 2",32,,,0,9,17,6
1257510000003,"South Lyon, Precinct 3",30,,,0,3,19,8
1257510000004,"South Lyon, Precinct 4",24,,,0,5,14,5
1257510000005,"South Lyon, Precinct 5",10,,,0,5,3,2
