id,name,total,over_votes,under_votes,Write-in,Tom Barrett
1254982000001,"Lyon Township, Precinct 1",54,,,0,54
1254982000002,"Lyon Township, Precinct 2",42,,,0,42
1254982000003,"Lyon Township, Precinct 3",93,,,0,93
1254982000004,"Lyon Township, Precinct 4",112,,,1,111
1254982000005,"Lyon Township, Precinct 5",82,,,0,82
1254982000006,"Lyon Township, Precinct 6",143,,,1,142
1254982000007,"Lyon Township, Precinct 7",16,,,0,16
1254982000008,"Lyon Township, Precinct 8",130,,,0,130
1254982000009,"Lyon Township, Precinct 9",160,,,0,160
1254982000010,"Lyon Township, Precinct 10",66,,,0,66
1254982000011,"Lyon Township, Precinct 11",117,,,2,115
1255398000002,"Milford Township, Precinct 2",158,,,0,158
1255398000003,"Milford Township, Precinct 3",93,,,1,92
1255398000004,"Milford Township, Precinct 4",295,,,0,295
1255398000006,"Milford Township, Precinct 6",97,,,0,97
1257510000001,"South Lyon, Precinct 1",160,,,0,160
1257510000002,"South Lyon, Precinct 2",152,,,0,152
1257510000003,"South Lyon, Precinct 3",148,,,0,148
1257510000004,"South Lyon, Precinct 4",87,,,0,87
1257510000005,"South Lyon, Precinct 5",45,,,1,44
