id,name,total,over_votes,under_votes,Write-in,Ray Pooley
1250040000001,"Addison Township, Precinct 1",209,,,2,207
1250040000002,"Addison Township, Precinct 2",240,,,1,239
1250040000003,"Addison Township, Precinct 3",131,,,3,128
1251004000001,"Brandon Township, Precinct 1",290,,,0,290
1251004000002,"Brandon Township, Precinct 2",275,,,2,273
1251004000003,"Brandon Township, Precinct 3",302,,,2,300
1251004000004,"Brandon Township, Precinct 4",372,,,3,369
1251004000005,"Brandon Township, Precinct 5",133,,,1,132
1251004000006,"Brandon Township, Precinct 6",166,,,0,166
1253564000001,"Groveland Township, Precinct 1",106,,,1,105
1253564000002,"Groveland Township, Precinct 2",178,,,1,177
1253564000003,"Groveland Township, Precinct 3",226,,,3,223
1253808000001,"Highland Township, Precinct 1",498,,,2,496
1253808000002,"Highland Township, Precinct 2",532,,,1,531
1253808000003,"Highland Township, Precinct 3",443,,,0,443
1253808000004,"Highland Township, Precinct 4",419,,,1,418
1253808000005,"Highland Township, Precinct 5",217,,,3,214
1253872000001,"Holly Township, Precinct 1",295,,,1,294
1253872000002,"Holly Township, Precinct 2",282,,,1,281
1253872000003,"Holly Township, Precinct 3",335,,,0,335
1253872000004,"Holly Township, Precinct 4",357,,,0,357
1254040000001,"Independence Township, Precinct 1",398,,,2,396
1254040000002,"Independence Township, Precinct 2",500,,,2,498
1254040000003,"Independence Township, Precinct 3",598,,,2,596
1254040000004,"Independence Township, Precinct 4",605,,,0,605
1254040000005,"Independence Township, Precinct 5",675,,,1,674
1254040000006,"Independence Township, Precinct 6",651,,,2,649
1254040000007,"Independence Township, Precinct 7",507,,,5,502
1254040000008,"Independence Township, Precinct 8",481,,,4,477
1255398000001,"Milford Township, Precinct 1",355,,,0,355
1255398000005,"Milford Township, Precinct 5",491,,,3,488
1255398000007,"Milford Township, Precinct 7",240,,,2,238
1255982000001,"Oakland Township, Precinct 1",287,,,2,285
1255982000002,"Oakland Township, Precinct 2",473,,,3,470
1255982000003,"Oakland Township, Precinct 3",410,,,2,408
1255982000004,"Oakland Township, Precinct 4",256,,,1,255
1255982000005,"Oakland Township, Precinct 5",435,,,0,435
1255982000006,"Oakland Township, Precinct 6",347,,,1,346
1256110000001,"Orion Township, Precinct 1",633,,,3,630
1256110000002,"Orion Township, Precinct 2",302,,,2,300
1256110000003,"Orion Township, Precinct 3",310,,,4,306
1256110000004,"Orion Township, Precinct 4",333,,,1,332
1256110000005,"Orion Township, Precinct 5",368,,,3,365
1256110000006,"Orion Township, Precinct 6",342,,,0,342
1256110000007,"Orion Township, Precinct 7",583,,,0,583
1256110000008,"Orion Township, Precinct 8",531,,,0,531
1256110000009,"Orion Township, Precinct 9",451,,,1,450
1256110000010,"Orion Township, Precinct 10",367,,,3,364
1256110000011,"Orion Township, Precinct 11",523,,,3,520
1256204000001,"Oxford Township, Precinct 1",411,,,2,409
1256204000002,"Oxford Township, Precinct 2",551,,,2,549
1256204000003,"Oxford Township, Precinct 3",745,,,3,742
1256204000004,"Oxford Township, Precinct 4",513,,,4,509
1256204000005,"Oxford Township, Precinct 5",390,,,4,386
1256958000001,"Rose Township, Precinct 1",200,,,1,199
1256958000002,"Rose Township, Precinct 2",241,,,0,241
1256958000003,"Rose Township, Precinct 3",212,,,3,209
1257576000001,"Springfield Township, Precinct 1",346,,,0,346
1257576000002,"Springfield Township, Precinct 2",231,,,0,231
1257576000003,"Springfield Township, Precinct 3",285,,,2,283
1257576000004,"Springfield Township, Precinct 4",425,,,0,425
1257576000005,"Springfield Township, Precinct 5",256,,,4,252
1258686000001,"White Lake Township, Precinct 1",88,,,1,87
1258245000001,"Clarkston, Precinct 1",148,,,1,147
492776000002,"Fenton, Precinct 2",0,,,0,0
