id,name,total,over_votes,under_votes,Write-in,Lisa McClain
1250040000001,"Addison Township, Precinct 1",5,,,0,5
1250040000002,"Addison Township, Precinct 2",14,,,0,14
1250040000003,"Addison Township, Precinct 3",2,,,0,2
1251004000001,"Brandon Township, Precinct 1",31,,,0,31
1251004000002,"Brandon Township, Precinct 2",32,,,0,32
1251004000003,"Brandon Township, Precinct 3",41,,,0,41
1251004000004,"Brandon Township, Precinct 4",28,,,0,28
1251004000005,"Brandon Township, Precinct 5",1,,,0,1
1251004000006,"Brandon Township, Precinct 6",18,,,0,18
1253564000001,"Groveland Township, Precinct 1",34,,,0,34
1253564000002,"Groveland Township, Precinct 2",20,,,0,20
1253564000003,"Groveland Township, Precinct 3",29,,,0,29
1253808000001,"Highland Township, Precinct 1",60,,,0,60
1253808000002,"Highland Township, Precinct 2",62,,,0,62
1253808000003,"Highland Township, Precinct 3",67,,,0,67
1253808000004,"Highland Township, Precinct 4",55,,,0,55
1253808000005,"Highland Township, Precinct 5",30,,,0,30
1253872000001,"Holly Township, Precinct 1",8,,,0,8
1253872000002,"Holly Township, Precinct 2",2,,,0,2
1253872000003,"Holly Township, Precinct 3",5,,,0,5
1253872000004,"Holly Township, Precinct 4",3,,,0,3
1254040000001,"Independence Township, Precinct 1",23,,,0,23
1254040000002,"Independence Township, Precinct 2",29,,,0,29
1254040000003,"Independence Township, Precinct 3",28,,,1,27
1254040000004,"Independence Township, Precinct 4",39,,,0,39
1254040000005,"Independence Township, Precinct 5",34,,,0,34
1254040000006,"Independence Township, Precinct 6",26,,,1,25
1254040000007,"Independence Township, Precinct 7",57,,,0,57
1254040000008,"Independence Township, Precinct 8",25,,,0,25
1255398000001,"Milford Township, Precinct 1",9,,,0,9
1255398000005,"Milford Township, Precinct 5",2,,,0,2
1255398000007,"Milford Township, Precinct 7",1,,,0,1
1255982000001,"Oakland Township, Precinct 1",12,,,0,12
1255982000002,"Oakland Township, Precinct 2",36,,,0,36
1255982000003,"Oakland Township, Precinct 3",18,,,0,18
1255982000004,"Oakland Township, Precinct 4",10,,,0,10
1255982000005,"Oakland Township, Precinct 5",18,,,0,18
1255982000006,"Oakland Township, Precinct 6",28,,,0,28
1256110000001,"Orion Township, Precinct 1",33,,,2,31
1256110000002,"Orion Township, Precinct 2",39,,,0,39
1256110000003,"Orion Township, Precinct 3",24,,,1,23
1256110000004,"Orion Township, Precinct 4",41,,,0,41
1256110000005,"Orion Township, Precinct 5",30,,,0,30
1256110000006,"Orion Township, Precinct 6",39,,,0,39
1256110000007,"Orion Township, Precinct 7",41,,,0,41
1256110000008,"Orion Township, Precinct 8",33,,,0,33
1256110000009,"Orion Township, Precinct 9",30,,,0,30
1256110000010,"Orion Township, Precinct 10",44,,,0,44
1256110000011,"Orion Township, Precinct 11",41,,,1,40
1256204000001,"Oxford Township, Precinct 1",11,,,0,11
1256204000002,"Oxford Township, Precinct 2",31,,,0,31
1256204000003,"Oxford Township, Precinct 3",42,,,0,42
1256204000004,"Oxford Township, Precinct 4",37,,,1,36
1256204000005,"Oxford Township, Precinct 5",33,,,0,33
1256958000001,"Rose Township, Precinct 1",15,,,0,15
1256958000002,"Rose Township, Precinct 2",21,,,1,20
1256958000003,"Rose Township, Precinct 3",12,,,0,12
1257576000001,"Springfield Township, Precinct 1",35,,,0,35
1257576000002,"Springfield Township, Precinct 2",21,,,0,21
1257576000003,"Springfield Township, Precinct 3",26,,,0,26
1257576000004,"Springfield Township, Precinct 4",33,,,0,33
1257576000005,"Springfield Township, Precinct 5",14,,,0,14
1258686000001,"White Lake Township, Precinct 1",2,,,0,2
1258245000001,"Clarkston, Precinct 1",1,,,0,1
492776000002,"Fenton, Precinct 2",0,,,0,0
