id,name,total,over_votes,under_votes,Write-in,Lisa McClain
1250040000001,"Addison Township, Precinct 1",264,,,0,264
1250040000002,"Addison Township, Precinct 2",210,,,0,210
1250040000003,"Addison Township, Precinct 3",122,,,0,122
1251004000001,"Brandon Township, Precinct 1",236,,,0,236
1251004000002,"Brandon Township, Precinct 2",251,,,0,251
1251004000003,"Brandon Township, Precinct 3",341,,,1,340
1251004000004,"Brandon Township, Precinct 4",304,,,1,303
1251004000005,"Brandon Township, Precinct 5",75,,,1,74
1251004000006,"Brandon Township, Precinct 6",135,,,2,133
1253564000001,"Groveland Township, Precinct 1",130,,,1,129
1253564000002,"Groveland Township, Precinct 2",168,,,0,168
1253564000003,"Groveland Township, Precinct 3",211,,,0,211
1253808000001,"Highland Township, Precinct 1",266,,,6,260
1253808000002,"Highland Township, Precinct 2",297,,,1,296
1253808000003,"Highland Township, Precinct 3",285,,,1,284
1253808000004,"Highland Township, Precinct 4",261,,,1,260
1253808000005,"Highland Township, Precinct 5",215,,,2,213
1253872000001,"Holly Township, Precinct 1",142,,,1,141
1253872000002,"Holly Township, Precinct 2",159,,,0,159
1253872000003,"Holly Township, Precinct 3",225,,,0,225
1253872000004,"Holly Township, Precinct 4",231,,,1,230
1254040000001,"Independence Township, Precinct 1",236,,,0,236
1254040000002,"Independence Township, Precinct 2",293,,,1,292
1254040000003,"Independence Township, Precinct 3",321,,,0,321
1254040000004,"Independence Township, Precinct 4",338,,,1,337
1254040000005,"Independence Township, Precinct 5",304,,,0,304
1254040000006,"Independence Township, Precinct 6",221,,,0,221
1254040000007,"Independence Township, Precinct 7",241,,,0,241
1254040000008,"Independence Township, Precinct 8",242,,,2,240
1255398000001,"Milford Township, Precinct 1",235,,,1,234
1255398000005,"Milford Township, Precinct 5",164,,,1,163
1255398000007,"Milford Township, Precinct 7",94,,,0,94
1255982000001,"Oakland Township, Precinct 1",129,,,2,127
1255982000002,"Oakland Township, Precinct 2",274,,,2,272
1255982000003,"Oakland Township, Precinct 3",229,,,2,227
1255982000004,"Oakland Township, Precinct 4",135,,,0,135
1255982000005,"Oakland Township, Precinct 5",175,,,0,175
1255982000006,"Oakland Township, Precinct 6",174,,,1,173
1256110000001,"Orion Township, Precinct 1",328,,,4,324
1256110000002,"Orion Township, Precinct 2",216,,,0,216
1256110000003,"Orion Township, Precinct 3",216,,,1,215
1256110000004,"Orion Township, Precinct 4",253,,,2,251
1256110000005,"Orion Township, Precinct 5",219,,,0,219
1256110000006,"Orion Township, Precinct 6",154,,,1,153
1256110000007,"Orion Township, Precinct 7",265,,,1,264
1256110000008,"Orion Township, Precinct 8",282,,,2,280
1256110000009,"Orion Township, Precinct 9",134,,,0,134
1256110000010,"Orion Township, Precinct 10",145,,,1,144
1256110000011,"Orion Township, Precinct 11",198,,,3,195
1256204000001,"Oxford Township, Precinct 1",216,,,2,214
1256204000002,"Oxford Township, Precinct 2",381,,,0,381
1256204000003,"Oxford Township, Precinct 3",488,,,1,487
1256204000004,"Oxford Township, Precinct 4",276,,,0,276
1256204000005,"Oxford Township, Precinct 5",196,,,0,196
1256958000001,"Rose Township, Precinct 1",116,,,0,116
1256958000002,"Rose Township, Precinct 2",205,,,0,205
1256958000003,"Rose Township, Precinct 3",184,,,0,184
1257576000001,"Springfield Township, Precinct 1",342,,,0,342
1257576000002,"Springfield Township, Precinct 2",171,,,0,171
1257576000003,"Springfield Township, Precinct 3",266,,,2,264
1257576000004,"Springfield Township, Precinct 4",347,,,0,347
1257576000005,"Springfield Township, Precinct 5",182,,,0,182
1258686000001,"White Lake Township, Precinct 1",30,,,0,30
1258245000001,"Clarkston, Precinct 1",111,,,0,111
492776000002,"Fenton, Precinct 2",0,,,0,0
