id,name,ballots,registered,turnout
1250040000001,"Addison Township, Precinct 1",916,1982,46.22
1250040000002,"Addison Township, Precinct 2",897,1932,46.43
1250040000003,"Addison Township, Precinct 3",446,1333,33.46
1250911000001,"Bloomfield Township, Precinct 1",655,1870,35.03
1250911000002,"Bloomfield Township, Precinct 2",990,2437,40.62
1250911000003,"Bloomfield Township, Precinct 3",1876,4146,45.25
1250911000004,"Bloomfield Township, Precinct 4",703,1534,45.83
1250911000005,"Bloomfield Township, Precinct 5",2041,4784,42.66
1250911000006,"Bloomfield Township, Precinct 6",983,2211,44.46
1250911000007,"Bloomfield Township, Precinct 7",2037,4145,49.14
1250911000008,"Bloomfield Township, Precinct 8",1548,3295,46.98
1250911000009,"Bloomfield Township, Precinct 9",2019,4136,48.82
1250911000010,"Bloomfield Township, Precinct 10",1107,2636,42.00
1250911000011,"Bloomfield Township, Precinct 11",2236,5392,41.47
1250911000012,"Bloomfield Township, Precinct 12",813,1847,44.02
1251004000001,"Brandon Township, Precinct 1",866,2350,36.85
1251004000002,"Brandon Township, Precinct 2",974,2533,38.45
1251004000003,"Brandon Township, Precinct 3",1080,2655,40.68
1251004000004,"Brandon Township, Precinct 4",1091,2919,37.38
1251004000005,"Brandon Township, Precinct 5",280,1929,14.52
1251004000006,"Brandon Township, Precinct 6",456,1195,38.16
1251764000001,"Commerce Township, Precinct 1",878,2342,37.49
1251764000002,"Commerce Township, Precinct 2",819,2523,32.46
1251764000003,"Commerce Township, Precinct 3",1150,2703,42.55
1251764000004,"Commerce Township, Precinct 4",880,2653,33.17
1251764000005,"Commerce Township, Precinct 5",1001,2727,36.71
1251764000006,"Commerce Township, Precinct 6",701,2028,34.57
1251764000007,"Commerce Township, Precinct 7",1063,2520,42.18
1251764000008,"Commerce Township, Precinct 8",994,2683,37.05
1251764000009,"Commerce Township, Precinct 9",1100,3034,36.26
1251764000010,"Commerce Township, Precinct 10",889,2578,34.48
1251764000011,"Commerce Township, Precinct 11",932,2788,33.43
1251764000012,"Commerce Township, Precinct 12",489,1423,34.36
1251764000013,"Commerce Township, Precinct 13",1056,3103,34.03
1251764000014,"Commerce Township, Precinct 14",440,2091,21.04
1251764000015,"Commerce Township, Precinct 15",771,2009,38.38
1253564000001,"Groveland Township, Precinct 1",481,1303,36.91
1253564000002,"Groveland Township, Precinct 2",593,2276,26.05
1253564000003,"Groveland Township, Precinct 3",780,1810,43.09
1253808000001,"Highland Township, Precinct 1",1419,3843,36.92
1253808000002,"Highland Township, Precinct 2",1550,4052,38.25
1253808000003,"Highland Township, Precinct 3",1439,3841,37.46
1253808000004,"Highland Township, Precinct 4",1296,3947,32.84
1253808000005,"Highland Township, Precinct 5",763,1966,38.81
1253872000001,"Holly Township, Precinct 1",718,2713,26.47
1253872000002,"Holly Township, Precinct 2",649,2192,29.61
1253872000003,"Holly Township, Precinct 3",875,2842,30.79
1253872000004,"Holly Township, Precinct 4",938,2785,33.68
1254040000001,"Independence Township, Precinct 1",1118,2725,41.03
1254040000002,"Independence Township, Precinct 2",1489,3746,39.75
1254040000003,"Independence Township, Precinct 3",1827,4252,42.97
1254040000004,"Independence Township, Precinct 4",1718,3903,44.02
1254040000005,"Independence Township, Precinct 5",1620,4250,38.12
1254040000006,"Independence Township, Precinct 6",1465,4080,35.91
1254040000007,"Independence Township, Precinct 7",1375,4019,34.21
1254040000008,"Independence Township, Precinct 8",1185,4095,28.94
1254982000001,"Lyon Township, Precinct 1",357,915,39.02
1254982000002,"Lyon Township, Precinct 2",251,562,44.66
1254982000003,"Lyon Township, Precinct 3",566,1785,31.71
1254982000004,"Lyon Township, Precinct 4",686,2189,31.34
1254982000005,"Lyon Township, Precinct 5",646,1529,42.25
1254982000006,"Lyon Township, Precinct 6",959,2828,33.91
1254982000007,"Lyon Township, Precinct 7",197,744,26.48
1254982000008,"Lyon Township, Precinct 8",818,2047,39.96
1254982000009,"Lyon Township, Precinct 9",1036,2684,38.60
1254982000010,"Lyon Township, Precinct 10",470,1729,27.18
1254982000011,"Lyon Township, Precinct 11",861,1998,43.09
1255398000001,"Milford Township, Precinct 1",1112,2632,42.25
1255398000002,"Milford Township, Precinct 2",701,2481,28.25
1255398000003,"Milford Township, Precinct 3",696,1456,47.80
1255398000004,"Milford Township, Precinct 4",1444,3477,41.53
1255398000005,"Milford Township, Precinct 5",1086,2573,42.21
1255398000006,"Milford Township, Precinct 6",707,1733,40.80
1255398000007,"Milford Township, Precinct 7",575,1404,40.95
1255946000001,"Novi Township, Precinct 1",72,131,54.96
1255982000001,"Oakland Township, Precinct 1",749,2051,36.52
1255982000002,"Oakland Township, Precinct 2",1296,3951,32.80
1255982000003,"Oakland Township, Precinct 3",1169,3199,36.54
1255982000004,"Oakland Township, Precinct 4",660,1903,34.68
1255982000005,"Oakland Township, Precinct 5",1045,2993,34.91
1255982000006,"Oakland Township, Precinct 6",1140,2936,38.83
1256110000001,"Orion Township, Precinct 1",1516,4210,36.01
1256110000002,"Orion Township, Precinct 2",952,2356,40.41
1256110000003,"Orion Township, Precinct 3",941,2051,45.88
1256110000004,"Orion Township, Precinct 4",1028,2483,41.40
1256110000005,"Orion Township, Precinct 5",959,2379,40.31
1256110000006,"Orion Township, Precinct 6",922,1829,50.41
1256110000007,"Orion Township, Precinct 7",1426,3889,36.67
1256110000008,"Orion Township, Precinct 8",1392,3427,40.62
1256110000009,"Orion Township, Precinct 9",948,2734,34.67
1256110000010,"Orion Township, Precinct 10",913,2349,38.87
1256110000011,"Orion Township, Precinct 11",1242,3788,32.79
1256204000001,"Oxford Township, Precinct 1",1101,2671,41.22
1256204000002,"Oxford Township, Precinct 2",1679,4702,35.71
1256204000003,"Oxford Township, Precinct 3",2183,4813,45.36
1256204000004,"Oxford Township, Precinct 4",1484,3218,46.12
1256204000005,"Oxford Township, Precinct 5",1067,2798,38.13
1256958000001,"Rose Township, Precinct 1",528,1427,37.00
1256958000002,"Rose Township, Precinct 2",745,1934,38.52
1256958000003,"Rose Township, Precinct 3",729,1986,36.71
1257006000001,"Royal Oak Township, Precinct 1",313,1354,23.12
1257006000002,"Royal Oak Township, Precinct 2",253,999,25.33
1257492000001,"Southfield Township, Precinct 1",875,2015,43.42
1257492000002,"Southfield Township, Precinct 2",1078,2255,47.80
1257492000003,"Southfield Township, Precinct 3",675,1442,46.81
1257492000004,"Southfield Township, Precinct 4",524,1171,44.75
1257492000005,"Southfield Township, Precinct 5",1016,2173,46.76
1257492000006,"Southfield Township, Precinct 6",527,991,53.18
1257492000007,"Southfield Township, Precinct 7",1377,2802,49.14
1257576000001,"Springfield Township, Precinct 1",1098,2751,39.91
1257576000002,"Springfield Township, Precinct 2",615,2128,28.90
1257576000003,"Springfield Township, Precinct 3",916,2416,37.91
1257576000004,"Springfield Township, Precinct 4",1235,3575,34.55
1257576000005,"Springfield Township, Precinct 5",733,1760,41.65
1258424000001,"Waterford Township, Precinct 1",394,975,40.41
1258424000002,"Waterford Township, Precinct 2",1191,3185,37.39
1258424000003,"Waterford Township, Precinct 3",1054,2993,35.22
1258424000004,"Waterford Township, Precinct 4",1066,2771,38.47
1258424000005,"Waterford Township, Precinct 5",1264,3111,40.63
1258424000006,"Waterford Township, Precinct 6",1032,2972,34.72
1258424000007,"Waterford Township, Precinct 7",1000,3126,31.99
1258424000008,"Waterford Township, Precinct 8",1016,2885,35.22
1258424000009,"Waterford Township, Precinct 9",1123,2870,39.13
1258424000010,"Waterford Township, Precinct 10",741,1671,44.34
1258424000011,"Waterford Township, Precinct 11",842,2980,28.26
1258424000012,"Waterford Township, Precinct 12",1095,2967,36.91
1258424000013,"Waterford Township, Precinct 13",1031,3104,33.22
1258424000014,"Waterford Township, Precinct 14",736,2919,25.21
1258424000015,"Waterford Township, Precinct 15",890,3065,29.04
1258424000016,"Waterford Township, Precinct 16",1025,2897,35.38
1258424000017,"Waterford Township, Precinct 17",1051,3050,34.46
1258424000018,"Waterford Township, Precinct 18",1070,2923,36.61
1258424000019,"Waterford Township, Precinct 19",938,2837,33.06
1258424000020,"Waterford Township, Precinct 20",923,3010,30.66
1258424000021,"Waterford Township, Precinct 21",957,3051,31.37
1258548000001,"West Bloomfield Township, Precinct 1",1224,2688,45.54
1258548000002,"West Bloomfield Township, Precinct 2",1251,2683,46.63
1258548000003,"West Bloomfield Township, Precinct 3",1711,3611,47.38
1258548000004,"West Bloomfield Township, Precinct 4",811,1945,41.70
1258548000005,"West Bloomfield Township, Precinct 5",449,1147,39.15
1258548000006,"West Bloomfield Township, Precinct 6",1298,3172,40.92
1258548000007,"West Bloomfield Township, Precinct 7",1292,3148,41.04
1258548000008,"West Bloomfield Township, Precinct 8",1440,4485,32.11
1258548000009,"West Bloomfield Township, Precinct 9",1135,2703,41.99
1258548000010,"West Bloomfield Township, Precinct 10",1061,2806,37.81
1258548000011,"West Bloomfield Township, Precinct 11",870,3003,28.97
1258548000012,"West Bloomfield Township, Precinct 12",695,1922,36.16
1258548000013,"West Bloomfield Township, Precinct 13",257,501,51.30
1258548000014,"West Bloomfield Township, Precinct 14",1433,3500,40.94
1258548000015,"West Bloomfield Township, Precinct 15",1053,2652,39.71
1258548000016,"West Bloomfield Township, Precinct 16",1609,3802,42.32
1258548000017,"West Bloomfield Township, Precinct 17",1204,3480,34.60
1258548000018,"West Bloomfield Township, Precinct 18",1007,2388,42.17
1258548000019,"West Bloomfield Township, Precinct 19",1339,3212,41.69
1258548000020,"West Bloomfield Township, Precinct 20",1823,4465,40.83
1258686000001,"White Lake Township, Precinct 1",168,992,16.94
1258686000002,"White Lake Township, Precinct 2",917,2553,35.92
1258686000003,"White Lake Township, Precinct 3",1033,2985,34.61
1258686000004,"White Lake Township, Precinct 4",800,2800,28.57
1258686000005,"White Lake Township, Precinct 5",1351,3177,42.52
1258686000006,"White Lake Township, Precinct 6",1374,3487,39.40
1258686000007,"White Lake Township, Precinct 7",1380,3911,35.29
1258686000008,"White Lake Township, Precinct 8",1229,3570,34.43
1258686000009,"White Lake Township, Precinct 9",1510,3787,39.87
