id,name,total,over_votes,under_votes,Write-in,Abdul El-Sayed,Mallory McMorrow,Haley Stevens
1250040000001,"Addison Township, Precinct 1",197,,,0,83,16,98
1250040000002,"Addison Township, Precinct 2",235,,,1,88,16,130
1250040000003,"Addison Township, Precinct 3",127,,,0,38,9,80
1250911000001,"Bloomfield Township, Precinct 1",302,,,0,128,10,164
1250911000002,"Bloomfield Township, Precinct 2",502,,,0,250,13,239
1250911000003,"Bloomfield Township, Precinct 3",824,,,1,324,26,473
1250911000004,"Bloomfield Township, Precinct 4",318,,,0,93,9,216
1250911000005,"Bloomfield Township, Precinct 5",1005,,,0,403,23,579
1250911000006,"Bloomfield Township, Precinct 6",391,,,0,173,22,196
1250911000007,"Bloomfield Township, Precinct 7",1082,,,0,330,23,729
1250911000008,"Bloomfield Township, Precinct 8",836,,,0,263,22,551
1250911000009,"Bloomfield Township, Precinct 9",1097,,,0,340,42,715
1250911000010,"Bloomfield Township, Precinct 10",534,,,0,150,24,360
1250911000011,"Bloomfield Township, Precinct 11",944,,,1,243,24,676
1250911000012,"Bloomfield Township, Precinct 12",353,,,0,141,16,196
1251004000001,"Brandon Township, Precinct 1",259,,,1,89,19,150
1251004000002,"Brandon Township, Precinct 2",250,,,0,80,17,153
1251004000003,"Brandon Township, Precinct 3",278,,,0,123,24,131
1251004000004,"Brandon Township, Precinct 4",329,,,1,144,20,164
1251004000005,"Brandon Township, Precinct 5",80,,,0,30,4,46
1251004000006,"Brandon Township, Precinct 6",103,,,0,61,1,41
1251764000001,"Commerce Township, Precinct 1",264,,,0,96,7,161
1251764000002,"Commerce Township, Precinct 2",305,,,1,113,7,184
1251764000003,"Commerce Township, Precinct 3",586,,,0,103,23,460
1251764000004,"Commerce Township, Precinct 4",326,,,0,148,10,168
1251764000005,"Commerce Township, Precinct 5",363,,,0,123,13,227
1251764000006,"Commerce Township, Precinct 6",254,,,0,91,2,161
1251764000007,"Commerce Township, Precinct 7",387,,,0,116,13,258
1251764000008,"Commerce Township, Precinct 8",342,,,0,98,15,229
1251764000009,"Commerce Township, Precinct 9",341,,,0,121,12,208
1251764000010,"Commerce Township, Precinct 10",322,,,2,105,13,202
1251764000011,"Commerce Township, Precinct 11",357,,,0,113,14,230
1251764000012,"Commerce Township, Precinct 12",156,,,0,60,9,87
1251764000013,"Commerce Township, Precinct 13",412,,,0,141,9,262
1251764000014,"Commerce Township, Precinct 14",117,,,0,50,2,65
1251764000015,"Commerce Township, Precinct 15",267,,,0,90,10,167
1253564000001,"Groveland Township, Precinct 1",105,,,0,49,5,51
1253564000002,"Groveland Township, Precinct 2",148,,,0,60,6,82
1253564000003,"Groveland Township, Precinct 3",176,,,0,79,10,87
1253808000001,"Highland Township, Precinct 1",455,,,0,182,13,260
1253808000002,"Highland Township, Precinct 2",505,,,0,196,14,295
1253808000003,"Highland Township, Precinct 3",422,,,0,144,6,272
1253808000004,"Highland Township, Precinct 4",403,,,0,136,15,252
1253808000005,"Highland Township, Precinct 5",212,,,0,61,7,144
1253872000001,"Holly Township, Precinct 1",164,,,0,60,6,98
1253872000002,"Holly Township, Precinct 2",163,,,0,71,6,86
1253872000003,"Holly Township, Precinct 3",217,,,0,83,13,121
1253872000004,"Holly Township, Precinct 4",256,,,0,90,8,158
1254040000001,"Independence Township, Precinct 1",346,,,0,133,20,193
1254040000002,"Independence Township, Precinct 2",439,,,0,167,20,252
1254040000003,"Independence Township, Precinct 3",581,,,0,162,31,388
1254040000004,"Independence Township, Precinct 4",526,,,0,199,29,298
1254040000005,"Independence Township, Precinct 5",581,,,1,198,38,344
1254040000006,"Independence Township, Precinct 6",504,,,1,182,40,281
1254040000007,"Independence Township, Precinct 7",433,,,0,171,24,238
1254040000008,"Independence Township, Precinct 8",380,,,1,168,16,195
1254982000001,"Lyon Township, Precinct 1",137,,,0,49,1,87
1254982000002,"Lyon Township, Precinct 2",105,,,0,47,6,52
1254982000003,"Lyon Township, Precinct 3",229,,,0,127,6,96
1254982000004,"Lyon Township, Precinct 4",224,,,0,79,7,138
1254982000005,"Lyon Township, Precinct 5",233,,,0,75,9,149
1254982000006,"Lyon Township, Precinct 6",297,,,0,110,6,181
1254982000007,"Lyon Township, Precinct 7",75,,,0,31,5,39
1254982000008,"Lyon Township, Precinct 8",239,,,0,69,11,159
1254982000009,"Lyon Township, Precinct 9",338,,,0,145,13,180
1254982000010,"Lyon Township, Precinct 10",165,,,0,57,2,106
1254982000011,"Lyon Township, Precinct 11",314,,,0,119,13,182
1255398000001,"Milford Township, Precinct 1",341,,,0,102,14,225
1255398000002,"Milford Township, Precinct 2",231,,,0,75,7,149
1255398000003,"Milford Township, Precinct 3",275,,,1,72,17,185
1255398000004,"Milford Township, Precinct 4",459,,,0,182,11,266
1255398000005,"Milford Township, Precinct 5",403,,,0,166,13,224
1255398000006,"Milford Township, Precinct 6",292,,,0,107,16,169
1255398000007,"Milford Township, Precinct 7",196,,,0,72,6,118
1255946000001,"Novi Township, Precinct 1",0,,,0,0,0,0
1255982000001,"Oakland Township, Precinct 1",262,,,0,117,8,137
1255982000002,"Oakland Township, Precinct 2",421,,,1,179,15,226
1255982000003,"Oakland Township, Precinct 3",358,,,0,156,14,188
1255982000004,"Oakland Township, Precinct 4",237,,,0,103,12,122
1255982000005,"Oakland Township, Precinct 5",381,,,0,157,14,210
1255982000006,"Oakland Township, Precinct 6",337,,,0,109,7,221
1256110000001,"Orion Township, Precinct 1",464,,,0,211,24,229
1256110000002,"Orion Township, Precinct 2",238,,,0,87,14,137
1256110000003,"Orion Township, Precinct 3",251,,,0,101,7,143
1256110000004,"Orion Township, Precinct 4",292,,,0,107,22,163
1256110000005,"Orion Township, Precinct 5",283,,,0,134,21,128
1256110000006,"Orion Township, Precinct 6",307,,,0,115,13,179
1256110000007,"Orion Township, Precinct 7",465,,,0,232,23,210
1256110000008,"Orion Township, Precinct 8",445,,,0,166,19,260
1256110000009,"Orion Township, Precinct 9",343,,,0,161,19,163
1256110000010,"Orion Township, Precinct 10",303,,,0,141,18,144
1256110000011,"Orion Township, Precinct 11",415,,,0,186,21,208
1256204000001,"Oxford Township, Precinct 1",323,,,0,151,11,161
1256204000002,"Oxford Township, Precinct 2",432,,,1,150,34,247
1256204000003,"Oxford Township, Precinct 3",608,,,0,250,42,316
1256204000004,"Oxford Township, Precinct 4",470,,,0,193,28,249
1256204000005,"Oxford Township, Precinct 5",339,,,0,141,17,181
1256958000001,"Rose Township, Precinct 1",174,,,0,73,10,91
1256958000002,"Rose Township, Precinct 2",210,,,0,67,8,135
1256958000003,"Rose Township, Precinct 3",198,,,1,63,6,128
1257006000001,"Royal Oak Township, Precinct 1",141,,,0,27,10,104
1257006000002,"Royal Oak Township, Precinct 2",238,,,1,67,7,163
1257492000001,"Southfield Township, Precinct 1",321,,,0,127,24,170
1257492000002,"Southfield Township, Precinct 2",352,,,0,134,2,216
1257492000003,"Southfield Township, Precinct 3",225,,,0,88,5,132
1257492000004,"Southfield Township, Precinct 4",191,,,0,78,6,107
1257492000005,"Southfield Township, Precinct 5",391,,,1,139,14,237
1257492000006,"Southfield Township, Precinct 6",231,,,0,58,6,167
1257492000007,"Southfield Township, Precinct 7",556,,,1,134,20,401
1257576000001,"Springfield Township, Precinct 1",253,,,0,103,10,140
1257576000002,"Springfield Township, Precinct 2",150,,,0,55,4,91
1257576000003,"Springfield Township, Precinct 3",206,,,0,76,6,124
1257576000004,"Springfield Township, Precinct 4",333,,,0,132,11,190
1257576000005,"Springfield Township, Precinct 5",199,,,0,86,6,107
1258424000001,"Waterford Township, Precinct 1",119,,,0,42,7,70
1258424000002,"Waterford Township, Precinct 2",421,,,0,147,15,259
1258424000003,"Waterford Township, Precinct 3",382,,,0,125,7,250
1258424000004,"Waterford Township, Precinct 4",326,,,0,113,11,202
1258424000005,"Waterford Township, Precinct 5",423,,,0,143,11,269
