id,name,board,registered,ballots,over_votes,under_votes,total,turnout,Ben Ambrose,Jamie Hill,Clyde Welford
1270730000001,"Benona Township, Precinct 1",,1454,586,0,0,241,40.3,116,105,20
1271620000001,"Claybanks Township, Precinct 1",,810,296,0,0,101,36.54,53,45,3
1271718000001,"Colfax Township, Precinct 1",,384,107,0,0,34,27.86,13,13,8
1271910000001,"Crystal Township, Precinct 1",,598,131,0,0,35,21.91,16,15,4
1272520000001,"Elbridge Township, Precinct 1",,789,253,0,0,73,32.07,23,47,3
1272794000001,"Ferry Township, Precinct 1",,1117,267,0,0,85,23.9,45,32,8
1273278000001,"Golden Township, Precinct 1",,1640,526,0,0,191,32.07,91,82,18
1273440000001,"Grant Township, Precinct 1",,2509,589,0,0,189,23.48,73,86,30
1273516000001,"Greenwood Township, Precinct 1",,907,199,0,0,73,21.94,35,25,13
1273694000001,"Hart Township, Precinct 1",,1668,500,0,0,169,29.98,77,78,14
1274656000001,"Leavitt Township, Precinct 1",,744,171,0,0,49,22.98,16,26,7
1275730000001,"Newfield Township, Precinct 1",,2075,656,0,0,264,31.61,152,85,27
1276178000001,"Otto Township, Precinct 1",,767,180,0,0,59,23.47,26,27,6
1276356000001,"Pentwater Township, Precinct 1",,1561,893,0,0,451,57.21,185,205,61
1277286000001,"Shelby Township, Precinct 1",,3154,780,0,0,284,24.73,125,102,57
1278504000001,"Weare Township, Precinct 1",,1066,326,0,0,103,30.58,41,49,13
1273692000001,"City of Hart, Precinct 1",,1626,358,0,0,155,22.02,59,78,18
