id,name,board,registered,ballots,over_votes,under_votes,total,turnout,John Moolenaar
1270730000001,"Benona Township, Precinct 1",,1454,586,0,0,260,40.3,260
1271620000001,"Claybanks Township, Precinct 1",,810,296,0,0,156,36.54,156
1271718000001,"Colfax Township, Precinct 1",,384,107,0,0,58,27.86,58
1271910000001,"Crystal Township, Precinct 1",,598,131,0,0,77,21.91,77
1272520000001,"Elbridge Township, Precinct 1",,789,253,0,0,135,32.07,135
1272794000001,"Ferry Township, Precinct 1",,1117,267,0,0,149,23.9,149
1273278000001,"Golden Township, Precinct 1",,1640,526,0,0,278,32.07,278
1273440000001,"Grant Township, Precinct 1",,2509,589,0,0,332,23.48,332
1273516000001,"Greenwood Township, Precinct 1",,907,199,0,0,100,21.94,100
1273694000001,"Hart Township, Precinct 1",,1668,500,0,0,269,29.98,269
1274656000001,"Leavitt Township, Precinct 1",,744,171,0,0,96,22.98,96
1275730000001,"Newfield Township, Precinct 1",,2075,656,0,0,302,31.61,302
1276178000001,"Otto Township, Precinct 1",,767,180,0,0,104,23.47,104
1276356000001,"Pentwater Township, Precinct 1",,1561,893,0,0,329,57.21,329
1277286000001,"Shelby Township, Precinct 1",,3154,780,0,0,372,24.73,372
1278504000001,"Weare Township, Precinct 1",,1066,326,0,0,171,30.58,171
1273692000001,"City of Hart, Precinct 1",,1626,358,0,0,149,22.02,149
