id,name,board,registered,ballots,over_votes,under_votes,total,turnout,Mike Rogers
1270730000001,"Benona Township, Precinct 1",,1454,586,0,0,267,40.3,267
1271620000001,"Claybanks Township, Precinct 1",,810,296,0,0,165,36.54,165
1271718000001,"Colfax Township, Precinct 1",,384,107,0,0,64,27.86,64
1271910000001,"Crystal Township, Precinct 1",,598,131,0,0,80,21.91,80
1272520000001,"Elbridge Township, Precinct 1",,789,253,0,0,137,32.07,137
1272794000001,"Ferry Township, Precinct 1",,1117,267,0,0,157,23.9,157
1273278000001,"Golden Township, Precinct 1",,1640,526,0,0,294,32.07,294
1273440000001,"Grant Township, Precinct 1",,2509,589,0,0,345,23.48,345
1273516000001,"Greenwood Township, Precinct 1",,907,199,0,0,107,21.94,107
1273694000001,"Hart Township, Precinct 1",,1668,500,0,0,281,29.98,281
1274656000001,"Leavitt Township, Precinct 1",,744,171,0,0,101,22.98,101
1275730000001,"Newfield Township, Precinct 1",,2075,656,0,0,318,31.61,318
1276178000001,"Otto Township, Precinct 1",,767,180,0,0,106,23.47,106
1276356000001,"Pentwater Township, Precinct 1",,1561,893,0,0,335,57.21,335
1277286000001,"Shelby Township, Precinct 1",,3154,780,0,0,384,24.73,384
1278504000001,"Weare Township, Precinct 1",,1066,326,0,0,179,30.58,179
1273692000001,"City of Hart, Precinct 1",,1626,358,0,0,154,22.02,154
