id,name,board,Abdul El-Sayed,Mallory McMorrow,Haley Stevens,registered,ballots,over_votes,under_votes,total,turnout,Write-in
1296968000001,"City of Rose City, Ward 1, Precinct 1",,5,0,21,432,86,0,0,26,19.91,0
1298558000001,"City of West Branch, Ward 1, Precinct 1",,121,16,113,1795,551,0,0,250,30.7,1
1291574000001,"Churchill Township, Precinct 1",,53,10,122,1470,560,0,0,185,38.1,0
1291926000001,"Cumming Township, Precinct 1",,25,7,65,665,259,0,0,97,38.95,0
1292502000001,"Edwards Township, Precinct 1",,52,13,95,1253,481,0,0,160,38.39,0
1292986000001,"Foster Township, Precinct 1",,32,3,69,785,307,0,0,104,39.11,0
1293286000001,"Goodar Township, Precinct 1",,15,1,26,411,126,0,0,42,30.66,0
1293830000001,"Hill Township, Precinct 1",,68,11,128,1384,473,0,0,207,34.18,0
1293932000001,"Horton Township, Precinct 1",,18,1,50,830,239,0,0,69,28.8,0
1294364000001,"Klacking Township, Precinct 1",,15,7,44,536,217,0,0,66,40.49,0
1294916000001,"Logan Township, Precinct 1",,19,2,43,499,166,0,0,64,33.27,1
1295434000001,"Mills Township, Precinct 1",,41,5,97,4945,432,0,0,143,8.74,0
1295434000002,"Mills Township, Precinct 2",,62,15,110,2336,467,0,0,187,19.99,0
1296030000001,"Ogemaw Township, Precinct 1",,54,11,85,1034,386,0,0,150,37.33,1
1296832000001,"Richland Township, Precinct 1",,26,7,63,746,216,0,0,96,28.95,0
1296960000001,"Rose Township, Precinct 1",,46,11,91,1175,425,0,0,148,36.17,0
1298560000001,"West Branch Township, Precinct 1",,98,19,140,2277,819,0,0,257,35.97,1
