id,name,board,Mike Rogers,registered,ballots,over_votes,under_votes,total,turnout,Write-in
1296968000001,"City of Rose City, Ward 1, Precinct 1",,56,432,86,0,0,56,19.91,0
1298558000001,"City of West Branch, Ward 1, Precinct 1",,247,1795,551,0,0,247,30.7,5
1291574000001,"Churchill Township, Precinct 1",,330,1470,560,0,0,330,38.1,0
1291926000001,"Cumming Township, Precinct 1",,135,665,259,0,0,135,38.95,0
1292502000001,"Edwards Township, Precinct 1",,277,1253,481,0,0,277,38.39,0
1292986000001,"Foster Township, Precinct 1",,179,785,307,0,0,179,39.11,0
1293286000001,"Goodar Township, Precinct 1",,81,411,126,0,0,81,30.66,0
1293830000001,"Hill Township, Precinct 1",,228,1384,473,0,0,228,34.18,2
1293932000001,"Horton Township, Precinct 1",,146,830,239,0,0,146,28.8,0
1294364000001,"Klacking Township, Precinct 1",,124,536,217,0,0,124,40.49,0
1294916000001,"Logan Township, Precinct 1",,85,499,166,0,0,85,33.27,2
1295434000001,"Mills Township, Precinct 1",,257,4945,432,0,0,257,8.74,1
1295434000002,"Mills Township, Precinct 2",,229,2336,467,0,0,229,19.99,1
1296030000001,"Ogemaw Township, Precinct 1",,186,1034,386,0,0,186,37.33,2
1296832000001,"Richland Township, Precinct 1",,96,746,216,0,0,96,28.95,0
1296960000001,"Rose Township, Precinct 1",,229,1175,425,0,0,229,36.17,3
1298560000001,"West Branch Township, Precinct 1",,464,2277,819,0,0,464,35.97,2
