id,name,Ben Ambrose,Jamie Hill,Clyde Welford,Write-in
1331168000001,"Burdell Township, Precinct 1",46,45,11,0
1331404000001,"Cedar Township, Precinct 1",13,19,6,0
1332666000001,"Evart Township, Precinct 1",68,43,14,1
1333706000001,"Hartwick Township, Precinct 1",14,18,5,0
1333784000001,"Hersey Township, Precinct 1",43,57,29,1
1333810000001,"Highland Township, Precinct 1",22,18,16,0
1334712000001,"Le Roy Township, Precinct 1",30,39,11,0
1334772000001,"Lincoln Township, Precinct 1",40,52,17,1
1335168000001,"Marion Township, Precinct 1",31,40,19,1
1335366000001,"Middle Branch Township, Precinct 1",25,18,4,0
1336108000001,"Orient Township, Precinct 1",14,29,8,0
1336128000001,"Osceola Township, Precinct 1",17,21,14,0
1336844000001,"Richmond Township, Precinct 1",57,54,23,0
1336976000001,"Rose Lake Township, Precinct 1",37,65,16,1
1337328000001,"Sherman Township, Precinct 1",32,25,8,0
1337776000001,"Sylvan Township, Precinct 1",28,26,6,0
1332664000001,"City of Evart, Precinct 1",42,47,9,0
1336782000001,"City of Reed City, Precinct 1",72,72,31,0
