id,name,John Moolenaar,Write-in
1331168000001,"Burdell Township, Precinct 1",205,1
1331404000001,"Cedar Township, Precinct 1",117,0
1332666000001,"Evart Township, Precinct 1",217,0
1333706000001,"Hartwick Township, Precinct 1",113,0
1333784000001,"Hersey Township, Precinct 1",277,0
1333810000001,"Highland Township, Precinct 1",145,1
1334712000001,"Le Roy Township, Precinct 1",185,0
1334772000001,"Lincoln Township, Precinct 1",240,0
1335168000001,"Marion Township, Precinct 1",185,2
1335366000001,"Middle Branch Township, Precinct 1",136,1
1336108000001,"Orient Township, Precinct 1",146,0
1336128000001,"Osceola Township, Precinct 1",151,1
1336844000001,"Richmond Township, Precinct 1",336,0
1336976000001,"Rose Lake Township, Precinct 1",222,1
1337328000001,"Sherman Township, Precinct 1",166,0
1337776000001,"Sylvan Township, Precinct 1",172,0
1332664000001,"City of Evart, Precinct 1",148,1
1336782000001,"City of Reed City, Precinct 1",219,0
