id,name,total,over_votes,under_votes,Write-in,Ryan Cushman,Terri DeBoer
1391802000001,"City of Coopersville, Precinct 1",200,,,0,55,145
1392796000001,"City of Ferrysburg, Precinct 1",263,,,0,66,197
1393334000001,"City of Grand Haven, Precinct 1",134,,,0,29,105
1393334000002,"City of Grand Haven, Precinct 2",181,,,0,30,151
1393334000003,"City of Grand Haven, Precinct 3",276,,,0,60,216
1393334000004,"City of Grand Haven, Precinct 4",125,,,0,23,102
1391880000001,"Crockery Township, Precinct 1",164,,,0,33,131
1391880000002,"Crockery Township, Precinct 2",120,,,0,33,87
1393336000001,"Grand Haven Charter Township, Precinct 1",221,,,0,36,185
1393336000002,"Grand Haven Charter Township, Precinct 2",123,,,0,34,89
1393336000003,"Grand Haven Charter Township, Precinct 3",314,,,0,69,245
1393336000004,"Grand Haven Charter Township, Precinct 4",178,,,0,43,135
1393336000005,"Grand Haven Charter Township, Precinct 5",331,,,0,53,278
1393336000006,"Grand Haven Charter Township, Precinct 6",116,,,0,21,95
1393336000007,"Grand Haven Charter Township, Precinct 7",258,,,0,53,205
1396532000001,"Polkton Charter Township, Precinct 1",0,,,0,0,0
1396900000001,"Robinson Township, Precinct 1",196,,,0,48,148
1396900000002,"Robinson Township, Precinct 2",136,,,0,49,87
1396900000003,"Robinson Township, Precinct 3",124,,,0,38,86
1397584000001,"Spring Lake Township, Precinct 1",188,,,0,63,125
1397584000002,"Spring Lake Township, Precinct 2",127,,,0,26,101
1397584000003,"Spring Lake Township, Precinct 3",232,,,0,64,168
1397584000004,"Spring Lake Township, Precinct 4",179,,,0,51,128
1397584000005,"Spring Lake Township, Precinct 5",209,,,0,49,160
1397584000006,"Spring Lake Township, Precinct 6",82,,,0,19,63
1397798000001,"Tallmadge Charter Township, Precinct 1",268,,,0,51,217
1397798000002,"Tallmadge Charter Township, Precinct 2",287,,,0,57,230
1397798000003,"Tallmadge Charter Township, Precinct 3",317,,,0,64,253
1398882000001,"Wright Township, Precinct 1",217,,,0,54,163
