id,name,total,over_votes,under_votes,Write-in,Bill Huizenga,Philip Tanis
1393864001001,"City of Holland, Ward 1, Precinct 1",396,,,0,293,103
1393864001002,"City of Holland, Ward 1, Precinct 2",288,,,0,208,80
1393864002003,"City of Holland, Ward 2, Precinct 3",373,,,0,232,141
1393864003004,"City of Holland, Ward 3, Precinct 4",150,,,0,121,29
1393864003005,"City of Holland, Ward 3, Precinct 5",131,,,0,74,57
1393864004006,"City of Holland, Ward 4, Precinct 6",565,,,0,397,168
1393864006010,"City of Holland, Ward 6, Precinct 10",132,,,0,87,45
1393864006011,"City of Holland, Ward 6, Precinct 11",482,,,0,339,143
1393980001001,"City of Hudsonville, Ward 1, Precinct 1",395,,,0,342,53
1393980002001,"City of Hudsonville, Ward 2, Precinct 1",376,,,0,321,55
1393980003001,"City of Hudsonville, Ward 3, Precinct 1",574,,,0,501,73
1398926000001,"City of Zeeland, Precinct 1",757,,,0,615,142
1398926000002,"City of Zeeland, Precinct 2",314,,,0,232,82
1390894000001,"Blendon Township, Precinct 1",685,,,0,574,111
1390894000002,"Blendon Township, Precinct 2",1355,,,0,1152,203
1393866000001,"Holland Charter Township, Precinct 1",254,,,0,207,47
1393866000002,"Holland Charter Township, Precinct 2",126,,,0,110,16
1393866000003,"Holland Charter Township, Precinct 3",424,,,0,334,90
1393866000004,"Holland Charter Township, Precinct 4",294,,,0,238,56
1393866000005,"Holland Charter Township, Precinct 5",688,,,0,546,142
1393866000006,"Holland Charter Township, Precinct 6",261,,,0,221,40
1393866000007,"Holland Charter Township, Precinct 7",408,,,0,338,70
1393866000008,"Holland Charter Township, Precinct 8",127,,,0,97,30
1393866000009,"Holland Charter Township, Precinct 9",671,,,0,510,161
1393866000010,"Holland Charter Township, Precinct 10",248,,,0,200,48
1393866000011,"Holland Charter Township, Precinct 11",189,,,0,154,35
1393866000012,"Holland Charter Township, Precinct 12",450,,,0,371,79
1396046000001,"Olive Township, Precinct 1",343,,,0,284,59
1396046000002,"Olive Township, Precinct 2",584,,,0,469,115
1396246000001,"Park Township, Precinct 1",825,,,0,609,216
1396246000002,"Park Township, Precinct 2",257,,,0,201,56
1396246000003,"Park Township, Precinct 3",937,,,0,696,241
1396246000004,"Park Township, Precinct 4",435,,,0,335,100
1396246000005,"Park Township, Precinct 5",814,,,0,640,174
1396246000006,"Park Township, Precinct 6",567,,,0,443,124
1396594000001,"Port Sheldon Township, Precinct 1",656,,,0,537,119
1396594000002,"Port Sheldon Township, Precinct 2",386,,,0,309,77
1398928000001,"Zeeland Charter Township, Precinct 1",529,,,0,455,74
1398928000002,"Zeeland Charter Township, Precinct 2",718,,,0,563,155
1398928000003,"Zeeland Charter Township, Precinct 3",627,,,0,512,115
1398928000004,"Zeeland Charter Township, Precinct 4",523,,,0,406,117
